cluster	score	cell_type	markers
2	0.0018826516	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
3	0.002232554	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
4	0.0017014198	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
5	0.0017631537	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
6	0.0021951941	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
7	0.001995315	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
8	0.03202427	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
9	0.0022755524	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
10	0.008391421	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
11	0.0031841781	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
12	0.008427201	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
13	0.015080059	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
14	0.007778325	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
15	0.0127671715	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
16	0.023736937	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
17	0.0031319396	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
18	0.001443285	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
19	0.025495827	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
20	0.006419806	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
21	0.004387359	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
22	0.015428964	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
23	0.0067130895	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
24	0.018800829	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
25	0.0	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
0	0.033695288	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
1	0.026659511	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
2	0.032446336	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
3	0.02681602	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
4	0.027329005	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
5	0.0297323	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
6	0.023565449	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
7	0.025956122	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
8	0.26852235	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
9	0.2483542	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
10	0.025005817	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
11	0.029901166	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
12	0.028253218	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
13	0.022658676	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
14	0.09551433	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
15	0.013736872	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
16	0.0329225	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
17	0.049027562	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
18	0.02165483	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
19	0.056245174	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
20	0.28469488	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
21	0.009024665	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
22	0.036614973	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
23	0.14891489	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
24	0.014059542	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
25	0.011550323	RPE cell	RPE65,RLBP1,BEST1,LRAT,SERPINF1,TTR,PMEL
0	0.08285483	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
1	0.07242679	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
2	0.076090515	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
3	0.08074186	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
4	0.06709498	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
5	0.073705815	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
6	0.07699241	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
7	0.07694882	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
8	0.08552432	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
9	1.2377025	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
10	0.08012058	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
11	0.088303134	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
12	0.043629725	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
13	0.0639784	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
14	0.04789358	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
15	0.047381513	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
16	0.07743378	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
17	0.06379172	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
18	0.04596362	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
19	0.079986416	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
20	0.076639876	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
21	0.035846744	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
22	0.046768654	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
23	0.48876327	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
24	0.0673861	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
25	0.039738726	cone cell	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
0	2.1567469	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
1	2.0362122	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
2	2.0866756	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
3	2.070263	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
4	2.0237517	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
5	2.079675	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
6	2.0337553	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
7	2.0944474	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
8	0.6822716	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
9	0.56164414	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
10	0.4617939	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
11	2.026061	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
12	0.20672242	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
13	0.27326754	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
14	0.24091743	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
15	0.24473396	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
16	0.39268705	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
17	0.3344672	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
18	0.26299265	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
19	0.5124645	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
20	0.302995	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
21	0.16569275	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
22	0.19270995	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
23	0.8541052	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
24	0.28793138	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
25	0.18490708	rod cell	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
0	0.016061516	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
1	0.015660632	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
2	0.015226503	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
3	0.01576349	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
4	0.014136231	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
5	0.016454712	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
6	0.01877757	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
7	0.012751277	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
8	0.029441666	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
9	0.095178045	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
10	0.022834543	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
11	0.011402778	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
12	0.017857688	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
13	0.29128018	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
14	0.012801937	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
15	0.07377687	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
16	0.7335596	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
17	0.01377816	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
18	0.004430154	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
19	0.2545416	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
20	0.02671384	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
21	0.004211599	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
22	0.3539853	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
23	0.056749996	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
24	0.03363513	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
25	0.06255381	horizontal cell	ONECUT1,LHX1,CALB1,SNCG,GAD1
0	0.31057248	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
1	0.25009772	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
2	0.2984145	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
3	0.27148017	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
4	0.27018347	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
5	0.27171198	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
6	0.25735703	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
7	0.27068466	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
8	0.17469668	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
9	0.27787226	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
10	1.2940003	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
11	0.24032438	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
12	0.6264673	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
13	0.12600136	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
14	0.8551377	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
15	0.044827208	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
16	0.11275163	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
17	0.7557195	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
18	1.0442683	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
19	0.13374673	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
20	1.0289651	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
21	0.6566087	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
22	0.6723651	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
23	0.6359171	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
24	0.08787782	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
25	0.056936912	bipolar cell	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GNB3,GPR179,GRM6
0	0.24167192	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
1	0.22960615	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
2	0.26841873	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
3	0.2506983	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
4	0.23277749	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
5	0.23643719	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
6	0.2334222	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
7	0.1999037	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
8	0.086781554	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
9	0.23085614	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
10	0.38022473	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
11	0.24058779	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
12	0.2644852	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
13	0.37044865	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
14	0.19445783	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
15	0.23168047	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
16	0.15775791	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
17	0.2968038	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
18	0.24649082	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
19	0.23563313	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
20	0.20926584	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
21	0.21234062	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
22	0.22869113	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
23	0.2582715	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
24	0.4230107	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
25	0.3284153	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM,SNAP25,GAP43
0	0.027999735	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
1	0.023293098	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
2	0.027758371	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
3	0.023587057	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
4	0.019706413	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
5	0.02905972	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
6	0.02255868	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
7	0.02461366	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
8	0.010604821	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
9	0.027329305	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
10	0.0067687267	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
11	0.021055555	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
12	0.0059571047	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
13	0.01016817	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
14	0.0040672678	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
15	0.005524264	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
16	0.006169418	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
17	0.013317032	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
18	0.0048320577	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
19	0.009417845	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
20	0.007760538	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
21	0.002862787	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
22	0.011605185	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
23	0.024337413	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
24	0.0040832562	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
25	0.0	T cells	CD3D,CD3E,CD2,CD4,CD8A,TRAC,TRBC1
0	0.00095350033	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
1	0.0009851295	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
2	0.00073106337	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
3	0.0012320374	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
4	0.0015384137	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
5	0.000727237	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
6	0.001337654	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
7	0.00080245803	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
8	0.036659043	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
9	0.0010250676	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
10	0.0017486006	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
11	0.0014470924	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
12	0.0018207399	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
13	0.0046114335	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
14	0.0	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
15	0.005533514	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
16	0.002145015	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
17	0.0020415962	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
18	0.0	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
19	0.010614118	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
20	0.0	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
21	0.0025540828	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
22	0.0017134378	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
23	0.003058976	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
24	0.009473534	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
25	0.0	macrophage	CD68,LSP1,ITGAM,FCGR3A,CD14,FCGR1A,LYZ
0	0.0037884342	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
1	0.0024427057	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
2	0.0038724695	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
3	0.0025725805	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
4	0.0038454328	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
5	0.0030319942	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
6	0.0017903711	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
7	0.0035966758	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
8	0.024960179	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
