cluster	eye	value	gene
2	eye1	0.0	GJA1
2	eye2	0.0	GJA1
20	eye1	0.0	GJA1
20	eye2	0.0	GJA1
21	eye1	0.0	GJA1
21	eye2	0.0	GJA1
22	eye1	0.0	GJA1
22	eye2	0.0	GJA1
23	eye1	0.0	GJA1
23	eye2	0.0	GJA1
24	eye1	0.0	GJA1
24	eye2	0.0	GJA1
25	eye1	0.0	GJA1
25	eye2	0.0	GJA1
3	eye1	0.0	GJA1
3	eye2	0.0018050247	GJA1
4	eye1	0.0	GJA1
4	eye2	0.0	GJA1
5	eye1	0.0	GJA1
5	eye2	0.0	GJA1
6	eye1	0.0	GJA1
6	eye2	0.0	GJA1
7	eye1	0.0	GJA1
7	eye2	0.0	GJA1
8	eye1	0.0	GJA1
8	eye2	0.0	GJA1
9	eye1	0.0	GJA1
9	eye2	0.0	GJA1
0	eye1	0.36185917	GLUL
0	eye2	0.38999566	GLUL
1	eye1	0.34746286	GLUL
1	eye2	0.35947618	GLUL
10	eye1	0.39489925	GLUL
10	eye2	0.3662551	GLUL
11	eye1	0.40569675	GLUL
11	eye2	0.34582096	GLUL
12	eye1	0.24787346	GLUL
12	eye2	0.25395992	GLUL
13	eye1	0.86129296	GLUL
13	eye2	0.8316063	GLUL
14	eye1	0.4136403	GLUL
14	eye2	0.19764668	GLUL
15	eye1	0.41171592	GLUL
15	eye2	0.39887497	GLUL
16	eye1	0.40702444	GLUL
16	eye2	0.49010184	GLUL
17	eye1	0.42574218	GLUL
17	eye2	0.32309195	GLUL
18	eye1	0.3109668	GLUL
18	eye2	0.23154975	GLUL
19	eye1	0.65208536	GLUL
19	eye2	0.660789	GLUL
2	eye1	0.39364064	GLUL
2	eye2	0.3895313	GLUL
20	eye1	0.39958128	GLUL
20	eye2	0.33782366	GLUL
21	eye1	0.100643046	GLUL
21	eye2	0.23518644	GLUL
22	eye1	0.3239194	GLUL
22	eye2	0.25940758	GLUL
23	eye1	0.35631	GLUL
23	eye2	0.30015442	GLUL
24	eye1	0.3634767	GLUL
24	eye2	0.51707554	GLUL
25	eye1	0.16559106	GLUL
25	eye2	0.21672021	GLUL
3	eye1	0.36843532	GLUL
3	eye2	0.33160183	GLUL
4	eye1	0.3321082	GLUL
4	eye2	0.31310046	GLUL
5	eye1	0.35272706	GLUL
5	eye2	0.33203	GLUL
6	eye1	0.3925977	GLUL
6	eye2	0.3586285	GLUL
7	eye1	0.36205107	GLUL
7	eye2	0.2649066	GLUL
8	eye1	2.5166357	GLUL
8	eye2	2.3972192	GLUL
9	eye1	0.37959194	GLUL
9	eye2	0.3860285	GLUL
0	eye1	0.06382916	RLBP1
0	eye2	0.06464406	RLBP1
1	eye1	0.0422718	RLBP1
1	eye2	0.04995868	RLBP1
10	eye1	0.04070059	RLBP1
10	eye2	0.042721108	RLBP1
11	eye1	0.035931475	RLBP1
11	eye2	0.06337061	RLBP1
12	eye1	0.009888241	RLBP1
12	eye2	0.032194655	RLBP1
13	eye1	0.03783711	RLBP1
13	eye2	0.03368995	RLBP1
14	eye1	0.026996145	RLBP1
14	eye2	0.06784607	RLBP1
15	eye1	0.01185098	RLBP1
15	eye2	0.049126107	RLBP1
16	eye1	0.059019424	RLBP1
16	eye2	0.065623455	RLBP1
17	eye1	0.049582474	RLBP1
17	eye2	0.07883516	RLBP1
18	eye1	0.0809565	RLBP1
18	eye2	0.0	RLBP1
19	eye1	0.19804345	RLBP1
19	eye2	0.20360771	RLBP1
2	eye1	0.05900224	RLBP1
2	eye2	0.053318355	RLBP1
20	eye1	0.02071461	RLBP1
20	eye2	0.038852274	RLBP1
21	eye1	0.0798403	RLBP1
21	eye2	0.0	RLBP1
22	eye1	0.14730924	RLBP1
22	eye2	0.055557232	RLBP1
23	eye1	0.054495815	RLBP1
23	eye2	0.035897996	RLBP1
24	eye1	0.07983396	RLBP1
24	eye2	0.0	RLBP1
25	eye1	0.0	RLBP1
25	eye2	0.043704756	RLBP1
3	eye1	0.038271617	RLBP1
3	eye2	0.04598004	RLBP1
4	eye1	0.02917943	RLBP1
4	eye2	0.048852935	RLBP1
5	eye1	0.068335064	RLBP1
5	eye2	0.07807112	RLBP1
6	eye1	0.046582047	RLBP1
6	eye2	0.032246277	RLBP1
7	eye1	0.054711685	RLBP1
7	eye2	0.034263484	RLBP1
8	eye1	1.3290424	RLBP1
8	eye2	1.1925311	RLBP1
9	eye1	0.03712179	RLBP1
9	eye2	0.06034539	RLBP1
0	eye1	0.30972925	APOE
0	eye2	0.2777582	APOE
1	eye1	0.2629488	APOE
1	eye2	0.30882698	APOE
10	eye1	0.27779755	APOE
10	eye2	0.39547506	APOE
11	eye1	0.27289775	APOE
11	eye2	0.2815331	APOE
12	eye1	0.22366641	APOE
12	eye2	0.22301999	APOE
13	eye1	0.26287058	APOE
13	eye2	0.21958691	APOE
14	eye1	0.16532649	APOE
14	eye2	0.22154921	APOE
15	eye1	0.2359885	APOE
15	eye2	0.36470374	APOE
16	eye1	0.23548767	APOE
16	eye2	0.33530667	APOE
17	eye1	0.30485424	APOE
17	eye2	0.25540164	APOE
18	eye1	0.21421194	APOE
18	eye2	0.23786692	APOE
19	eye1	0.31017163	APOE
19	eye2	0.3771302	APOE
2	eye1	0.31518313	APOE
2	eye2	0.31596795	APOE
20	eye1	0.2277343	APOE
20	eye2	0.22201446	APOE
21	eye1	0.19570051	APOE
21	eye2	0.33800358	APOE
22	eye1	0.19248526	APOE
22	eye2	0.2661761	APOE
23	eye1	0.36202046	APOE
23	eye2	0.18115744	APOE
24	eye1	0.25275168	APOE
24	eye2	0.33412397	APOE
25	eye1	0.20234439	APOE
25	eye2	0.14518373	APOE
3	eye1	0.33512437	APOE
3	eye2	0.28400034	APOE
4	eye1	0.2640749	APOE
4	eye2	0.32171062	APOE
5	eye1	0.26365998	APOE
5	eye2	0.2729421	APOE
6	eye1	0.27974334	APOE
6	eye2	0.32680756	APOE
7	eye1	0.29167476	APOE
7	eye2	0.2956871	APOE
8	eye1	1.0165373	APOE
8	eye2	0.74587893	APOE
9	eye1	0.3471836	APOE
9	eye2	0.26658377	APOE
0	eye1	0.29874265	CLU
0	eye2	0.29494736	CLU
1	eye1	0.2367273	CLU
1	eye2	0.3004459	CLU
10	eye1	0.31649694	CLU
10	eye2	0.35171187	CLU
11	eye1	0.22959504	CLU
11	eye2	0.26307258	CLU
12	eye1	0.17898211	CLU
12	eye2	0.21302472	CLU
13	eye1	0.84647197	CLU
13	eye2	0.8131825	CLU
14	eye1	0.25810552	CLU
14	eye2	0.22800294	CLU
15	eye1	0.5866167	CLU
15	eye2	0.52169347	CLU
16	eye1	0.31319	CLU
16	eye2	0.21240191	CLU
17	eye1	0.2904217	CLU
17	eye2	0.2622825	CLU
18	eye1	0.243312	CLU
18	eye2	0.3084695	CLU
19	eye1	0.2763805	CLU
19	eye2	0.3395712	CLU
2	eye1	0.28659198	CLU
2	eye2	0.30356774	CLU
20	eye1	0.2075275	CLU
20	eye2	0.29354745	CLU
21	eye1	0.13095684	CLU
21	eye2	0.19611211	CLU
22	eye1	0.29483613	CLU
22	eye2	0.25679624	CLU
23	eye1	0.3325287	CLU
23	eye2	0.3005194	CLU
24	eye1	0.5688423	CLU
24	eye2	0.7036207	CLU
25	eye1	0.4011383	CLU
25	eye2	0.4134756	CLU
3	eye1	0.25246707	CLU
3	eye2	0.29824665	CLU
4	eye1	0.2578251	CLU
4	eye2	0.28573033	CLU
5	eye1	0.27224854	CLU
5	eye2	0.2738976	CLU
6	eye1	0.23534359	CLU
6	eye2	0.29727668	CLU
7	eye1	0.2347777	CLU
7	eye2	0.32830912	CLU
8	eye1	1.5235279	CLU
8	eye2	1.2485807	CLU
9	eye1	0.2514967	CLU
9	eye2	0.27875152	CLU
0	eye1	0.069797255	DIO2
0	eye2	0.050421298	DIO2
1	eye1	0.04970497	DIO2
1	eye2	0.052619237	DIO2
10	eye1	0.02700393	DIO2
10	eye2	0.030728633	DIO2
11	eye1	0.04745528	DIO2
11	eye2	0.043303166	DIO2
12	eye1	0.07674111	DIO2
12	eye2	0.039785095	DIO2
13	eye1	0.04354884	DIO2
13	eye2	0.045769252	DIO2
14	eye1	0.024437584	DIO2
14	eye2	0.026310926	DIO2
15	eye1	0.078659914	DIO2
15	eye2	0.046292953	DIO2
16	eye1	0.046336543	DIO2
16	eye2	0.07702454	DIO2
17	eye1	0.03858113	DIO2
17	eye2	0.06183113	DIO2
18	eye1	0.07772464	DIO2
18	eye2	0.014533576	DIO2
19	eye1	0.0990069	DIO2
19	eye2	0.13951829	DIO2
2	eye1	0.07910599	DIO2
2	eye2	0.05632905	DIO2
20	eye1	0.0	DIO2
20	eye2	0.04496313	DIO2
21	eye1	0.0731975	DIO2
21	eye2	0.07583921	DIO2
22	eye1	0.0	DIO2
22	eye2	0.0	DIO2
23	eye1	0.016065916	DIO2
23	eye2	0.0	DIO2
24	eye1	0.12246317	DIO2
24	eye2	0.0	DIO2
25	eye1	0.08410065	DIO2
25	eye2	0.0	DIO2
3	eye1	0.0579745	DIO2
3	eye2	0.035825003	DIO2
4	eye1	0.038318906	DIO2
4	eye2	0.06641328	DIO2
5	eye1	0.0332787	DIO2
5	eye2	0.07575864	DIO2
6	eye1	0.04958095	DIO2
6	eye2	0.030255374	DIO2
7	eye1	0.040802054	DIO2
7	eye2	0.03169558	DIO2
8	eye1	0.19870038	DIO2
8	eye2	0.19906667	DIO2
9	eye1	0.07069777	DIO2
9	eye2	0.030929076	DIO2
0	eye1	0.07886487	CP
0	eye2	0.108605884	CP
1	eye1	0.053411108	CP
1	eye2	0.071601525	CP
10	eye1	0.06573276	CP
10	eye2	0.09895146	CP
11	eye1	0.043948684	CP
11	eye2	0.114397325	CP
12	eye1	0.06032011	CP
12	eye2	0.07262898	CP
13	eye1	0.090007715	CP
13	eye2	0.090825595	CP
14	eye1	0.012688743	CP
14	eye2	0.118522204	CP
15	eye1	0.10461462	CP
15	eye2	0.14743887	CP
16	eye1	0.08917771	CP
16	eye2	0.13078521	CP
17	eye1	0.05653523	CP
17	eye2	0.09658241	CP
18	eye1	0.024931952	CP
18	eye2	0.07939234	CP
19	eye1	0.36011183	CP
19	eye2	0.4343217	CP
2	eye1	0.07124898	CP
2	eye2	0.13418666	CP
20	eye1	0.07163269	CP
20	eye2	0.09933981	CP
21	eye1	0.090724	CP
21	eye2	0.055447202	CP
22	eye1	0.03276775	CP
22	eye2	0.037848096	CP
23	eye1	0.14141548	CP
23	eye2	0.12810725	CP
24	eye1	0.039916467	CP
24	eye2	0.04073384	CP
25	eye1	0.1240738	CP
25	eye2	0.08502818	CP
3	eye1	0.0684685	CP
3	eye2	0.10528934	CP
4	eye1	0.059200406	CP
4	eye2	0.0887313	CP
5	eye1	0.0653023	CP
5	eye2	0.08517234	CP
6	eye1	0.05069091	CP
6	eye2	0.09596316	CP
7	eye1	0.05222588	CP
7	eye2	0.10363294	CP
8	eye1	2.376614	CP
8	eye2	2.6207416	CP
9	eye1	0.09949599	CP
9	eye2	0.11968253	CP
0	eye1	0.3662815	TF
0	eye2	0.46394807	TF
1	eye1	0.3024499	TF
1	eye2	0.46108475	TF
10	eye1	0.35186347	TF
10	eye2	0.43849775	TF
11	eye1	0.35167843	TF
11	eye2	0.44059983	TF
12	eye1	0.1645545	TF
12	eye2	0.28607672	TF
13	eye1	0.3545205	TF
13	eye2	0.3956016	TF
14	eye1	0.31847852	TF
14	eye2	0.3336881	TF
15	eye1	0.29218435	TF
15	eye2	0.39152542	TF
16	eye1	0.29520625	TF
16	eye2	0.38787973	TF
17	eye1	0.36081094	TF
17	eye2	0.501508	TF
18	eye1	0.2965	TF
18	eye2	0.24886471	TF
19	eye1	0.6841996	TF
19	eye2	0.877824	TF
2	eye1	0.3454437	TF
2	eye2	0.49512655	TF
20	eye1	0.36288515	TF
20	eye2	0.41636616	TF
21	eye1	0.08521239	TF
21	eye2	0.51679945	TF
22	eye1	0.36015558	TF
22	eye2	0.31113234	TF
23	eye1	0.39875132	TF
23	eye2	0.41792586	TF
24	eye1	0.4947218	TF
24	eye2	0.27648428	TF
25	eye1	0.13708487	TF
25	eye2	0.2907971	TF
3	eye1	0.36883497	TF
3	eye2	0.40441084	TF
4	eye1	0.32006842	TF
4	eye2	0.49169663	TF
5	eye1	0.32207865	TF
5	eye2	0.44944865	TF
6	eye1	0.3115123	TF
6	eye2	0.44181332	TF
7	eye1	0.31574205	TF
7	eye2	0.4332975	TF
8	eye1	3.7920222	TF
8	eye2	3.7347383	TF
9	eye1	0.3814872	TF
9	eye2	0.4333362	TF
0	eye1	0.0103222765	SOX9
0	eye2	0.005526257	SOX9
1	eye1	0.0076015126	SOX9
1	eye2	0.009814375	SOX9
10	eye1	0.0050208396	SOX9
10	eye2	0.016986081	SOX9
11	eye1	0.008597182	SOX9
11	eye2	0.0057688286	SOX9
12	eye1	0.0083696535	SOX9
12	eye2	0.0	SOX9
13	eye1	0.04486397	SOX9
13	eye2	0.0098683415	SOX9
14	eye1	0.0	SOX9
14	eye2	0.0	SOX9
15	eye1	0.04649608	SOX9
15	eye2	0.029333275	SOX9
16	eye1	0.0	SOX9
16	eye2	0.013811513	SOX9
17	eye1	0.0	SOX9
17	eye2	0.0	SOX9
18	eye1	0.024707757	SOX9
18	eye2	0.018473862	SOX9
19	eye1	0.037772577	SOX9
19	eye2	0.014690997	SOX9
2	eye1	0.010047795	SOX9
2	eye2	0.012123691	SOX9
20	eye1	0.0	SOX9
20	eye2	0.0	SOX9
21	eye1	0.0	SOX9
21	eye2	0.0	SOX9
22	eye1	0.0	SOX9
22	eye2	0.020472161	SOX9
23	eye1	0.008234426	SOX9
23	eye2	0.03320081	SOX9
24	eye1	0.0	SOX9
24	eye2	0.0	SOX9
25	eye1	0.054520667	SOX9
25	eye2	0.0	SOX9
3	eye1	0.005572338	SOX9
3	eye2	0.005268526	SOX9
4	eye1	0.010016639	SOX9
4	eye2	0.014029708	SOX9
5	eye1	0.007844177	SOX9
5	eye2	0.008217967	SOX9
6	eye1	0.003828339	SOX9
6	eye2	0.019722378	SOX9
7	eye1	0.018922208	SOX9
7	eye2	0.008664694	SOX9
8	eye1	0.10832981	SOX9
8	eye2	0.11001501	SOX9
9	eye1	0.0076794876	SOX9
9	eye2	0.004290949	SOX9
0	eye1	0.0	P2RY12
0	eye2	0.0	P2RY12
1	eye1	0.0	P2RY12
1	eye2	0.0	P2RY12
10	eye1	0.050977666	P2RY12
10	eye2	0.044629402	P2RY12
11	eye1	0.0	P2RY12
11	eye2	0.0	P2RY12
12	eye1	0.046215903	P2RY12
12	eye2	0.07042094	P2RY12
13	eye1	0.086386316	P2RY12
13	eye2	0.090719685	P2RY12
14	eye1	0.071601346	P2RY12
14	eye2	0.041453302	P2RY12
15	eye1	0.12929207	P2RY12
15	eye2	0.07908518	P2RY12
16	eye1	0.19056311	P2RY12
16	eye2	0.17581871	P2RY12
17	eye1	0.021649605	P2RY12
17	eye2	0.012599752	P2RY12
18	eye1	0.022295706	P2RY12
18	eye2	0.0	P2RY12
19	eye1	0.2137563	P2RY12
19	eye2	0.11333997	P2RY12
2	eye1	0.0	P2RY12
2	eye2	0.0	P2RY12
20	eye1	0.023753818	P2RY12
20	eye2	0.04974158	P2RY12
21	eye1	0.027725266	P2RY12
21	eye2	0.018205982	P2RY12
22	eye1	0.052803155	P2RY12
22	eye2	0.07770923	P2RY12
23	eye1	0.013169995	P2RY12
23	eye2	0.047829635	P2RY12
24	eye1	0.17239226	P2RY12
24	eye2	0.042088583	P2RY12
25	eye1	0.0	P2RY12
25	eye2	0.0	P2RY12
3	eye1	0.0	P2RY12
3	eye2	0.0	P2RY12
4	eye1	0.0	P2RY12
4	eye2	0.0	P2RY12
5	eye1	0.0	P2RY12
5	eye2	0.0	P2RY12
6	eye1	0.0	P2RY12
6	eye2	0.0	P2RY12
7	eye1	0.0	P2RY12
7	eye2	0.0	P2RY12
8	eye1	0.2704269	P2RY12
8	eye2	0.18145403	P2RY12
9	eye1	0.0	P2RY12
9	eye2	0.0027329414	P2RY12
0	eye1	0.0	TMEM119
0	eye2	0.0	TMEM119
1	eye1	0.0	TMEM119
1	eye2	0.0	TMEM119
10	eye1	0.0	TMEM119
10	eye2	0.0	TMEM119
11	eye1	0.0	TMEM119
11	eye2	0.0	TMEM119
12	eye1	0.0	TMEM119
12	eye2	0.0	TMEM119
13	eye1	0.0	TMEM119
13	eye2	0.0	TMEM119
14	eye1	0.0	TMEM119
14	eye2	0.007734282	TMEM119
15	eye1	0.0	TMEM119
15	eye2	0.0	TMEM119
16	eye1	0.0	TMEM119
16	eye2	0.0	TMEM119
17	eye1	0.0	TMEM119
17	eye2	0.0	TMEM119
18	eye1	0.0	TMEM119
18	eye2	0.0	TMEM119
19	eye1	0.0	TMEM119
19	eye2	0.0	TMEM119
2	eye1	0.0	TMEM119
2	eye2	0.0	TMEM119
20	eye1	0.0	TMEM119
20	eye2	0.0	TMEM119
21	eye1	0.0	TMEM119
21	eye2	0.0	TMEM119
22	eye1	0.0	TMEM119
22	eye2	0.0	TMEM119
23	eye1	0.0	TMEM119
23	eye2	0.0	TMEM119
24	eye1	0.0	TMEM119
24	eye2	0.0	TMEM119
25	eye1	0.0	TMEM119
25	eye2	0.0	TMEM119
3	eye1	0.0	TMEM119
3	eye2	0.0	TMEM119
4	eye1	0.0	TMEM119
4	eye2	0.0	TMEM119
5	eye1	0.0	TMEM119
5	eye2	0.0	TMEM119
6	eye1	0.0	TMEM119
6	eye2	0.0	TMEM119
7	eye1	0.0	TMEM119
7	eye2	0.0	TMEM119
8	eye1	0.0	TMEM119
8	eye2	0.0	TMEM119
9	eye1	0.0	TMEM119
9	eye2	0.0	TMEM119
0	eye1	0.0	CX3CR1
0	eye2	0.0	CX3CR1
1	eye1	0.0	CX3CR1
1	eye2	0.0	CX3CR1
10	eye1	0.0	CX3CR1
10	eye2	0.0	CX3CR1
11	eye1	0.0064262967	CX3CR1
11	eye2	0.0	CX3CR1
12	eye1	0.0	CX3CR1
12	eye2	0.0	CX3CR1
13	eye1	0.017208088	CX3CR1
13	eye2	0.010851466	CX3CR1
14	eye1	0.0	CX3CR1
14	eye2	0.0	CX3CR1
15	eye1	0.0	CX3CR1
15	eye2	0.0	CX3CR1
16	eye1	0.0	CX3CR1
16	eye2	0.0	CX3CR1
17	eye1	0.0	CX3CR1
17	eye2	0.0	CX3CR1
18	eye1	0.0	CX3CR1
18	eye2	0.0	CX3CR1
19	eye1	0.0	CX3CR1
19	eye2	0.0	CX3CR1
2	eye1	0.0	CX3CR1
2	eye2	0.0007267195	CX3CR1
20	eye1	0.0	CX3CR1
20	eye2	0.0	CX3CR1
21	eye1	0.0	CX3CR1
21	eye2	0.0	CX3CR1
22	eye1	0.0	CX3CR1
22	eye2	0.0	CX3CR1
23	eye1	0.0	CX3CR1
23	eye2	0.0	CX3CR1
24	eye1	0.0	CX3CR1
24	eye2	0.0	CX3CR1
25	eye1	0.0	CX3CR1
25	eye2	0.0	CX3CR1
3	eye1	0.0	CX3CR1
3	eye2	0.0	CX3CR1
4	eye1	0.0	CX3CR1
4	eye2	0.0	CX3CR1
5	eye1	0.0	CX3CR1
5	eye2	0.0	CX3CR1
6	eye1	0.0	CX3CR1
6	eye2	0.0	CX3CR1
7	eye1	0.0	CX3CR1
7	eye2	0.0	CX3CR1
8	eye1	0.0	CX3CR1
8	eye2	0.0	CX3CR1
9	eye1	0.0	CX3CR1
9	eye2	0.0	CX3CR1
0	eye1	0.0034134146	C1QA
0	eye2	0.006497122	C1QA
1	eye1	0.0047063665	C1QA
1	eye2	0.0015044628	C1QA
10	eye1	0.0027703585	C1QA
