cluster	eye	score	signature	markers
9	eye1	0.007048365	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
9	eye2	0.013232409	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
10	eye1	0.008113181	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
10	eye2	0.012728333	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
11	eye1	0.007042226	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
11	eye2	0.014412056	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
12	eye1	0.040737048	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
12	eye2	0.029948276	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
13	eye1	0.04689182	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
13	eye2	0.036489505	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
14	eye1	0.004631851	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
14	eye2	0.015413321	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
15	eye1	0.012134822	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
15	eye2	0.028975833	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
16	eye1	0.02075589	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
16	eye2	0.013330225	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
17	eye1	0.010934243	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
17	eye2	0.008489643	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
18	eye1	0.01817004	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
18	eye2	0.016136508	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
19	eye1	0.016478973	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
19	eye2	0.0057504773	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
20	eye1	0.002993385	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
20	eye2	0.013485256	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
21	eye1	0.041190177	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
21	eye2	0.024366578	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
22	eye1	0.03268702	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
22	eye2	0.017792583	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
23	eye1	0.021582248	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
23	eye2	0.002556455	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
24	eye1	0.014973787	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
24	eye2	0.0	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
25	eye1	0.0	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
25	eye2	0.0	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
0	eye1	0.00047059177	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
0	eye2	0.0004984324	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
1	eye1	0.00015211699	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
1	eye2	0.00019152102	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
2	eye1	0.0005916053	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
2	eye2	0.00034231364	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
3	eye1	0.00027564736	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
3	eye2	0.0006326207	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
4	eye1	0.00057989056	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
4	eye2	0.00022738434	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
5	eye1	0.00055194413	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
5	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
6	eye1	0.0007405662	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
6	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
7	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
7	eye2	0.0005014399	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
8	eye1	0.31666905	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
8	eye2	0.0020607281	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
9	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
9	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
10	eye1	0.0015219322	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
10	eye2	0.00016777677	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
11	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
11	eye2	0.0006287628	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
12	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
12	eye2	0.0006231799	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
13	eye1	0.00094008713	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
13	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
14	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
14	eye2	0.00066894165	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
15	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
15	eye2	0.0011152759	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
16	eye1	0.00090952957	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
16	eye2	0.0007895365	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
17	eye1	0.0008465449	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
17	eye2	0.0020445676	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
18	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
18	eye2	0.0051864237	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
19	eye1	0.0011195764	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
19	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
20	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
20	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
21	eye1	0.0032587165	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
21	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
22	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
22	eye2	0.0020063978	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
23	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
23	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
24	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
24	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
25	eye1	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
25	eye2	0.0	cytokine_chemokine	IL1B,TNF,IL6,CXCL8,CCL2,CXCL10,CCL3,CCL4,CCL5
0	eye1	0.022933284	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
0	eye2	0.024534546	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
1	eye1	0.016246984	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
1	eye2	0.019714745	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
2	eye1	0.02597461	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
2	eye2	0.02510926	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
3	eye1	0.022498999	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
3	eye2	0.023843575	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
4	eye1	0.01865464	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
4	eye2	0.025031552	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
5	eye1	0.018334514	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
5	eye2	0.020381441	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
6	eye1	0.017504256	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
6	eye2	0.022359742	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
7	eye1	0.012568406	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
7	eye2	0.015015543	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
8	eye1	0.09266209	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
8	eye2	0.03603462	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
9	eye1	0.018886676	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
9	eye2	0.016805205	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
10	eye1	0.023596723	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
10	eye2	0.01309403	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
11	eye1	0.020206932	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
11	eye2	0.021752749	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
12	eye1	0.01307922	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
12	eye2	0.009267459	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
13	eye1	0.05326436	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
13	eye2	0.040474378	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
14	eye1	0.009869896	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
14	eye2	0.017101042	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
15	eye1	0.032852087	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
15	eye2	0.023835171	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
16	eye1	0.04098452	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
16	eye2	0.032298	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
17	eye1	0.03449612	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
17	eye2	0.024871666	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
18	eye1	0.023889221	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
18	eye2	0.028405253	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
19	eye1	0.03408922	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
19	eye2	0.0241594	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
20	eye1	0.022077963	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
20	eye2	0.0153256	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
21	eye1	0.017066289	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
21	eye2	0.012382622	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
22	eye1	0.01921137	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
22	eye2	0.010751867	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
23	eye1	0.024777533	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
23	eye2	0.023470571	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
24	eye1	0.028924938	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
24	eye2	0.010939757	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
25	eye1	0.01648019	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
25	eye2	0.009595343	interferon	STAT1,IRF1,IRF7,ISG15,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,GBP1,GBP2
0	eye1	0.006044222	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
0	eye2	0.0054736747	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
1	eye1	0.004854308	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
1	eye2	0.005901555	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
2	eye1	0.0039848485	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
2	eye2	0.0044370736	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
3	eye1	0.0057393797	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
3	eye2	0.0055414857	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
4	eye1	0.0023560356	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
4	eye2	0.0036313022	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
5	eye1	0.00451917	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
5	eye2	0.00229376	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
6	eye1	0.0028918248	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
6	eye2	0.0045202505	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
7	eye1	0.003748749	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
7	eye2	0.004676931	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
8	eye1	0.0048229275	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
8	eye2	0.007319376	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
9	eye1	0.001847776	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
9	eye2	0.0062125647	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
10	eye1	0.0036692203	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
10	eye2	0.0034764179	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
11	eye1	0.0101799285	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
11	eye2	0.0058595114	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
12	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
12	eye2	0.0012330274	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
13	eye1	0.0011939886	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
13	eye2	0.0028212792	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
14	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
14	eye2	0.0010359966	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
15	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
15	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
16	eye1	0.0012636903	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
16	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
17	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
17	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
18	eye1	0.0010682719	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
18	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
19	eye1	0.0065633254	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
19	eye2	0.0012280768	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
20	eye1	0.002048948	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
20	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
21	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
21	eye2	0.0037080771	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
22	eye1	0.007311186	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
22	eye2	0.0046294583	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
23	eye1	0.0012726664	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
23	eye2	0.0069121933	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
24	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
24	eye2	0.004900938	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
25	eye1	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
25	eye2	0.0	complement	C1QA,C1QB,C1QC,C3,C4A,C4B
0	eye1	0.05595132	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
0	eye2	0.055198405	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
1	eye1	0.030731754	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
1	eye2	0.032007035	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
2	eye1	0.053365134	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
2	eye2	0.04674974	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
3	eye1	0.043436315	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
3	eye2	0.03867514	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
4	eye1	0.040805817	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
4	eye2	0.037759975	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
5	eye1	0.03601782	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
5	eye2	0.04345628	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
6	eye1	0.033274308	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
6	eye2	0.035379708	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
7	eye1	0.035228483	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
7	eye2	0.043101244	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
8	eye1	0.3936649	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
8	eye2	0.08201655	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
9	eye1	0.06069572	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
9	eye2	0.055504933	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
10	eye1	0.038890198	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
10	eye2	0.03187836	NFKB_TNF	NFKB1,NFKBIA,TNFAIP3,NFKBIZ,TRAF1,BIRC3
