group	member	nseq	alignment_length	pis_count	pis_percent
animals	692986at2759.faa.mafft	1	794	0	0
animals	708105at2759.faa.mafft	2	426	0	0
animals	719531at2759.faa.mafft	2	489	0	0
animals	720340at2759.faa.mafft	3	561	0	0
animals	721605at2759.faa.mafft	4	436	18	4.12844036697
animals	734341at2759.faa.mafft	1	269	0	0
animals	734666at2759.faa.mafft	3	517	0	0
animals	736068at2759.faa.mafft	1	451	0	0
animals	751335at2759.faa.mafft	1	470	0	0
animals	759498at2759.faa.mafft	2	732	0	0
animals	761109at2759.faa.mafft	2	678	0	0
animals	768809at2759.faa.mafft	1	376	0	0
animals	777920at2759.faa.mafft	3	598	0	0
animals	779909at2759.faa.mafft	1	326	0	0
animals	801857at2759.faa.mafft	1	436	0	0
animals	814241at2759.faa.mafft	3	435	0	0
animals	817008at2759.faa.mafft	1	417	0	0
animals	834694at2759.faa.mafft	1	728	0	0
animals	836599at2759.faa.mafft	3	545	0	0
animals	83779at2759.faa.mafft	2	652	0	0
animals	844748at2759.faa.mafft	2	482	0	0
animals	855834at2759.faa.mafft	2	700	0	0
animals	858842at2759.faa.mafft	1	485	0	0
animals	865202at2759.faa.mafft	2	305	0	0
animals	866359at2759.faa.mafft	3	327	0	0
animals	869548at2759.faa.mafft	2	269	0	0
animals	878143at2759.faa.mafft	1	442	0	0
animals	87842at2759.faa.mafft	2	1066	0	0
animals	887370at2759.faa.mafft	2	581	0	0
animals	891751at2759.faa.mafft	3	572	0	0
animals	898782at2759.faa.mafft	2	547	0	0
animals	901894at2759.faa.mafft	2	543	0	0
animals	905026at2759.faa.mafft	2	706	0	0
animals	911863at2759.faa.mafft	2	425	0	0
animals	917326at2759.faa.mafft	1	639	0	0
animals	919955at2759.faa.mafft	3	389	0	0
animals	923657at2759.faa.mafft	2	317	0	0
animals	924753at2759.faa.mafft	2	465	0	0
animals	931188at2759.faa.mafft	2	629	0	0
animals	937275at2759.faa.mafft	1	417	0	0
animals	937686at2759.faa.mafft	2	491	0	0
animals	939345at2759.faa.mafft	1	245	0	0
animals	944899at2759.faa.mafft	2	398	0	0
animals	946128at2759.faa.mafft	1	532	0	0
animals	956854at2759.faa.mafft	1	294	0	0
animals	97116at2759.faa.mafft	1	1220	0	0
animals	973442at2759.faa.mafft	2	425	0	0
animals	974865at2759.faa.mafft	4	309	10	3.23624595469
animals	975158at2759.faa.mafft	3	459	0	0
animals	975557at2759.faa.mafft	1	755	0	0
animals	976469at2759.faa.mafft	2	386	0	0
animals	981902at2759.faa.mafft	3	391	0	0
animals	996662at2759.faa.mafft	4	453	12	2.64900662252
fungi	1001705at2759.faa.mafft	4	596	20	3.35570469799
fungi	1003258at2759.faa.mafft	4	1071	21	1.96078431373
fungi	100698at2759.faa.mafft	4	954	34	3.56394129979
fungi	1010730at2759.faa.mafft	4	650	23	3.53846153846
fungi	1014314at2759.faa.mafft	4	455	17	3.73626373626
fungi	1018517at2759.faa.mafft	4	345	24	6.95652173913
fungi	1019762at2759.faa.mafft	4	918	25	2.72331154684
fungi	1025450at2759.faa.mafft	4	594	27	4.54545454545
fungi	1030907at2759.faa.mafft	4	421	9	2.1377672209
fungi	1032689at2759.faa.mafft	4	688	21	3.0523255814
fungi	1038775at2759.faa.mafft	3	384	0	0
fungi	1041560at2759.faa.mafft	4	666	27	4.05405405405
fungi	1049599at2759.faa.mafft	3	551	0	0
fungi	1051021at2759.faa.mafft	4	891	17	1.90796857464
fungi	1053181at2759.faa.mafft	3	374	0	0
fungi	1057950at2759.faa.mafft	4	395	16	4.05063291139
fungi	1065019at2759.faa.mafft	4	430	25	5.81395348837
fungi	1076134at2759.faa.mafft	4	345	14	4.05797101449
fungi	1079130at2759.faa.mafft	4	563	33	5.86145648313
fungi	1079827at2759.faa.mafft	4	264	21	7.95454545455
fungi	1085752at2759.faa.mafft	3	621	0	0
fungi	1087488at2759.faa.mafft	4	567	25	4.40917107584
fungi	1090038at2759.faa.mafft	3	556	0	0
fungi	1094121at2759.faa.mafft	4	251	10	3.98406374502
fungi	1096688at2759.faa.mafft	4	481	14	2.9106029106
fungi	1106766at2759.faa.mafft	3	745	0	0
fungi	1107630at2759.faa.mafft	4	520	17	3.26923076923
fungi	1108845at2759.faa.mafft	3	501	0	0
fungi	1111142at2759.faa.mafft	3	800	0	0
fungi	1112002at2759.faa.mafft	4	1213	51	4.20445177246
fungi	1115196at2759.faa.mafft	4	566	26	4.59363957597
fungi	1128607at2759.faa.mafft	4	366	25	6.8306010929
fungi	1129824at2759.faa.mafft	4	326	16	4.90797546012
fungi	1138059at2759.faa.mafft	4	317	14	4.41640378549
fungi	1157302at2759.faa.mafft	4	247	15	6.07287449393
fungi	1161199at2759.faa.mafft	4	358	16	4.46927374302
fungi	1173229at2759.faa.mafft	3	597	0	0
fungi	1178688at2759.faa.mafft	4	229	12	5.24017467249
fungi	1182451at2759.faa.mafft	4	477	19	3.98322851153
fungi	1193442at2759.faa.mafft	4	567	29	5.11463844797
fungi	1194691at2759.faa.mafft	4	512	27	5.2734375
fungi	1194797at2759.faa.mafft	4	826	47	5.69007263923
fungi	1197019at2759.faa.mafft	4	254	15	5.90551181102
fungi	1200489at2759.faa.mafft	4	318	7	2.20125786164
fungi	1217666at2759.faa.mafft	4	324	20	6.17283950617
fungi	1220881at2759.faa.mafft	4	514	16	3.11284046693
fungi	1222562at2759.faa.mafft	4	505	12	2.37623762376
fungi	1223488at2759.faa.mafft	4	291	13	4.46735395189
fungi	1228942at2759.faa.mafft	4	278	24	8.63309352518
fungi	1233814at2759.faa.mafft	4	334	9	2.69461077844
fungi	1236198at2759.faa.mafft	4	159	5	3.14465408805
fungi	1247641at2759.faa.mafft	4	874	28	3.20366132723
fungi	1248958at2759.faa.mafft	4	1013	52	5.13326752221
fungi	1249159at2759.faa.mafft	4	248	15	6.04838709677
fungi	1251252at2759.faa.mafft	4	448	6	1.33928571429
fungi	1257440at2759.faa.mafft	4	230	12	5.21739130435
fungi	1258856at2759.faa.mafft	4	1054	59	5.59772296015
fungi	1259741at2759.faa.mafft	4	524	20	3.81679389313
fungi	1260807at2759.faa.mafft	4	1625	15	0.923076923077
fungi	1264469at2759.faa.mafft	4	419	20	4.77326968974
fungi	1266231at2759.faa.mafft	3	396	0	0
fungi	1269244at2759.faa.mafft	4	320	9	2.8125
fungi	1269649at2759.faa.mafft	4	320	11	3.4375
fungi	1275837at2759.faa.mafft	4	364	28	7.69230769231
fungi	1284731at2759.faa.mafft	4	309	12	3.88349514563
fungi	1287094at2759.faa.mafft	4	244	14	5.73770491803
fungi	1287401at2759.faa.mafft	3	374	0	0
fungi	1291729at2759.faa.mafft	4	233	11	4.72103004292
fungi	1304061at2759.faa.mafft	4	282	9	3.1914893617
fungi	1309031at2759.faa.mafft	4	1053	34	3.22886989554
fungi	1312453at2759.faa.mafft	4	2093	73	3.48781653129
fungi	1314980at2759.faa.mafft	3	1110	0	0
fungi	1322299at2759.faa.mafft	4	722	23	3.18559556787
fungi	1322642at2759.faa.mafft	3	908	0	0
fungi	1323575at2759.faa.mafft	4	236	10	4.23728813559
fungi	1324510at2759.faa.mafft	4	660	23	3.48484848485
fungi	1338131at2759.faa.mafft	4	203	13	6.4039408867
fungi	1339553at2759.faa.mafft	4	559	20	3.57781753131
fungi	1342242at2759.faa.mafft	4	549	15	2.73224043716
fungi	1346165at2759.faa.mafft	4	614	20	3.25732899023
fungi	1346432at2759.faa.mafft	4	365	15	4.1095890411
fungi	1348942at2759.faa.mafft	4	482	16	3.31950207469
fungi	1355894at2759.faa.mafft	4	214	11	5.14018691589
fungi	1358374at2759.faa.mafft	4	401	11	2.74314214464
fungi	1364586at2759.faa.mafft	3	364	0	0
fungi	1370285at2759.faa.mafft	4	955	34	3.56020942408
fungi	1370304at2759.faa.mafft	4	1125	29	2.57777777778
fungi	1377237at2759.faa.mafft	3	626	0	0
fungi	1379600at2759.faa.mafft	4	1086	33	3.03867403315
fungi	1380409at2759.faa.mafft	3	220	0	0
fungi	1382842at2759.faa.mafft	3	322	0	0
fungi	1395649at2759.faa.mafft	3	295	0	0
fungi	1398309at2759.faa.mafft	4	186	14	7.52688172043
fungi	1404162at2759.faa.mafft	4	926	25	2.69978401728
fungi	1405073at2759.faa.mafft	4	184	10	5.4347826087
fungi	1405146at2759.faa.mafft	4	266	7	2.63157894737
fungi	1407446at2759.faa.mafft	4	209	3	1.43540669856
fungi	1421503at2759.faa.mafft	4	300	10	3.33333333333
fungi	1423847at2759.faa.mafft	4	459	20	4.35729847495
fungi	142542at2759.faa.mafft	3	2034	0	0
fungi	1426075at2759.faa.mafft	4	320	6	1.875
fungi	1428265at2759.faa.mafft	4	461	18	3.90455531453
fungi	1428854at2759.faa.mafft	4	974	58	5.95482546201
fungi	1430056at2759.faa.mafft	4	253	10	3.95256916996
fungi	1432328at2759.faa.mafft	4	450	13	2.88888888889
fungi	1434266at2759.faa.mafft	4	393	12	3.0534351145
fungi	1440961at2759.faa.mafft	4	581	17	2.92598967298
fungi	1441854at2759.faa.mafft	4	390	18	4.61538461538
fungi	1442062at2759.faa.mafft	4	784	22	2.80612244898
fungi	1445102at2759.faa.mafft	4	303	50	16.501650165
fungi	1450538at2759.faa.mafft	4	573	11	1.91972076789
fungi	1454155at2759.faa.mafft	4	455	18	3.95604395604
fungi	1455730at2759.faa.mafft	3	645	0	0
fungi	1459797at2759.faa.mafft	4	140	5	3.57142857143
fungi	1474000at2759.faa.mafft	4	480	20	4.16666666667
fungi	1479417at2759.faa.mafft	2	660	0	0
fungi	1488235at2759.faa.mafft	4	234	12	5.12820512821
fungi	1488436at2759.faa.mafft	4	163	5	3.06748466258
fungi	1490022at2759.faa.mafft	4	236	18	7.62711864407
fungi	1504863at2759.faa.mafft	4	230	3	1.30434782609
fungi	1513531at2759.faa.mafft	4	370	5	1.35135135135
fungi	1525971at2759.faa.mafft	4	190	11	5.78947368421
fungi	1526152at2759.faa.mafft	2	184	0	0
fungi	1530008at2759.faa.mafft	4	237	14	5.90717299578
fungi	1538526at2759.faa.mafft	4	256	10	3.90625
fungi	1545004at2759.faa.mafft	2	96	0	0
fungi	1552706at2759.faa.mafft	4	468	4	0.854700854701
fungi	1558822at2759.faa.mafft	3	109	0	0
fungi	156083at2759.faa.mafft	3	2440	0	0
fungi	1563319at2759.faa.mafft	2	377	0	0
fungi	1567796at2759.faa.mafft	4	570	9	1.57894736842
fungi	1575179at2759.faa.mafft	4	205	3	1.46341463415
fungi	1576404at2759.faa.mafft	4	308	12	3.8961038961
fungi	1588798at2759.faa.mafft	4	454	15	3.30396475771
fungi	1593937at2759.faa.mafft	4	542	23	4.24354243542
fungi	160593at2759.faa.mafft	4	2968	162	5.45822102426
fungi	1617752at2759.faa.mafft	4	120	2	1.66666666667
fungi	1620056at2759.faa.mafft	4	160	10	6.25
fungi	1623701at2759.faa.mafft	4	213	12	5.6338028169
fungi	1626636at2759.faa.mafft	3	261	0	0
fungi	1633672at2759.faa.mafft	4	118	4	3.38983050847
fungi	1645187at2759.faa.mafft	4	171	8	4.6783625731
fungi	166920at2759.faa.mafft	4	1486	79	5.31628532974
fungi	176625at2759.faa.mafft	4	1510	68	4.50331125828
fungi	179362at2759.faa.mafft	4	1384	57	4.11849710983
fungi	245208at2759.faa.mafft	4	1272	52	4.08805031447
fungi	257318at2759.faa.mafft	4	833	28	3.36134453782
fungi	261328at2759.faa.mafft	3	1549	0	0
fungi	261419at2759.faa.mafft	3	1563	0	0
fungi	270107at2759.faa.mafft	4	1180	53	4.49152542373
fungi	271586at2759.faa.mafft	4	1450	45	3.10344827586
fungi	290630at2759.faa.mafft	4	960	48	5
fungi	293315at2759.faa.mafft	4	1752	66	3.76712328767
fungi	296129at2759.faa.mafft	4	1198	68	5.67612687813
fungi	299766at2759.faa.mafft	4	1733	43	2.48124639354
fungi	306227at2759.faa.mafft	3	1145	0	0
fungi	320059at2759.faa.mafft	4	589	18	3.05602716469
fungi	324863at2759.faa.mafft	4	1222	60	4.90998363339
fungi	325552at2759.faa.mafft	4	658	48	7.29483282675
fungi	330169at2759.faa.mafft	4	700	36	5.14285714286
fungi	331411at2759.faa.mafft	4	1234	40	3.2414910859
fungi	341721at2759.faa.mafft	4	1136	40	3.52112676056
fungi	345441at2759.faa.mafft	3	585	0	0
fungi	355408at2759.faa.mafft	4	799	46	5.75719649562
fungi	369837at2759.faa.mafft	4	880	50	5.68181818182
fungi	375960at2759.faa.mafft	4	904	30	3.3185840708
fungi	383503at2759.faa.mafft	4	606	28	4.6204620462
fungi	388820at2759.faa.mafft	4	1258	52	4.13354531002
fungi	390348at2759.faa.mafft	4	1158	60	5.18134715026
fungi	392369at2759.faa.mafft	4	560	25	4.46428571429
fungi	39650at2759.faa.mafft	4	2451	115	4.6919624643
fungi	396755at2759.faa.mafft	4	1563	59	3.77479206654
fungi	418107at2759.faa.mafft	4	531	32	6.0263653484
fungi	426305at2759.faa.mafft	4	925	54	5.83783783784
fungi	450058at2759.faa.mafft	4	1235	28	2.26720647773
fungi	453044at2759.faa.mafft	4	565	30	5.30973451327
fungi	457861at2759.faa.mafft	4	557	14	2.51346499102
fungi	464990at2759.faa.mafft	4	762	26	3.41207349081
fungi	491869at2759.faa.mafft	2	1208	0	0
fungi	513979at2759.faa.mafft	4	846	35	4.13711583924
fungi	543764at2759.faa.mafft	4	751	34	4.52729693742
fungi	549762at2759.faa.mafft	3	772	0	0
fungi	551907at2759.faa.mafft	4	1315	48	3.65019011407
fungi	570797at2759.faa.mafft	4	1233	21	1.70316301703
fungi	582756at2759.faa.mafft	4	719	34	4.72878998609
fungi	598949at2759.faa.mafft	4	1186	49	4.13153456998
fungi	604979at2759.faa.mafft	3	668	0	0
fungi	621827at2759.faa.mafft	4	611	36	5.89198036007
fungi	625387at2759.faa.mafft	3	1557	0	0
fungi	655400at2759.faa.mafft	4	953	28	2.93809024134
fungi	664730at2759.faa.mafft	4	539	27	5.00927643785
fungi	671536at2759.faa.mafft	4	608	26	4.27631578947
fungi	671846at2759.faa.mafft	4	1041	23	2.20941402498
fungi	673132at2759.faa.mafft	4	502	26	5.17928286853
fungi	674160at2759.faa.mafft	4	3238	126	3.89129092032
fungi	674169at2759.faa.mafft	4	1131	16	1.41467727675
fungi	679187at2759.faa.mafft	3	1160	0	0
fungi	679771at2759.faa.mafft	3	481	0	0
fungi	687505at2759.faa.mafft	4	477	18	3.77358490566
fungi	692986at2759.faa.mafft	4	1047	32	3.05635148042
fungi	708105at2759.faa.mafft	4	553	21	3.79746835443
fungi	719531at2759.faa.mafft	4	553	23	4.15913200723
fungi	720340at2759.faa.mafft	4	508	20	3.93700787402
fungi	721605at2759.faa.mafft	2	394	0	0
fungi	722805at2759.faa.mafft	4	1701	49	2.88065843621
fungi	734341at2759.faa.mafft	4	452	12	2.65486725664
fungi	734666at2759.faa.mafft	4	582	31	5.3264604811
fungi	736068at2759.faa.mafft	4	613	22	3.58890701468
fungi	751335at2759.faa.mafft	4	641	24	3.74414976599
fungi	759498at2759.faa.mafft	4	1001	45	4.4955044955
fungi	761109at2759.faa.mafft	4	889	27	3.03712035996
fungi	768809at2759.faa.mafft	4	581	24	4.13080895009
fungi	774318at2759.faa.mafft	4	1250	18	1.44
fungi	777920at2759.faa.mafft	4	736	34	4.61956521739
fungi	779909at2759.faa.mafft	4	408	26	6.37254901961
fungi	801857at2759.faa.mafft	4	804	25	3.10945273632
fungi	814241at2759.faa.mafft	4	668	20	2.99401197605
fungi	817008at2759.faa.mafft	4	494	20	4.04858299595
fungi	834694at2759.faa.mafft	4	974	31	3.18275154004
fungi	836599at2759.faa.mafft	4	645	25	3.87596899225
fungi	83779at2759.faa.mafft	4	720	27	3.75
fungi	844748at2759.faa.mafft	3	695	0	0
fungi	855834at2759.faa.mafft	4	868	30	3.45622119816
fungi	858842at2759.faa.mafft	3	993	0	0
fungi	865202at2759.faa.mafft	4	374	15	4.01069518717
fungi	866359at2759.faa.mafft	4	365	19	5.20547945205
fungi	869548at2759.faa.mafft	4	306	17	5.55555555556
fungi	878143at2759.faa.mafft	4	527	26	4.93358633776
fungi	87842at2759.faa.mafft	4	1367	44	3.21872713972
fungi	887370at2759.faa.mafft	4	842	23	2.73159144893
fungi	891751at2759.faa.mafft	4	873	23	2.63459335624
fungi	898782at2759.faa.mafft	4	753	23	3.05444887118
fungi	901894at2759.faa.mafft	4	859	16	1.86263096624
fungi	905026at2759.faa.mafft	4	1172	32	2.73037542662
fungi	911863at2759.faa.mafft	4	525	24	4.57142857143
fungi	917326at2759.faa.mafft	4	808	36	4.45544554455
fungi	918816at2759.faa.mafft	4	829	24	2.89505428227
fungi	919955at2759.faa.mafft	4	407	23	5.65110565111
fungi	923657at2759.faa.mafft	4	456	22	4.82456140351
fungi	924753at2759.faa.mafft	4	647	30	4.63678516229
fungi	931188at2759.faa.mafft	4	685	26	3.79562043796
fungi	937275at2759.faa.mafft	3	613	0	0
fungi	937686at2759.faa.mafft	3	596	0	0
fungi	939345at2759.faa.mafft	4	724	11	1.51933701657
fungi	944899at2759.faa.mafft	4	369	21	5.69105691057
fungi	946128at2759.faa.mafft	4	840	26	3.09523809524
fungi	956854at2759.faa.mafft	3	362	0	0
fungi	97116at2759.faa.mafft	4	1483	76	5.12474713419
fungi	973442at2759.faa.mafft	4	748	16	2.13903743316
fungi	974865at2759.faa.mafft	4	429	20	4.662004662
fungi	975158at2759.faa.mafft	4	605	25	4.13223140496
fungi	975557at2759.faa.mafft	4	872	21	2.40825688073
fungi	976469at2759.faa.mafft	3	415	0	0
fungi	981902at2759.faa.mafft	4	773	20	2.5873221216
fungi	996662at2759.faa.mafft	4	341	13	3.81231671554
