feature	n_pairs	statistic	p_value	p_adjust_bh	significant
ACH-000291	17676	-0.3126348244474475	0	0	true
ACH-000118	17676	-0.30198646034152954	0	0	true
ACH-000233	17676	-0.35914694224227151	0	0	true
ACH-000151	17548	-0.30879733407163562	0	0	true
ACH-000618	17548	-0.31191007097996259	0	0	true
ACH-000501	17124	-0.30294830249431437	0	0	true
ACH-000496	17548	-0.31081658659474998	0	0	true
ACH-000811	17548	-0.26550995407434047	6.6937900563375863e-281	7.796462969525193e-281	true
ACH-000849	17676	-0.32720866842678875	0	0	true
ACH-000141	17548	-0.24984200918339938	6.4083195061291983e-248	6.9162195844036261e-248	true
ACH-000212	17548	-0.29998465615557002	0	0	true
ACH-000894	17124	-0.2759325018966069	8.0069106148672617e-297	9.8457328965424622e-297	true
ACH-000402	17548	-0.31286309852263	0	0	true
ACH-000838	17548	-0.31229024112884757	0	0	true
ACH-000052	17547	-0.30014174886267969	0	0	true
ACH-000697	17548	-0.36173228657883977	0	0	true
ACH-000977	17676	-0.37745677651143972	0	0	true
ACH-000407	17548	-0.29158265354502622	0	0	true
ACH-000479	17548	-0.25191458818117463	3.7568549939611581e-252	4.1027832260783739e-252	true
ACH-000671	17547	-0.30783442668963007	0	0	true
ACH-000387	17548	-0.37062309118976855	0	0	true
ACH-000559	17548	-0.28937894451809187	0	0	true
ACH-000481	17676	-0.28270406882299859	0	0	true
ACH-000884	17548	-0.28157323125493272	0	0	true
ACH-000621	17548	-0.26816697937287515	1.0104666337738401e-286	1.2062172046023223e-286	true
ACH-000248	17676	-0.29231332707183511	0	0	true
ACH-000847	17676	-0.34002044972160655	0	0	true
ACH-000438	17676	-0.23775111104519706	1.2355153767655162e-225	1.2917283986467908e-225	true
ACH-000116	17548	-0.32182205124018726	0	0	true
ACH-000804	17676	-0.36231796539693761	0	0	true
ACH-000411	17676	-0.31675480971458247	0	0	true
ACH-000758	17548	-0.28462413243077339	0	0	true
ACH-000725	17548	-0.2741726932866157	3.9801796329274949e-300	4.9774808788197586e-300	true
ACH-000090	17548	-0.29130485894060637	0	0	true
ACH-000519	17548	-0.2660037645216437	5.6086017445310289e-282	6.5881658404874603e-282	true
ACH-000310	17548	-0.339641561953198	0	0	true
ACH-000237	17547	-0.25213052693854904	1.3992746665746201e-252	1.5311507512220298e-252	true
ACH-000709	17548	-0.22433244427905227	4.94113707713068e-199	5.0698364614652464e-199	true
ACH-000796	17676	-0.35480177097751114	0	0	true
ACH-000581	17675	-0.30411302816208247	0	0	true
ACH-000910	17676	-0.34048865683029239	0	0	true
ACH-000622	17676	-0.31931772609802533	0	0	true
ACH-000216	17548	-0.35560155774367119	0	0	true
ACH-000841	17676	-0.29253067373513503	0	0	true
ACH-000077	17548	-0.28582517504689264	0	0	true
ACH-000978	17548	-0.2886948567765743	0	0	true
ACH-000518	17676	-0.33108615701484412	0	0	true
ACH-000367	17124	-0.2614328343586631	1.4191813199483992e-265	1.5859746665684745e-265	true
ACH-000086	17548	-0.32814649197789719	0	0	true
ACH-000807	17548	-0.30526294081045885	0	0	true
ACH-000881	17548	-0.32105915623035808	0	0	true
ACH-000024	17676	-0.34492828001632653	0	0	true
ACH-000926	17676	-0.32370800105970454	0	0	true
ACH-000749	17433	-0.32950452422103665	0	0	true
ACH-000820	17548	-0.25623889594337984	4.1432612817947507e-261	4.5976028106837118e-261	true
ACH-000238	17676	-0.32778529833888148	0	0	true
ACH-000461	17548	-0.36147297883891155	0	0	true
ACH-000558	17124	-0.33740618827495344	0	0	true
ACH-000469	17676	-0.3022657202658765	0	0	true
ACH-000471	17548	-0.31854186696771281	0	0	true
ACH-000843	17676	-0.34038579058706703	0	0	true
ACH-000968	17548	-0.26590238631967927	9.3349211167115191e-282	1.0941995740417433e-281	true
ACH-000048	17676	-0.29835640501629956	0	0	true
ACH-000385	17548	-0.26941796280939462	1.7404203122339929e-289	2.0980148681902671e-289	true
ACH-000148	17676	-0.27843943736638799	0	0	true
ACH-000599	17675	-0.31729509101907816	0	0	true
ACH-000268	17548	-0.25590078880323369	2.1084082480472997e-260	2.3372606005991672e-260	true
ACH-000936	17676	-0.33702620712575204	0	0	true
ACH-000800	17547	-0.28544313634772017	0	0	true
ACH-000593	17548	-0.26360230660054507	9.2033951982982193e-277	1.0596393427685737e-276	true
ACH-000361	17548	-0.25197870324688254	2.7750997722365118e-252	3.0336323575588432e-252	true
ACH-000191	17548	-0.33547624794692232	0	0	true
ACH-000155	17124	-0.31790033653586652	0	0	true
ACH-000702	17548	-0.30312469679692067	0	0	true
ACH-000015	17548	-0.31755797215177722	0	0	true
ACH-000701	17548	-0.2632127875618645	6.378570671038992e-276	7.3210857962081254e-276	true
ACH-000920	17547	-0.29212577873514634	0	0	true
ACH-000075	17676	-0.27577010490643039	5.9769066351601008e-306	7.6302407622472129e-306	true
ACH-000242	17548	-0.27400159553783426	9.6950672781296102e-300	1.2110599329305729e-299	true
ACH-000537	17548	-0.29242788842401518	0	0	true
ACH-000561	17124	-0.32417846268358519	0	0	true
ACH-000583	17676	-0.39365426526663927	0	0	true
ACH-000312	17548	-0.27856841295530177	3.7161919819199579e-310	4.8109856291757436e-310	true
ACH-000783	17548	-0.3432344660943325	0	0	true
ACH-000416	17548	-0.3528794084313232	0	0	true
ACH-000714	17676	-0.37287466119927282	0	0	true
ACH-000252	17676	-0.27782382803266326	1.1164368494468641e-310	1.450447402756046e-310	true
ACH-000082	17548	-0.30911097162251161	0	0	true
ACH-000956	17124	-0.30150035481286824	0	0	true
ACH-000403	17547	-0.32644271345184839	0	0	true
ACH-000491	17548	-0.22407635982817614	1.4288622332419952e-198	1.4633565861336312e-198	true
ACH-000784	17676	-0.28562392235127382	0	0	true
ACH-000747	17548	-0.32605384198389364	0	0	true
ACH-000243	17676	-0.33173706337147874	0	0	true
ACH-000249	17124	-0.27828931110348243	4.3590800483206799e-302	5.5012188710500107e-302	true
ACH-000916	17548	-0.23303309066536296	4.7716261046825607e-215	4.9418813084177125e-215	true
ACH-000888	17548	-0.34232005827785322	0	0	true
ACH-000060	17676	-0.31611232560427471	0	0	true
ACH-000028	17548	-0.35211272599256727	0	0	true
ACH-000359	17548	-0.27907882074761747	0	0	true
ACH-000007	17676	-0.30652551345357715	0	0	true
ACH-000858	17676	-0.26770393699551925	9.0219306130227757e-288	1.0816510289308828e-287	true
ACH-000810	17548	-0.26152146943107052	2.7472456447733137e-272	3.1207126119309629e-272	true
ACH-000550	17548	-0.27009866878295236	5.376387399141825e-291	6.5095008795317601e-291	true
ACH-000775	17548	-0.30117069179870248	0	0	true
ACH-000766	17548	-0.28726158482360564	0	0	true
ACH-000819	17548	-0.31678229732359703	0	0	true
ACH-000552	17676	-0.31679381117323502	0	0	true
ACH-000222	17676	-0.25992122885829877	8.0699611731806138e-271	9.1481677019714468e-271	true
ACH-000070	17548	-0.30095494181655064	0	0	true
ACH-000266	17548	-0.27440492351176232	1.1875679703301128e-300	1.4918991700160757e-300	true
ACH-000259	17548	-0.34594002541010782	0	0	true
ACH-000113	17676	-0.38439791267421575	0	0	true
ACH-000097	17676	-0.3386020131805646	0	0	true
ACH-000831	17548	-0.33044669810840505	0	0	true
ACH-000602	17548	-0.32895588667303471	0	0	true
ACH-000672	17546	-0.20747115089409907	7.0083127736551193e-170	7.0918981553592635e-170	true
ACH-000346	17548	-0.30161209570095321	0	0	true
ACH-000368	17548	-0.27342675659030591	1.920991310813849e-298	2.37806219509279e-298	true
ACH-000480	17548	-0.28536012000811267	0	0	true
ACH-000108	17676	-0.26655196824696414	3.1671125872871228e-285	3.760306979308607e-285	true
ACH-000106	17548	-0.29750097168318246	0	0	true
ACH-000589	17548	-0.29459304105592027	0	0	true
ACH-000303	17547	-0.30781057807830658	0	0	true
ACH-000463	17548	-0.30137892899277735	0	0	true
ACH-000986	17548	-0.33014011563707713	0	0	true
ACH-000370	17547	-0.24509364835936059	2.3274377444105682e-238	2.4899746188989879e-238	true
ACH-000527	17676	-0.33563059669216777	0	0	true
ACH-000548	17676	-0.27160376232881195	1.7547995402000219e-296	2.1553940900229667e-296	true
ACH-000017	17548	-0.30955359157273027	0	0	true
ACH-000042	17676	-0.25958393058157953	4.252001605485665e-270	4.8102130983083989e-270	true
ACH-001211	17548	-0.36854350779647066	0	0	true
ACH-000336	17676	-0.31936464510699875	0	0	true
ACH-000334	17548	-0.34844076316388339	0	0	true
ACH-000437	17676	-0.31452779985985319	0	0	true
ACH-000698	17548	-0.2403673220629291	4.4793432132563547e-229	4.7189260403264179e-229	true
ACH-000994	17548	-0.35754401533172259	0	0	true
ACH-000204	17676	-0.29405616585868211	0	0	true
ACH-000035	17676	-0.29734518117234804	0	0	true
ACH-000498	17548	-0.2789521934354936	4.848330575271099e-311	6.3211685869076654e-311	true
ACH-001307	17548	-0.2424914335278367	3.1458795448197363e-233	3.3460994579905196e-233	true
ACH-000740	17676	-0.30697506365830624	0	0	true
ACH-000832	17676	-0.32056020601320534	0	0	true
ACH-000009	17676	-0.35712955077727659	0	0	true
ACH-000018	17548	-0.29852861099920275	0	0	true
ACH-000055	17548	-0.31753192548385117	0	0	true
ACH-000846	17676	-0.31838061058974176	0	0	true
ACH-000250	17548	-0.3187986037308575	0	0	true
ACH-000251	17548	-0.25848360678129811	7.9274470616342833e-266	8.8861525497790792e-266	true
ACH-000335	17548	-0.26360738506750131	8.9738085071859578e-277	1.0342853483203879e-276	true
ACH-000478	17548	-0.30914069335863392	0	0	true
ACH-000178	17548	-0.27158905277630491	2.5623976844092148e-294	3.1264653162647832e-294	true
ACH-000200	17676	-0.25138266017328259	7.0591286031553322e-253	7.7320941899506769e-253	true
ACH-000405	17548	-0.3599725020733634	0	0	true
ACH-000490	17548	-0.33447363862475654	0	0	true
ACH-000476	17548	-0.27229362169645122	6.7748615383991936e-296	8.3122049798156967e-296	true
ACH-000159	17548	-0.26559988368255499	4.2632457054378967e-281	4.9707822548604649e-281	true
ACH-000668	17124	-0.26180091931602478	2.4140805516603318e-266	2.708780110357422e-266	true
ACH-000406	17548	-0.36743943146925534	0	0	true
ACH-000963	17548	-0.29595464937448718	0	0	true
ACH-000545	17548	-0.31590545939243247	0	0	true
ACH-000487	17548	-0.34573118032307282	0	0	true
ACH-000946	17548	-0.35843112065213223	0	0	true
ACH-000142	17548	-0.27642255250715303	3.0870888252691207e-305	3.9319387693670214e-305	true
ACH-000585	17676	-0.30001727290541208	0	0	true
ACH-000223	17676	-0.37724098737138106	0	0	true
ACH-000969	17676	-0.29986972515390437	0	0	true
ACH-000436	17548	-0.31363783462260958	0	0	true
ACH-000373	17433	-0.29240998290022502	0	0	true
ACH-000454	17548	-0.26528137141792518	2.1054598771196095e-280	2.4445497310136097e-280	true
ACH-000688	17548	-0.22180888892033548	1.6329661760405705e-194	1.6677423075673603e-194	true
ACH-000103	17124	-0.23952063680784239	5.5000727609724487e-222	5.7448676660536092e-222	true
ACH-000507	17547	-0.33676789401580481	0	0	true
ACH-000371	17547	-0.32703673852325366	0	0	true
ACH-000161	17548	-0.29205343009142753	0	0	true
ACH-000145	17548	-0.29538387210658562	0	0	true
ACH-000676	17548	-0.30451045847312547	0	0	true
ACH-000724	17548	-0.26500808477593646	8.2738091163986908e-280	9.5760875712358399e-280	true
ACH-000632	17548	-0.30288592298937944	0	0	true
ACH-000149	17124	-0.28018438428180514	2.3374712308188052e-306	2.9944608218271108e-306	true
ACH-000798	17548	-0.25016049088171777	1.4421893472073698e-248	1.5595439705585578e-248	true
ACH-000264	17548	-0.34225807392878044	0	0	true
ACH-000767	17548	-0.29912204242977641	0	0	true
ACH-000738	17676	-0.33504187137397401	0	0	true
ACH-000183	17676	-0.38577374121416591	0	0	true
ACH-000311	17548	-0.2883698103765921	0	0	true
ACH-000973	17548	-0.39451082648398722	0	0	true
ACH-000128	17548	-0.31181737535151755	0	0	true
ACH-000041	17548	-0.24233075995278089	6.5066266510562049e-233	6.9140743700529809e-233	true
ACH-000329	17548	-0.2946428154871249	0	0	true
ACH-000996	17547	-0.34413675845782021	0	0	true
ACH-000352	17548	-0.31120792633207339	0	0	true
ACH-000343	17548	-0.34343045434763719	0	0	true
ACH-000961	17548	-0.33693370963330488	0	0	true
ACH-000719	17676	-0.34836502455121404	0	0	true
ACH-000991	17124	-0.25369870775595577	1.0731997723468104e-249	1.1628087906665342e-249	true
ACH-000505	17676	-0.2786491928519424	0	0	true
ACH-000667	17548	-0.33486167794439053	0	0	true
ACH-000445	17548	-0.26740551031789611	4.7820588162860899e-285	5.6716245960898463e-285	true
ACH-000485	17548	-0.2944072971494277	0	0	true
ACH-000620	17548	-0.29417013776456252	0	0	true
ACH-000683	17548	-0.26567442864928564	2.9327136725351918e-281	3.4303109022336336e-281	true
ACH-001239	17548	-0.31120288464062706	0	0	true
ACH-000677	17676	-0.21278527094823604	4.206914490010949e-180	4.2767066197991488e-180	true
ACH-000226	17548	-0.26276492644859034	5.8839262241959388e-275	6.7183960924307676e-275	true
ACH-000074	17676	-0.32126966256036821	0	0	true
ACH-000654	17548	-0.34927911943913609	0	0	true
ACH-000971	17124	-0.37117764783099017	0	0	true
ACH-001318	17548	-0.2872915657315806	0	0	true
ACH-000450	17548	-0.29176409834999967	0	0	true
ACH-001366	17548	-0.34201839230800679	0	0	true
ACH-000976	17548	-0.27210058776908863	1.8349893621006408e-295	2.2463854233041142e-295	true
ACH-001390	17548	-0.27123664218356136	1.570458657010435e-293	1.9077267606635571e-293	true
ACH-000345	17548	-0.27922558738380104	0	0	true
ACH-000601	17676	-0.41663470119875079	0	0	true
ACH-000962	17124	-0.31379210247450495	0	0	true
ACH-000470	17548	-0.29678617681064123	0	0	true
ACH-000938	17548	-0.27379410451352493	2.8514445395587151e-299	3.5498231683219667e-299	true
ACH-000648	17547	-0.35260904900515677	0	0	true
ACH-000344	17548	-0.29952022993359401	0	0	true
ACH-000374	17676	-0.33347016537613294	0	0	true
ACH-000164	17548	-0.34497541025293604	0	0	true
ACH-000375	17548	-0.3336775124292064	0	0	true
ACH-000472	17548	-0.31937664022902257	0	0	true
ACH-000410	17548	-0.313506262749912	0	0	true
ACH-000592	17548	-0.28448732355669337	0	0	true
ACH-000190	17548	-0.28910814743599395	0	0	true
ACH-000466	17548	-0.3126416446788835	0	0	true
ACH-000748	17676	-0.3158446820426617	0	0	true
ACH-000896	17548	-0.29227557406448118	0	0	true
ACH-000420	17548	-0.27127412172681586	1.2952194763836536e-293	1.5768510843831897e-293	true
ACH-000799	17548	-0.35926888450190225	0	0	true
ACH-000817	17676	-0.345662333491774	0	0	true
ACH-000950	17676	-0.31574396356803974	0	0	true
ACH-000330	17548	-0.33670820694360742	0	0	true
ACH-000547	17548	-0.28897889541398042	0	0	true
ACH-000524	17676	-0.31696136472380465	0	0	true
ACH-000604	17548	-0.29628122216909974	0	0	true
ACH-000565	17124	-0.29389595173551181	0	0	true
ACH-000302	17548	-0.27830738985769155	1.4820780900113679e-309	1.9142062450615216e-309	true
ACH-000771	17548	-0.26038069389428192	7.4982601880811008e-270	8.4739559297678846e-270	true
ACH-000163	17548	-0.292963406070337	0	0	true
ACH-000630	17548	-0.32814690450984407	0	0	true
ACH-000147	17676	-0.35085607850425454	0	0	true
ACH-000138	17548	-0.28651073777949426	0	0	true
ACH-000516	17548	-0.2594986930168634	5.6244043765376772e-268	6.3367906305628777e-268	true
ACH-000793	17676	-0.34886917138505863	0	0	true
ACH-000736	17548	-0.30400240416687258	0	0	true
ACH-000699	17676	-0.35783044127036634	0	0	true
ACH-000365	17548	-0.34524315856976018	0	0	true
ACH-000208	17548	-0.23608298054355176	8.0237930387327726e-221	8.3571706531843708e-221	true
ACH-000651	17675	-0.33852140331869163	0	0	true
ACH-000115	17548	-0.30037681538494215	0	0	true
ACH-000203	17548	-0.24153104282855847	2.4030390167123193e-231	2.5510606693298249e-231	true
ACH-000099	17548	-0.34483256510085153	0	0	true
ACH-000762	17548	-0.25425416179102622	5.6244640486606138e-257	6.2037838456726567e-257	true
ACH-000785	17548	-0.27352235107496564	1.1696620602397723e-298	1.4528572662662939e-298	true
ACH-000879	17124	-0.35443538196259411	0	0	true
ACH-000682	17548	-0.30817895558975084	0	0	true
ACH-000362	17548	-0.41229925302594755	0	0	true
ACH-000207	17676	-0.31844611216086388	0	0	true
ACH-000855	17676	-0.22369659522526192	2.5666746207231315e-199	2.635979615137443e-199	true
ACH-000425	17548	-0.31567850910896167	0	0	true
ACH-000366	17676	-0.34127185607501864	0	0	true
ACH-000928	17548	-0.35614994771562897	0	0	true
ACH-000279	17548	-0.37294449408903474	0	0	true
ACH-000696	17676	-0.38621517119838594	0	0	true
ACH-000826	17548	-0.27686523855335599	3.0081950928480089e-306	3.8447731024465283e-306	true
ACH-000502	17676	-0.29470420941036746	0	0	true
ACH-000187	17548	-0.29957018282595493	0	0	true
ACH-000980	17676	-0.33479121958931707	0	0	true
ACH-000809	17676	-0.38404801451701998	0	0	true
ACH-000326	17548	-0.34621240269544751	0	0	true
ACH-000202	17548	-0.27906514578981628	0	0	true
ACH-000662	17676	-0.31759963263409058	0	0	true
ACH-000459	17548	0.047117665915196186	4.2475768330829655e-10	4.2475768330829655e-10	true
ACH-000227	17676	-0.23411927488231257	1.1571878229325271e-218	1.2029954464604876e-218	true
ACH-000192	17124	-0.27091006929914679	8.871370037551013e-286	1.0544311585580568e-285	true
ACH-000607	17548	-0.33402821488168383	0	0	true
ACH-000446	17433	-0.30344432296038187	0	0	true
ACH-000477	17548	-0.25179136661215579	6.7225400222526912e-252	7.3342845148810272e-252	true
ACH-000232	17676	-0.33088051906030169	0	0	true
ACH-000005	17548	-0.31662312465570014	0	0	true
ACH-000094	17124	-0.27621140830633545	1.9196874150728092e-297	2.3658270601400095e-297	true
ACH-000649	17548	-0.33368575527777655	0	0	true
ACH-000085	17548	-0.25367828989581914	8.7571148475830511e-256	9.6302070557169545e-256	true
ACH-000972	17548	-0.29831661081326094	0	0	true
ACH-000256	17548	-0.26331347716905551	3.8683162891791573e-276	4.4445342364214693e-276	true
ACH-000776	17548	-0.27935816828233001	0	0	true
ACH-000554	17124	-0.31015956225079599	0	0	true
ACH-000195	17548	-0.31393146389771165	0	0	true
ACH-000546	17124	-0.27714814854871994	1.5658857612034222e-299	1.9538144735377542e-299	true
ACH-000213	17124	-0.34016416827997853	0	0	true
ACH-000124	17124	-0.3552522607397568	0	0	true
ACH-000144	17124	-0.29109634821645353	0	0	true
ACH-000067	17676	-0.30566700850595158	0	0	true
ACH-000078	17548	-0.30937622026840039	0	0	true
ACH-000247	17548	-0.28771553051827287	0	0	true
ACH-000198	17548	-0.39582034431591584	0	0	true
ACH-000765	17548	-0.28060682850595997	0	0	true
ACH-000172	17548	-0.32058545516039039	0	0	true
ACH-000596	17676	-0.35397072613250347	0	0	true
ACH-000645	17547	-0.28880802085394314	0	0	true
ACH-000905	17548	-0.31113456171264064	0	0	true
ACH-000721	17548	-0.37177401903910262	0	0	true
ACH-000263	17548	-0.28540810101362357	0	0	true
ACH-000619	17676	-0.34078505962707256	0	0	true
ACH-000315	17548	-0.27583725223508354	6.6631568163292564e-304	8.4476574349553667e-304	true
ACH-000244	17676	-0.20545040415366719	8.9362907114008138e-168	9.0345817183089793e-168	true
ACH-000174	17548	-0.34039129918082028	0	0	true
ACH-000307	17547	-0.31152258536540844	0	0	true
ACH-000012	17548	-0.36260632268250809	0	0	true
ACH-000756	17676	-0.29766644307972412	0	0	true
ACH-000573	17676	-0.32201026789057369	0	0	true
ACH-000741	17548	-0.3028918283967576	0	0	true
ACH-000653	17548	-0.33642049291155579	0	0	true
ACH-000123	17548	-0.38395506644195587	0	0	true
ACH-000861	17676	-0.34531295946887891	0	0	true
ACH-000953	17548	-0.26678695117631901	1.0871563300697724e-283	1.2852448360846291e-283	true
ACH-000325	17548	-0.28270132360457567	0	0	true
ACH-000011	17548	-0.20776604401943777	2.1792348395759546e-170	2.2072507144649019e-170	true
ACH-000217	17548	-0.29954433168337719	0	0	true
ACH-000100	17548	-0.29483656680564002	0	0	true
