rank	direction	gene	sample1_cpm	sample2_cpm	log2fc_sample2_vs_sample1	sample1_detect_frac	sample2_detect_frac	detection_fraction_difference
59	up_in_sample2	AC026992.1	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
60	up_in_sample2	AC084064.1	0	0.3774	5.27575	0	0.00139888089528377	0.00139888089528377
61	up_in_sample2	MTRNR2L1	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
62	up_in_sample2	CACNA1G-AS1	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
63	up_in_sample2	GJA4	0	0.33023	5.08842	0	0.000799360511590727	0.000799360511590727
64	up_in_sample2	LINC00853	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
65	up_in_sample2	AC093575.1	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
66	up_in_sample2	LINC01661	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
67	up_in_sample2	OR10J1	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
68	up_in_sample2	AC018358.1	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
69	up_in_sample2	LINC02200	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
70	up_in_sample2	KIF20A	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
71	up_in_sample2	LINC01202	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
72	up_in_sample2	HIST1H2BB	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
73	up_in_sample2	SFTA2	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
74	up_in_sample2	AL603910.1	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
75	up_in_sample2	CALHM4	0	0.33023	5.08842	0	0.000999200639488409	0.000999200639488409
76	up_in_sample2	LINC02523	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
77	up_in_sample2	AL136225.1	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
78	up_in_sample2	TRGC2	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
79	up_in_sample2	AC138356.1	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
80	up_in_sample2	AL359710.1	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
81	up_in_sample2	LINC02688	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
82	up_in_sample2	SLC43A3	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
83	up_in_sample2	LINC02761	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
84	up_in_sample2	VSIG2	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
85	up_in_sample2	LNCOG	0	0.33023	5.08842	0	0.000799360511590727	0.000799360511590727
86	up_in_sample2	AC104024.1	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
87	up_in_sample2	PPP1R14A	0	0.33023	5.08842	0	0.00119904076738609	0.00119904076738609
88	up_in_sample2	ACTL10	0	0.33023	5.08842	0	0.00139888089528377	0.00139888089528377
89	up_in_sample2	CRH	0.05194	1.93418	4.9721	0.000158856235107228	0.00139888089528377	0.00124002466017655
90	up_in_sample2	GPR88	0.05194	1.83983	4.90033	0.000158856235107228	0.0021982414068745	0.00203938517176727
91	up_in_sample2	AL445253.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
92	up_in_sample2	AL109741.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
93	up_in_sample2	HMGCS2	0	0.28305	4.87308	0	0.000799360511590727	0.000799360511590727
94	up_in_sample2	AC239803.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
95	up_in_sample2	RAB25	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
96	up_in_sample2	LMX1A	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
97	up_in_sample2	AC096570.2	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
98	up_in_sample2	AC013480.1	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
99	up_in_sample2	SIX2	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
100	up_in_sample2	LINC02033	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
101	up_in_sample2	INKA1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
102	up_in_sample2	RASL11B	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
103	up_in_sample2	AC097526.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
104	up_in_sample2	AC021134.2	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
105	up_in_sample2	TMEM173	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
106	up_in_sample2	AL121718.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
107	up_in_sample2	AL138830.2	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
108	up_in_sample2	AC037450.1	0	0.28305	4.87308	0	0.000599520383693046	0.000599520383693046
109	up_in_sample2	C9orf170	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
110	up_in_sample2	ALX4	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
111	up_in_sample2	C11orf97	0	0.28305	4.87308	0	0.000599520383693046	0.000599520383693046
112	up_in_sample2	AP000679.1	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
113	up_in_sample2	C12orf81	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
114	up_in_sample2	ACVRL1	0	0.28305	4.87308	0	0.000799360511590727	0.000799360511590727
115	up_in_sample2	LINC00559	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
116	up_in_sample2	AL079307.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
117	up_in_sample2	AC015908.4	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
118	up_in_sample2	AC087749.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
119	up_in_sample2	AC110597.3	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
120	up_in_sample2	AC012101.2	0	0.28305	4.87308	0	0.000799360511590727	0.000799360511590727
121	up_in_sample2	C18orf65	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
122	up_in_sample2	BPIFB2	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
123	up_in_sample2	AL162457.1	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
124	up_in_sample2	AP001059.3	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
125	up_in_sample2	CXorf21	0	0.28305	4.87308	0	0.00119904076738609	0.00119904076738609
126	up_in_sample2	DCAF12L2	0	0.28305	4.87308	0	0.000999200639488409	0.000999200639488409
127	up_in_sample2	ART5	0.05194	1.79265	4.86306	0.000158856235107228	0.00259792166266986	0.00243906542756264
128	up_in_sample2	CLDN10-AS1	0.05194	1.74548	4.8248	0.000158856235107228	0.0065947242206235	0.00643586798551627
129	up_in_sample2	AL031289.2	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
130	up_in_sample2	AL121999.1	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
131	up_in_sample2	AL023495.1	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
132	up_in_sample2	LINC01222	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
133	up_in_sample2	LINC01304	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
134	up_in_sample2	AC010745.2	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
135	up_in_sample2	LINC01958	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
136	up_in_sample2	AC019080.4	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
137	up_in_sample2	AC016903.2	0	0.23588	4.61985	0	0.000399680255795364	0.000399680255795364
138	up_in_sample2	CCR8	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
139	up_in_sample2	AC007106.1	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
140	up_in_sample2	LINC01596	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
141	up_in_sample2	LINC02149	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
142	up_in_sample2	AC091819.1	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
143	up_in_sample2	AL133405.2	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
144	up_in_sample2	AL671883.3	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
145	up_in_sample2	RFPL4B	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
146	up_in_sample2	AL121956.6	0	0.23588	4.61985	0	0.000599520383693046	0.000599520383693046
147	up_in_sample2	ZNF716	0	0.23588	4.61985	0	0.000199840127897682	0.000199840127897682
148	up_in_sample2	AC022784.2	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
149	up_in_sample2	AC025062.3	0	0.23588	4.61985	0	0.000999200639488409	0.000999200639488409
150	up_in_sample2	ANXA8	0	0.23588	4.61985	0	0.000799360511590727	0.000799360511590727
1	down_in_sample2	GJA10	11.53113	0	-10.17257	0.018109610802224	0	-0.018109610802224
2	down_in_sample2	PCK1	8.36266	0	-9.70954	0.00444797458300238	0	-0.00444797458300238
3	down_in_sample2	CXCL2	5.97333	0	-9.22481	0.00762509928514694	0	-0.00762509928514694
4	down_in_sample2	AC126544.2	2.64904	0	-8.05476	0.00810166799046863	0	-0.00810166799046863
5	down_in_sample2	AC091979.1	1.6102	0	-7.34003	0.00349483717235902	0	-0.00349483717235902
6	down_in_sample2	AC105924.1	1.50632	0	-7.24443	0.00428911834789516	0	-0.00428911834789516
7	down_in_sample2	AREG	1.29855	0	-7.03183	0.000953137410643368	0	-0.000953137410643368
8	down_in_sample2	LINC02227	7.42771	0.04718	-7.02333	0.0114376489277204	0.000199840127897682	-0.0112378087998227
9	down_in_sample2	AOC1	1.09078	0	-6.78239	0.00317712470214456	0	-0.00317712470214456
10	down_in_sample2	ADGRG4	5.40197	0.04718	-6.56462	0.00857823669579031	0.000199840127897682	-0.00837839656789263
11	down_in_sample2	TMEM239	0.88301	0	-6.48061	0.00270055599682288	0	-0.00270055599682288
12	down_in_sample2	AC016598.1	0.77913	0	-6.30219	0.00174741858617951	0	-0.00174741858617951
13	down_in_sample2	AP001046.1	0.77913	0	-6.30219	0.00222398729150119	0	-0.00222398729150119
14	down_in_sample2	CHRND	28.67199	0.3774	-6.21018	0.0300238284352661	0.00139888089528377	-0.0286249475399823
15	down_in_sample2	GDF15	7.27188	0.09435	-6.12481	0.0112787926926132	0.000399680255795364	-0.0108791124368178
16	down_in_sample2	AL022332.1	0.67525	0	-6.09855	0.00206513105639396	0	-0.00206513105639396
17	down_in_sample2	LHX1	13.14133	0.1887	-6.04847	0.0193804606830818	0.000799360511590727	-0.0185811001714911
18	down_in_sample2	SPOCD1	0.6233	0	-5.98483	0.00158856235107228	0	-0.00158856235107228
19	down_in_sample2	ASB17	0.6233	0	-5.98483	0.00174741858617951	0	-0.00174741858617951
20	down_in_sample2	CXCL3	0.6233	0	-5.98483	0.000635424940428912	0	-0.000635424940428912
21	down_in_sample2	LINC02039	0.6233	0	-5.98483	0.00174741858617951	0	-0.00174741858617951
22	down_in_sample2	AC084364.3	0.6233	0	-5.98483	0.00158856235107228	0	-0.00158856235107228
23	down_in_sample2	ONECUT3	12.05055	0.1887	-5.92356	0.0209690230341541	0.000799360511590727	-0.0201696625225634
24	down_in_sample2	AC130456.2	9.08985	0.14153	-5.90821	0.0238284352660842	0.000599520383693046	-0.0232289148823911
25	down_in_sample2	GPRC5A	14.69959	0.23588	-5.90269	0.0196981731532963	0.000999200639488409	-0.0186989725138079
26	down_in_sample2	IL6R-AS1	3.37623	0.04718	-5.88815	0.00619539316918189	0.000199840127897682	-0.00599555304128421
27	down_in_sample2	AL138689.1	3.32429	0.04718	-5.86585	0.00953137410643368	0.000199840127897682	-0.009331533978536
28	down_in_sample2	AC011228.2	0.57136	0	-5.86137	0.00158856235107228	0	-0.00158856235107228
29	down_in_sample2	AC011726.2	0.57136	0	-5.86137	0.00174741858617951	0	-0.00174741858617951
30	down_in_sample2	AP002008.3	0.57136	0	-5.86137	0.00174741858617951	0	-0.00174741858617951
31	down_in_sample2	GABRE	0.57136	0	-5.86137	0.00142970611596505	0	-0.00142970611596505
32	down_in_sample2	FCRL4	0.51942	0	-5.72634	0.00158856235107228	0	-0.00158856235107228
33	down_in_sample2	LINC02617	0.51942	0	-5.72634	0.00158856235107228	0	-0.00158856235107228
34	down_in_sample2	AC009041.1	2.96069	0.04718	-5.69927	0.00540111199364575	0.000199840127897682	-0.00520127186574807
35	down_in_sample2	FOSL2	39.37204	0.7548	-5.68631	0.0589356632247816	0.00299760191846523	-0.0559380613063163
36	down_in_sample2	BTG4	37.60602	0.7548	-5.62012	0.0862589356632248	0.00179856115107914	-0.0844603745121456
37	down_in_sample2	LINC01100	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
38	down_in_sample2	CPZ	0.46748	0	-5.57736	0.00127084988085782	0	-0.00127084988085782
39	down_in_sample2	AC067817.1	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
40	down_in_sample2	ERICD	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
41	down_in_sample2	DNAJC22	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
42	down_in_sample2	AL139351.3	0.46748	0	-5.57736	0.0011119936457506	0	-0.0011119936457506
43	down_in_sample2	RFPL3	0.46748	0	-5.57736	0.00127084988085782	0	-0.00127084988085782
44	down_in_sample2	Z82188.2	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
45	down_in_sample2	AC007325.2	0.46748	0	-5.57736	0.00142970611596505	0	-0.00142970611596505
46	down_in_sample2	RHD	7.21994	0.14153	-5.57635	0.0184273232724384	0.000599520383693046	-0.0178278028887454
47	down_in_sample2	PKD2L1	13.45298	0.28305	-5.52171	0.0193804606830818	0.000999200639488409	-0.0183812600435934
48	down_in_sample2	NR4A3	128.97201	2.87768	-5.48112	0.0681493248610008	0.00919264588329336	-0.0589566789777074
49	down_in_sample2	ALLC	0.41554	0	-5.41121	0.0011119936457506	0	-0.0011119936457506
50	down_in_sample2	AC007391.3	0.41554	0	-5.41121	0.00127084988085782	0	-0.00127084988085782
51	down_in_sample2	AC013270.1	0.41554	0	-5.41121	0.00127084988085782	0	-0.00127084988085782
52	down_in_sample2	TWIST2	0.41554	0	-5.41121	0.0011119936457506	0	-0.0011119936457506
53	down_in_sample2	ESM1	0.41554	0	-5.41121	0.000635424940428912	0	-0.000635424940428912
54	down_in_sample2	AC083967.1	0.41554	0	-5.41121	0.0011119936457506	0	-0.0011119936457506
55	down_in_sample2	AC011029.1	0.41554	0	-5.41121	0.00079428117553614	0	-0.00079428117553614
56	down_in_sample2	NRAP	0.41554	0	-5.41121	0.000953137410643368	0	-0.000953137410643368
57	down_in_sample2	NXPE2	0.41554	0	-5.41121	0.000953137410643368	0	-0.000953137410643368
58	down_in_sample2	TNFRSF17	0.41554	0	-5.41121	0.00127084988085782	0	-0.00127084988085782
59	down_in_sample2	DSG1-AS1	0.41554	0	-5.41121	0.00127084988085782	0	-0.00127084988085782
60	down_in_sample2	FP236240.1	0.41554	0	-5.41121	0.000953137410643368	0	-0.000953137410643368
61	down_in_sample2	AP001631.1	0.41554	0	-5.41121	0.00127084988085782	0	-0.00127084988085782
62	down_in_sample2	IL1R1-AS1	2.38933	0.04718	-5.3911	0.00603653693407466	0.000199840127897682	-0.00583669680617698
63	down_in_sample2	LINC01587	2.38933	0.04718	-5.3911	0.00698967434471803	0.000199840127897682	-0.00678983421682035
64	down_in_sample2	IL12A-AS1	28.10063	0.66045	-5.38984	0.0249404289118348	0.00199840127897682	-0.022942027632858
65	down_in_sample2	CLDN1	8.05101	0.1887	-5.3423	0.0138204924543288	0.000799360511590727	-0.0130211319427381
66	down_in_sample2	AC104695.4	3.99953	0.09435	-5.26393	0.0112787926926132	0.000399680255795364	-0.0108791124368178
67	down_in_sample2	ICAM1	7.53159	0.1887	-5.2462	0.0149324861000794	0.000799360511590727	-0.0141331255884887
68	down_in_sample2	LINC02765	0.36359	0	-5.2234	0.000953137410643368	0	-0.000953137410643368
69	down_in_sample2	LINC01943	0.36359	0	-5.2234	0.0011119936457506	0	-0.0011119936457506
70	down_in_sample2	TNFRSF10C	0.36359	0	-5.2234	0.000476568705321684	0	-0.000476568705321684
71	down_in_sample2	AC092819.3	0.36359	0	-5.2234	0.000953137410643368	0	-0.000953137410643368
72	down_in_sample2	AP003306.1	0.36359	0	-5.2234	0.0011119936457506	0	-0.0011119936457506
73	down_in_sample2	IL32	0.36359	0	-5.2234	0.000953137410643368	0	-0.000953137410643368
74	down_in_sample2	SCNN1G	0.36359	0	-5.2234	0.000953137410643368	0	-0.000953137410643368
75	down_in_sample2	CETP	0.36359	0	-5.2234	0.0011119936457506	0	-0.0011119936457506
76	down_in_sample2	AC127496.3	0.36359	0	-5.2234	0.0011119936457506	0	-0.0011119936457506
77	down_in_sample2	AC022034.1	5.50585	0.14153	-5.18596	0.00841938046068308	0.000599520383693046	-0.00781986007699004
78	down_in_sample2	SERPINE1	7.21994	0.1887	-5.18532	0.00555996822875298	0.000799360511590727	-0.00476060771716225
79	down_in_sample2	CYSLTR1	20.7768	0.5661	-5.1732	0.0332009531374106	0.00179856115107914	-0.0314023919863315
80	down_in_sample2	AC067863.1	1.92185	0.04718	-5.07846	0.00587768069896743	0.000199840127897682	-0.00567784057106975
81	down_in_sample2	LINC02745	5.09032	0.14153	-5.07296	0.0079428117553614	0.000399680255795364	-0.00754313149956603
82	down_in_sample2	AC007271.1	0.31165	0	-5.00743	0.00079428117553614	0	-0.00079428117553614
83	down_in_sample2	AC113167.1	0.31165	0	-5.00743	0.00079428117553614	0	-0.00079428117553614
84	down_in_sample2	AC025437.2	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
85	down_in_sample2	AC025437.1	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
86	down_in_sample2	MYO1G	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
87	down_in_sample2	OR52K1	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
88	down_in_sample2	AP000851.1	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
89	down_in_sample2	LINC02598	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
90	down_in_sample2	LINC00395	0.31165	0	-5.00743	0.000635424940428912	0	-0.000635424940428912
91	down_in_sample2	AL390755.3	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
92	down_in_sample2	SSTR5-AS1	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
93	down_in_sample2	AC023825.2	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
94	down_in_sample2	AC061975.1	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
95	down_in_sample2	MC5R	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
96	down_in_sample2	AC105105.4	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
97	down_in_sample2	F8A3	0.31165	0	-5.00743	0.000953137410643368	0	-0.000953137410643368
98	down_in_sample2	AC004264.1	6.33693	0.1887	-4.99739	0.0117553613979349	0.000799360511590727	-0.0109560008863441
99	down_in_sample2	ATF3	21.03651	0.66045	-4.97231	0.0332009531374106	0.00279776179056755	-0.0304031913468431
100	down_in_sample2	GATA6	1.76603	0.04718	-4.95713	0.00349483717235902	0.000199840127897682	-0.00329499704446133
101	down_in_sample2	PWP2	1.76603	0.04718	-4.95713	0.00524225575853852	0.000199840127897682	-0.00504241563064084
102	down_in_sample2	CARMN	10.18063	0.33023	-4.90461	0.027164416203336	0.00139888089528377	-0.0257655353080522
103	down_in_sample2	FOSB	11.32336	0.3774	-4.87061	0.0225575853852264	0.00139888089528377	-0.0211587044899426
104	down_in_sample2	INHBA	78.06884	2.68898	-4.85445	0.0427323272438443	0.00899280575539568	-0.0337395214884486
105	down_in_sample2	TRABD2B	2.96069	0.09435	-4.8313	0.00555996822875298	0.000399680255795364	-0.00516028797295762
106	down_in_sample2	AC090004.2	1.55826	0.04718	-4.77764	0.00381254964257347	0.000199840127897682	-0.00361270951467579
107	down_in_sample2	EGR3	7.99907	0.28305	-4.77241	0.0142970611596505	0.000599520383693046	-0.0136975407759575
108	down_in_sample2	C15orf48	6.70052	0.23588	-4.77043	0.0120730738681493	0.000799360511590727	-0.0112737133565586
109	down_in_sample2	CA9	10.44034	0.3774	-4.75358	0.0214455917394758	0.00159872102318145	-0.0198468707162943
110	down_in_sample2	CYP4B1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
111	down_in_sample2	S100A8	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
112	down_in_sample2	AC114808.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
113	down_in_sample2	DNAJC5G	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
114	down_in_sample2	AC011754.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
115	down_in_sample2	AC064856.1	0.25971	0	-4.75334	0.000635424940428912	0	-0.000635424940428912
116	down_in_sample2	PCGEM1	0.25971	0	-4.75334	0.000635424940428912	0	-0.000635424940428912
117	down_in_sample2	AC092053.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
118	down_in_sample2	AC139887.5	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
119	down_in_sample2	AC034232.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
120	down_in_sample2	AC123595.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
