cell_type	gene_symbol	sample1_detected_cells	sample1_detected_fraction	sample2_detected_cells	sample2_detected_fraction	sample1_mean_counts	sample2_mean_counts
macrophage	LGALS3	467	0.0741858617950755	177	0.0353717026378897	0.199364575059571	0.0485611510791367
macrophage	CD68	9	0.00142970611596505	3	0.000599520383693046	0.00142970611596505	0.000599520383693046
macrophage	TYROBP	9	0.00142970611596505	17	0.00339728217426059	0.00158856235107228	0.00359712230215827
macrophage	LILRB1	0	0	0	0	0	0
Schwann cell	MPZ	22	0.00349483717235902	37	0.00739408473221423	0.00349483717235901	0.00759392486011191
Schwann cell	NCAM1	4203	0.667672756155679	3502	0.699840127897682	2.65623510722796	2.33453237410072
Schwann cell	ERBB3	24	0.00381254964257347	25	0.00499600319744205	0.00381254964257347	0.00599520383693046
Schwann cell	PMP22	126	0.0200158856235107	91	0.018185451638689	0.0270055599682288	0.0233812949640288
Schwann cell	GFAP	209	0.0332009531374106	116	0.0231814548361311	0.0687847498014297	0.0353717026378897
Schwann cell	MAG	0	0	0	0	0	0
Schwann cell	S100B	56	0.00889594916600477	56	0.0111910471622702	0.00984908657664813	0.0141886490807354
Schwann cell	SOX10	47	0.00746624305003971	42	0.00839328537170264	0.00826052422557585	0.00959232613908873
Schwann cell	PLP1	4	0.000635424940428912	49	0.00979216626698641	0.000635424940428912	0.0123900879296563
Pericyte	RGS5	96	0.0152501985702939	97	0.0193844924060751	0.0179507545671168	0.026378896882494
Pericyte	DES	0	0	0	0	0	0
Pericyte	PDGFRB	126	0.0200158856235107	167	0.0333733013589129	0.0263701350277998	0.0497601918465228
Pericyte	MCAM	302	0.0479745830023828	90	0.0179856115107914	0.0935663224781573	0.0221822541966427
Pericyte	KCNJ8	8	0.00127084988085782	13	0.00259792166266986	0.00158856235107228	0.00279776179056755
Pericyte	ABCC9	83	0.0131850675138999	70	0.0139888089528377	0.0192216044479746	0.0215827338129496
Pericyte	COL4A1	160	0.0254169976171565	73	0.0145883293365308	0.0594122319301033	0.0207833733013589
Pericyte	COL4A2	325	0.0516282764098491	198	0.039568345323741	0.105162827640985	0.0585531574740208
Pericyte	CSPG4	1	0.000158856235107228	3	0.000599520383693046	0.000158856235107228	0.00119904076738609
Pericyte	NOTCH3	8	0.00127084988085782	6	0.00119904076738609	0.00142970611596505	0.00119904076738609
B cell	CD74	58	0.00921366163621922	105	0.0209832134292566	0.00921366163621922	0.021982414068745
B cell	CD83	57	0.00905480540111199	95	0.0189848121502798	0.0100079428117554	0.0215827338129496
B cell	HLA-DRA	39	0.00619539316918189	60	0.0119904076738609	0.00635424940428912	0.0145883293365308
B cell	MS4A1	0	0	0	0	0	0
B cell	CD19	0	0	3	0.000599520383693046	0	0.000599520383693046
B cell	CD79B	1	0.000158856235107228	0	0	0.000158856235107228	0
B cell	CD22	2	0.000317712470214456	0	0	0.000476568705321684	0
B cell	CD79A	0	0	3	0.000599520383693046	0	0.000599520383693046
B cell	CD37	27	0.00428911834789516	42	0.00839328537170264	0.00444797458300238	0.00839328537170264
fibroblast	COL3A1	0	0	0	0	0	0
fibroblast	PDGFRA	52	0.00826052422557585	102	0.0203836930455636	0.0123907863383638	0.0397681854516387
fibroblast	C7	46	0.00730738681493249	17	0.00339728217426059	0.0101667990468626	0.00399680255795364
fibroblast	COL1A2	12	0.00190627482128674	21	0.00419664268585132	0.00270055599682288	0.00499600319744205
fibroblast	LUM	21	0.00333598093725179	115	0.0229816147082334	0.00365369340746624	0.0293764988009592
fibroblast	DCN	7	0.0011119936457506	13	0.00259792166266986	0.00158856235107228	0.00479616306954436
fibroblast	COL1A1	27	0.00428911834789516	2	0.000399680255795364	0.00492454328832407	0.000399680255795364
fibroblast	COL6A1	127	0.020174741858618	210	0.0419664268585132	0.0258935663224782	0.0631494804156675
fibroblast	COL6A2	21	0.00333598093725179	19	0.00379696243005596	0.00460683081810961	0.00479616306954436
fibroblast	FBLN1	10	0.00158856235107228	16	0.00319744204636291	0.00174741858617951	0.00399680255795364
endothelial cell	KDR	285	0.04527402700556	366	0.0731414868105516	0.0911834789515489	0.199640287769784
endothelial cell	EMCN	11	0.00174741858617951	16	0.00319744204636291	0.00174741858617951	0.00479616306954436
endothelial cell	ENG	88	0.0139793486894361	118	0.0235811350919265	0.014614773629865	0.025779376498801
endothelial cell	ESAM	38	0.00603653693407466	102	0.0203836930455636	0.00667196187450357	0.0247801758593125
endothelial cell	VWF	13	0.00206513105639396	13	0.00259792166266986	0.00301826846703733	0.00359712230215827
endothelial cell	FLT1	681	0.108181096108022	560	0.111910471622702	0.396505162827641	0.370503597122302
endothelial cell	RAMP2	3	0.000476568705321684	33	0.0065947242206235	0.000476568705321684	0.00859312549960032
endothelial cell	CA4	1	0.000158856235107228	3	0.000599520383693046	0.000158856235107228	0.000599520383693046
endothelial cell	PECAM1	12	0.00190627482128674	7	0.00139888089528377	0.00301826846703733	0.00139888089528377
endothelial cell	PLVAP	3	0.000476568705321684	1	0.000199840127897682	0.000476568705321684	0.000199840127897682
muller glia cell	KCNJ10	52	0.00826052422557585	175	0.0349720223820943	0.00905480540111199	0.0465627498001599
muller glia cell	GLUL	1247	0.198093725178713	1160	0.231814548361311	0.983478951548848	1.68784972022382
muller glia cell	CLDN11	16	0.00254169976171565	7	0.00139888089528377	0.00365369340746624	0.00159872102318145
muller glia cell	SLC1A3	558	0.0886417791898332	478	0.0955235811350919	0.511358220810167	0.511590727418066
muller glia cell	VIM	1231	0.195552025416998	1154	0.230615507593925	0.40285941223193	1.01258992805755
muller glia cell	DIO2	228	0.036219221604448	197	0.0393685051958433	0.0533756949960286	0.0587529976019185
muller glia cell	RLBP1	626	0.0994440031771247	651	0.130095923261391	0.285146942017474	0.729016786570743
muller glia cell	SOX9	159	0.0252581413820492	213	0.0425659472422062	0.034154090548054	0.0719424460431655
muller glia cell	AQP4	182	0.0289118347895155	303	0.0605515587529976	0.0430500397140588	0.135291766586731
muller glia cell	RAX	301	0.0478157267672756	471	0.0941247002398082	0.0606830818109611	0.171262989608313
