ISOFORM_USAGE_DIAGNOSTIC
sampleA_targets	670670
sampleB_targets	670670
sampleA_parsed_gencode_targets	670670
sampleB_parsed_gencode_targets	670670
sampleA_total_estimated_assigned_fragments	187393.005
sampleB_total_estimated_assigned_fragments	186308.006
genes_compared	10726
eligible_genes_counts_ge_50_supported_isoforms_ge_2	475

RANKED_GENES
rank	gene_symbol	gene_id	A_counts	B_counts	A_TPM	B_TPM	supported_isoforms	annotated_isoforms	max_abs_dIF_counts	max_abs_dIF_TPM	JS_counts	JS_TPM
PCNA	ENSG00000132646.13	ENST00001133698.1	PCNA-216	0.000	17.400	0.000000	0.328002	0.328002
PCNA	ENSG00000132646.13	ENST00001095575.1	PCNA-215	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00001085271.1	PCNA-214	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00001085270.1	PCNA-213	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00001085269.1	PCNA-212	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00001002228.1	PCNA-211	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00001002227.1	PCNA-210	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000968047.2	PCNA-209	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000968046.2	PCNA-208	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000930445.2	PCNA-207	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000875659.2	PCNA-206	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000875658.1	PCNA-205	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000875656.2	PCNA-203	0.000	0.000	0.000000	0.000000	0.000000
PCNA	ENSG00000132646.13	ENST00000379160.4	PCNA-202	0.000	0.000	0.000000	0.000000	0.000000
