kind	sample	cell_type	gene	metric	value
panel	individual_1	RPE cell	ALL	positive_1_fraction	0.25464654
panel	individual_1	RPE cell	ALL	positive_1_cells	1603
panel	individual_1	RPE cell	ALL	positive_2_fraction	0.090230342
panel	individual_1	RPE cell	ALL	positive_2_cells	568
panel	individual_1	RPE cell	ALL	positive_3_fraction	0.020651311
panel	individual_1	RPE cell	ALL	positive_3_cells	130
panel	individual_1	RPE cell	ALL	normscore_ge_1_fraction	0.24606831
panel	individual_1	RPE cell	ALL	normscore_ge_5_fraction	0.1426529
panel	individual_1	RPE cell	ALL	normscore_ge_10_fraction	0.066401906
panel	individual_1	RPE cell	ALL	mean_normscore	2.0283681
gene	individual_1	cone cell	ARR3	positive_fraction	0.064495631
gene	individual_1	cone cell	ARR3	total_counts	966
gene	individual_1	cone cell	GNAT2	positive_fraction	0.0063542494
gene	individual_1	cone cell	GNAT2	total_counts	45
gene	individual_1	cone cell	PDE6C	positive_fraction	0.034154091
gene	individual_1	cone cell	PDE6C	total_counts	289
gene	individual_1	cone cell	PDE6H	positive_fraction	0.12104845
gene	individual_1	cone cell	PDE6H	total_counts	1202
gene	individual_1	cone cell	GNGT2	positive_fraction	0.018427323
gene	individual_1	cone cell	GNGT2	total_counts	134
gene	individual_1	cone cell	OPN1LW	positive_fraction	0.036854647
gene	individual_1	cone cell	OPN1LW	total_counts	367
gene	individual_1	cone cell	OPN1MW	positive_fraction	0.0046068308
gene	individual_1	cone cell	OPN1MW	total_counts	35
gene	individual_1	cone cell	GUCA1C	positive_fraction	0.047498014
gene	individual_1	cone cell	GUCA1C	total_counts	587
panel	individual_1	cone cell	ALL	positive_1_fraction	0.18697379
panel	individual_1	cone cell	ALL	positive_1_cells	1177
panel	individual_1	cone cell	ALL	positive_2_fraction	0.063542494
panel	individual_1	cone cell	ALL	positive_2_cells	400
panel	individual_1	cone cell	ALL	positive_3_fraction	0.04177919
panel	individual_1	cone cell	ALL	positive_3_cells	263
panel	individual_1	cone cell	ALL	normscore_ge_1_fraction	0.17617156
panel	individual_1	cone cell	ALL	normscore_ge_5_fraction	0.092772041
panel	individual_1	cone cell	ALL	normscore_ge_10_fraction	0.057347101
panel	individual_1	cone cell	ALL	mean_normscore	1.9532729
gene	individual_1	rod cell	RHO	positive_fraction	0.38284353
gene	individual_1	rod cell	RHO	total_counts	4458
gene	individual_1	rod cell	GNAT1	positive_fraction	0.34678316
gene	individual_1	rod cell	GNAT1	total_counts	3792
gene	individual_1	rod cell	NRL	positive_fraction	0.38792693
gene	individual_1	rod cell	NRL	total_counts	3941
gene	individual_1	rod cell	PDE6A	positive_fraction	0.69372518
gene	individual_1	rod cell	PDE6A	total_counts	48962
gene	individual_1	rod cell	PDE6B	positive_fraction	0.5553614
gene	individual_1	rod cell	PDE6B	total_counts	10403
gene	individual_1	rod cell	CNGA1	positive_fraction	0.36362192
gene	individual_1	rod cell	CNGA1	total_counts	4689
gene	individual_1	rod cell	GNGT1	positive_fraction	0.47625099
gene	individual_1	rod cell	GNGT1	total_counts	6171
gene	individual_1	rod cell	ROM1	positive_fraction	0.45162828
gene	individual_1	rod cell	ROM1	total_counts	5841
panel	individual_1	rod cell	ALL	positive_1_fraction	0.87736299
panel	individual_1	rod cell	ALL	positive_1_cells	5523
panel	individual_1	rod cell	ALL	positive_2_fraction	0.75107228
panel	individual_1	rod cell	ALL	positive_2_cells	4728
panel	individual_1	rod cell	ALL	positive_3_fraction	0.63510723
panel	individual_1	rod cell	ALL	positive_3_cells	3998
panel	individual_1	rod cell	ALL	normscore_ge_1_fraction	0.87434472
panel	individual_1	rod cell	ALL	normscore_ge_5_fraction	0.77648928
panel	individual_1	rod cell	ALL	normscore_ge_10_fraction	0.70277998
panel	individual_1	rod cell	ALL	mean_normscore	58.728154
gene	individual_1	horizontal cell	LHX1	positive_fraction	0.019380461
gene	individual_1	horizontal cell	LHX1	total_counts	253
gene	individual_1	horizontal cell	ONECUT1	positive_fraction	0.043685465
gene	individual_1	horizontal cell	ONECUT1	total_counts	1066
gene	individual_1	horizontal cell	ONECUT2	positive_fraction	0.043208896
gene	individual_1	horizontal cell	ONECUT2	total_counts	697
gene	individual_1	horizontal cell	PROX1	positive_fraction	0.13169182
gene	individual_1	horizontal cell	PROX1	total_counts	1743
gene	individual_1	horizontal cell	CALB1	positive_fraction	0.023351867
gene	individual_1	horizontal cell	CALB1	total_counts	216
gene	individual_1	horizontal cell	GAD1	positive_fraction	0.024940429
gene	individual_1	horizontal cell	GAD1	total_counts	343
panel	individual_1	horizontal cell	ALL	positive_1_fraction	0.19396346
panel	individual_1	horizontal cell	ALL	positive_1_cells	1221
panel	individual_1	horizontal cell	ALL	positive_2_fraction	0.049404289
panel	individual_1	horizontal cell	ALL	positive_2_cells	311
panel	individual_1	horizontal cell	ALL	positive_3_fraction	0.027640985
panel	individual_1	horizontal cell	ALL	positive_3_cells	174
panel	individual_1	horizontal cell	ALL	normscore_ge_1_fraction	0.18522637
panel	individual_1	horizontal cell	ALL	normscore_ge_5_fraction	0.10150913
panel	individual_1	horizontal cell	ALL	normscore_ge_10_fraction	0.047656871
panel	individual_1	horizontal cell	ALL	mean_normscore	1.5922105
gene	individual_1	bipolar cell	VSX2	positive_fraction	0.124861
gene	individual_1	bipolar cell	VSX2	total_counts	1526
gene	individual_1	bipolar cell	GRM6	positive_fraction	0.10516283
gene	individual_1	bipolar cell	GRM6	total_counts	1738
gene	individual_1	bipolar cell	TRPM1	positive_fraction	0.14614774
gene	individual_1	bipolar cell	TRPM1	total_counts	5474
gene	individual_1	bipolar cell	CABP5	positive_fraction	0.23335981
gene	individual_1	bipolar cell	CABP5	total_counts	2201
gene	individual_1	bipolar cell	PCP4	positive_fraction	0.22907069
gene	individual_1	bipolar cell	PCP4	total_counts	3811
gene	individual_1	bipolar cell	PRKCA	positive_fraction	0.35996823
gene	individual_1	bipolar cell	PRKCA	total_counts	10636
gene	individual_1	bipolar cell	OTX2	positive_fraction	0.30214456
gene	individual_1	bipolar cell	OTX2	total_counts	3033
panel	individual_1	bipolar cell	ALL	positive_1_fraction	0.69960286
panel	individual_1	bipolar cell	ALL	positive_1_cells	4404
panel	individual_1	bipolar cell	ALL	positive_2_fraction	0.36886418
panel	individual_1	bipolar cell	ALL	positive_2_cells	2322
panel	individual_1	bipolar cell	ALL	positive_3_fraction	0.19586974
panel	individual_1	bipolar cell	ALL	positive_3_cells	1233
panel	individual_1	bipolar cell	ALL	normscore_ge_1_fraction	0.6980143
panel	individual_1	bipolar cell	ALL	normscore_ge_5_fraction	0.58030183
panel	individual_1	bipolar cell	ALL	normscore_ge_10_fraction	0.36092137
panel	individual_1	bipolar cell	ALL	mean_normscore	13.442608
gene	individual_1	RGC	RBPMS	positive_fraction	0.033359809
gene	individual_1	RGC	RBPMS	total_counts	1338
gene	individual_1	RGC	SNCG	positive_fraction	0.075297855
gene	individual_1	RGC	SNCG	total_counts	836
gene	individual_1	RGC	POU4F1	positive_fraction	0.002700556
gene	individual_1	RGC	POU4F1	total_counts	22
gene	individual_1	RGC	POU4F2	positive_fraction	0.0020651311
gene	individual_1	RGC	POU4F2	total_counts	14
gene	individual_1	RGC	THY1	positive_fraction	0.036854647
gene	individual_1	RGC	THY1	total_counts	432
gene	individual_1	RGC	NEFL	positive_fraction	0.071644162
gene	individual_1	RGC	NEFL	total_counts	1955
gene	individual_1	RGC	NEFM	positive_fraction	0.048292295
gene	individual_1	RGC	NEFM	total_counts	1210
panel	individual_1	RGC	ALL	positive_1_fraction	0.16822875
panel	individual_1	RGC	ALL	positive_1_cells	1059
panel	individual_1	RGC	ALL	positive_2_fraction	0.044479746
panel	individual_1	RGC	ALL	positive_2_cells	280
panel	individual_1	RGC	ALL	positive_3_fraction	0.023510723
panel	individual_1	RGC	ALL	positive_3_cells	148
panel	individual_1	RGC	ALL	normscore_ge_1_fraction	0.16076251
panel	individual_1	RGC	ALL	normscore_ge_5_fraction	0.071008737
panel	individual_1	RGC	ALL	normscore_ge_10_fraction	0.030023828
panel	individual_1	RGC	ALL	mean_normscore	1.2299713
gene	individual_1	T cells	CD3D	positive_fraction	0.00015885624
gene	individual_1	T cells	CD3D	total_counts	1
gene	individual_1	T cells	CD3E	positive_fraction	0.00015885624
gene	individual_1	T cells	CD3E	total_counts	1
gene	individual_1	T cells	CD3G	positive_fraction	0.00047656871
gene	individual_1	T cells	CD3G	total_counts	3
gene	individual_1	T cells	TRBC1	positive_fraction	0
gene	individual_1	T cells	TRBC1	total_counts	0
gene	individual_1	T cells	TRBC2	positive_fraction	0
gene	individual_1	T cells	TRBC2	total_counts	0
gene	individual_1	T cells	LCK	positive_fraction	0.00015885624
gene	individual_1	T cells	LCK	total_counts	1
gene	individual_1	T cells	IL7R	positive_fraction	0.00015885624
gene	individual_1	T cells	IL7R	total_counts	1
panel	individual_1	T cells	ALL	positive_1_fraction	0.0011119936
panel	individual_1	T cells	ALL	positive_1_cells	7
panel	individual_1	T cells	ALL	positive_2_fraction	0
panel	individual_1	T cells	ALL	positive_2_cells	0
panel	individual_1	T cells	ALL	positive_3_fraction	0
panel	individual_1	T cells	ALL	positive_3_cells	0
panel	individual_1	T cells	ALL	normscore_ge_1_fraction	0.00079428118
panel	individual_1	T cells	ALL	normscore_ge_5_fraction	0.00031771247
panel	individual_1	T cells	ALL	normscore_ge_10_fraction	0
panel	individual_1	T cells	ALL	mean_normscore	0.0035390034
gene	individual_1	macrophage	LYZ	positive_fraction	0.00031771247
gene	individual_1	macrophage	LYZ	total_counts	2
gene	individual_1	macrophage	CD68	positive_fraction	0.0014297061
gene	individual_1	macrophage	CD68	total_counts	9
gene	individual_1	macrophage	FCGR3A	positive_fraction	0.00063542494
gene	individual_1	macrophage	FCGR3A	total_counts	5
gene	individual_1	macrophage	CTSD	positive_fraction	0.059571088
gene	individual_1	macrophage	CTSD	total_counts	450
gene	individual_1	macrophage	APOC1	positive_fraction	0.0092136616
gene	individual_1	macrophage	APOC1	total_counts	60
gene	individual_1	macrophage	SPP1	positive_fraction	0.094360604
gene	individual_1	macrophage	SPP1	total_counts	1381
gene	individual_1	macrophage	MSR1	positive_fraction	0.07593328
gene	individual_1	macrophage	MSR1	total_counts	1862
panel	individual_1	macrophage	ALL	positive_1_fraction	0.21795075
panel	individual_1	macrophage	ALL	positive_1_cells	1372
panel	individual_1	macrophage	ALL	positive_2_fraction	0.022398729
panel	individual_1	macrophage	ALL	positive_2_cells	141
panel	individual_1	macrophage	ALL	positive_3_fraction	0.0011119936
panel	individual_1	macrophage	ALL	positive_3_cells	7
panel	individual_1	macrophage	ALL	normscore_ge_1_fraction	0.20746624
panel	individual_1	macrophage	ALL	normscore_ge_5_fraction	0.10405083
panel	individual_1	macrophage	ALL	normscore_ge_10_fraction	0.053534551
panel	individual_1	macrophage	ALL	mean_normscore	1.7972108
gene	individual_1	Schwann cell	SOX10	positive_fraction	0.0074662431
gene	individual_1	Schwann cell	SOX10	total_counts	52
gene	individual_1	Schwann cell	MPZ	positive_fraction	0.0034948372
gene	individual_1	Schwann cell	MPZ	total_counts	22
gene	individual_1	Schwann cell	PMP22	positive_fraction	0.020015886
gene	individual_1	Schwann cell	PMP22	total_counts	170
gene	individual_1	Schwann cell	S100B	positive_fraction	0.0088959492
gene	individual_1	Schwann cell	S100B	total_counts	62
gene	individual_1	Schwann cell	PLP1	positive_fraction	0.00063542494
gene	individual_1	Schwann cell	PLP1	total_counts	4
gene	individual_1	Schwann cell	S100A1	positive_fraction	0.0058776807
gene	individual_1	Schwann cell	S100A1	total_counts	37
gene	individual_1	Schwann cell	GFAP	positive_fraction	0.033200953
gene	individual_1	Schwann cell	GFAP	total_counts	433
panel	individual_1	Schwann cell	ALL	positive_1_fraction	0.068308181
panel	individual_1	Schwann cell	ALL	positive_1_cells	430
panel	individual_1	Schwann cell	ALL	positive_2_fraction	0.010643368
panel	individual_1	Schwann cell	ALL	positive_2_cells	67
panel	individual_1	Schwann cell	ALL	positive_3_fraction	0.00063542494
panel	individual_1	Schwann cell	ALL	positive_3_cells	4
panel	individual_1	Schwann cell	ALL	normscore_ge_1_fraction	0.059412232
panel	individual_1	Schwann cell	ALL	normscore_ge_5_fraction	0.014455917
panel	individual_1	Schwann cell	ALL	normscore_ge_10_fraction	0.0041302621
panel	individual_1	Schwann cell	ALL	mean_normscore	0.26180778
gene	individual_1	Pericyte	RGS5	positive_fraction	0.015250199
gene	individual_1	Pericyte	RGS5	total_counts	113
gene	individual_1	Pericyte	CSPG4	positive_fraction	0.00015885624
gene	individual_1	Pericyte	CSPG4	total_counts	1
gene	individual_1	Pericyte	MCAM	positive_fraction	0.047974583
gene	individual_1	Pericyte	MCAM	total_counts	589
gene	individual_1	Pericyte	PDGFRB	positive_fraction	0.020015886
gene	individual_1	Pericyte	PDGFRB	total_counts	166
gene	individual_1	Pericyte	NOTCH3	positive_fraction	0.0012708499
gene	individual_1	Pericyte	NOTCH3	total_counts	9
gene	individual_1	Pericyte	KCNJ8	positive_fraction	0.0012708499
gene	individual_1	Pericyte	KCNJ8	total_counts	10
gene	individual_1	Pericyte	ABCC9	positive_fraction	0.013185068
gene	individual_1	Pericyte	ABCC9	total_counts	121
panel	individual_1	Pericyte	ALL	positive_1_fraction	0.079904686
panel	individual_1	Pericyte	ALL	positive_1_cells	503
panel	individual_1	Pericyte	ALL	positive_2_fraction	0.016997617
panel	individual_1	Pericyte	ALL	positive_2_cells	107
panel	individual_1	Pericyte	ALL	positive_3_fraction	0.0020651311
panel	individual_1	Pericyte	ALL	positive_3_cells	13
panel	individual_1	Pericyte	ALL	normscore_ge_1_fraction	0.073073868
panel	individual_1	Pericyte	ALL	normscore_ge_5_fraction	0.023987292
panel	individual_1	Pericyte	ALL	normscore_ge_10_fraction	0.005401112
panel	individual_1	Pericyte	ALL	mean_normscore	0.33339033
gene	individual_1	B cell	CD79A	positive_fraction	0
gene	individual_1	B cell	CD79A	total_counts	0
gene	individual_1	B cell	CD79B	positive_fraction	0.00015885624
gene	individual_1	B cell	CD79B	total_counts	1
gene	individual_1	B cell	MS4A1	positive_fraction	0
gene	individual_1	B cell	MS4A1	total_counts	0
gene	individual_1	B cell	CD37	positive_fraction	0.0042891183
gene	individual_1	B cell	CD37	total_counts	28
gene	individual_1	B cell	CD74	positive_fraction	0.0092136616
gene	individual_1	B cell	CD74	total_counts	58
gene	individual_1	B cell	CD22	positive_fraction	0.00031771247
gene	individual_1	B cell	CD22	total_counts	3
gene	individual_1	B cell	CD19	positive_fraction	0
gene	individual_1	B cell	CD19	total_counts	0
panel	individual_1	B cell	ALL	positive_1_fraction	0.013820492
panel	individual_1	B cell	ALL	positive_1_cells	87
panel	individual_1	B cell	ALL	positive_2_fraction	0.00015885624
panel	individual_1	B cell	ALL	positive_2_cells	1
panel	individual_1	B cell	ALL	positive_3_fraction	0
panel	individual_1	B cell	ALL	positive_3_cells	0
panel	individual_1	B cell	ALL	normscore_ge_1_fraction	0.010802224
panel	individual_1	B cell	ALL	normscore_ge_5_fraction	0.0038125496
panel	individual_1	B cell	ALL	normscore_ge_10_fraction	0.00063542494
panel	individual_1	B cell	ALL	mean_normscore	0.049121352
gene	individual_1	fibroblast	COL1A1	positive_fraction	0.0042891183
gene	individual_1	fibroblast	COL1A1	total_counts	31
gene	individual_1	fibroblast	COL1A2	positive_fraction	0.0019062748
gene	individual_1	fibroblast	COL1A2	total_counts	17
gene	individual_1	fibroblast	COL3A1	positive_fraction	0
gene	individual_1	fibroblast	COL3A1	total_counts	0
gene	individual_1	fibroblast	DCN	positive_fraction	0.0011119936
gene	individual_1	fibroblast	DCN	total_counts	10
gene	individual_1	fibroblast	LUM	positive_fraction	0.0033359809
gene	individual_1	fibroblast	LUM	total_counts	23
gene	individual_1	fibroblast	PDGFRA	positive_fraction	0.0082605242
gene	individual_1	fibroblast	PDGFRA	total_counts	78
gene	individual_1	fibroblast	COL6A1	positive_fraction	0.020174742
gene	individual_1	fibroblast	COL6A1	total_counts	163
panel	individual_1	fibroblast	ALL	positive_1_fraction	0.036854647
panel	individual_1	fibroblast	ALL	positive_1_cells	232
panel	individual_1	fibroblast	ALL	positive_2_fraction	0.0020651311
panel	individual_1	fibroblast	ALL	positive_2_cells	13
panel	individual_1	fibroblast	ALL	positive_3_fraction	0.00015885624
panel	individual_1	fibroblast	ALL	positive_3_cells	1
panel	individual_1	fibroblast	ALL	normscore_ge_1_fraction	0.028752979
panel	individual_1	fibroblast	ALL	normscore_ge_5_fraction	0.0068308181
panel	individual_1	fibroblast	ALL	normscore_ge_10_fraction	0.0020651311
panel	individual_1	fibroblast	ALL	mean_normscore	0.11561247
gene	individual_1	endothelial cell	PECAM1	positive_fraction	0.0019062748
gene	individual_1	endothelial cell	PECAM1	total_counts	19
gene	individual_1	endothelial cell	VWF	positive_fraction	0.0020651311
gene	individual_1	endothelial cell	VWF	total_counts	19
gene	individual_1	endothelial cell	EMCN	positive_fraction	0.0017474186
gene	individual_1	endothelial cell	EMCN	total_counts	11
gene	individual_1	endothelial cell	KDR	positive_fraction	0.045274027
gene	individual_1	endothelial cell	KDR	total_counts	574
gene	individual_1	endothelial cell	CLDN5	positive_fraction	0.0038125496
gene	individual_1	endothelial cell	CLDN5	total_counts	41
gene	individual_1	endothelial cell	RAMP2	positive_fraction	0.00047656871
gene	individual_1	endothelial cell	RAMP2	total_counts	3
gene	individual_1	endothelial cell	ESAM	positive_fraction	0.0060365369
gene	individual_1	endothelial cell	ESAM	total_counts	42
panel	individual_1	endothelial cell	ALL	positive_1_fraction	0.057982526
panel	individual_1	endothelial cell	ALL	positive_1_cells	365
panel	individual_1	endothelial cell	ALL	positive_2_fraction	0.0028594122
panel	individual_1	endothelial cell	ALL	positive_2_cells	18
panel	individual_1	endothelial cell	ALL	positive_3_fraction	0.00015885624
panel	individual_1	endothelial cell	ALL	positive_3_cells	1
panel	individual_1	endothelial cell	ALL	normscore_ge_1_fraction	0.054328832
panel	individual_1	endothelial cell	ALL	normscore_ge_5_fraction	0.01604448
panel	individual_1	endothelial cell	ALL	normscore_ge_10_fraction	0.0052422558
panel	individual_1	endothelial cell	ALL	mean_normscore	0.24956196
gene	individual_1	muller glia cell	GLUL	positive_fraction	0.19809373
gene	individual_1	muller glia cell	GLUL	total_counts	6191
gene	individual_1	muller glia cell	RLBP1	positive_fraction	0.099444003
gene	individual_1	muller glia cell	RLBP1	total_counts	1795
gene	individual_1	muller glia cell	SLC1A3	positive_fraction	0.088641779
gene	individual_1	muller glia cell	SLC1A3	total_counts	3219
gene	individual_1	muller glia cell	CLU	positive_fraction	0.17188245
gene	individual_1	muller glia cell	CLU	total_counts	2653
gene	individual_1	muller glia cell	APOE	positive_fraction	0.13709293
gene	individual_1	muller glia cell	APOE	total_counts	1460
gene	individual_1	muller glia cell	AQP4	positive_fraction	0.028911835
gene	individual_1	muller glia cell	AQP4	total_counts	271
gene	individual_1	muller glia cell	SLC1A2	positive_fraction	0.44273233
gene	individual_1	muller glia cell	SLC1A2	total_counts	5834
panel	individual_1	muller glia cell	ALL	positive_1_fraction	0.64289118
panel	individual_1	muller glia cell	ALL	positive_1_cells	4047
panel	individual_1	muller glia cell	ALL	positive_2_fraction	0.24733916
panel	individual_1	muller glia cell	ALL	positive_2_cells	1557
panel	individual_1	muller glia cell	ALL	positive_3_fraction	0.1223193
panel	individual_1	muller glia cell	ALL	positive_3_cells	770
panel	individual_1	muller glia cell	ALL	normscore_ge_1_fraction	0.6406672
panel	individual_1	muller glia cell	ALL	normscore_ge_5_fraction	0.4918189
panel	individual_1	muller glia cell	ALL	normscore_ge_10_fraction	0.27911041
panel	individual_1	muller glia cell	ALL	mean_normscore	9.117145
matrix	individual_2	ALL	ALL	n_cells	5004
matrix	individual_2	ALL	ALL	n_genes	36601
matrix	individual_2	ALL	ALL	nnz	9953348
matrix	individual_2	ALL	ALL	mean_library	4236.1415
gene	individual_2	astrocyte	GFAP	positive_fraction	0.023181455
gene	individual_2	astrocyte	GFAP	total_counts	177
gene	individual_2	astrocyte	ALDH1L1	positive_fraction	0.01538769
gene	individual_2	astrocyte	ALDH1L1	total_counts	91
gene	individual_2	astrocyte	SLC1A2	positive_fraction	0.68285372
gene	individual_2	astrocyte	SLC1A2	total_counts	10078
gene	individual_2	astrocyte	AQP4	positive_fraction	0.060551559
gene	individual_2	astrocyte	AQP4	total_counts	677
gene	individual_2	astrocyte	GJA1	positive_fraction	0.00059952038
gene	individual_2	astrocyte	GJA1	total_counts	3
gene	individual_2	astrocyte	S100B	positive_fraction	0.011191047
gene	individual_2	astrocyte	S100B	total_counts	71
panel	individual_2	astrocyte	ALL	positive_1_fraction	0.73721023
panel	individual_2	astrocyte	ALL	positive_1_cells	3689
panel	individual_2	astrocyte	ALL	positive_2_fraction	0.04736211
panel	individual_2	astrocyte	ALL	positive_2_cells	237
panel	individual_2	astrocyte	ALL	positive_3_fraction	0.0083932854
panel	individual_2	astrocyte	ALL	positive_3_cells	42
panel	individual_2	astrocyte	ALL	normscore_ge_1_fraction	0.72721823
panel	individual_2	astrocyte	ALL	normscore_ge_5_fraction	0.45683453
panel	individual_2	astrocyte	ALL	normscore_ge_10_fraction	0.21602718
panel	individual_2	astrocyte	ALL	mean_normscore	6.0396613
gene	individual_2	microglial cell	P2RY12	positive_fraction	0.034572342
gene	individual_2	microglial cell	P2RY12	total_counts	235
gene	individual_2	microglial cell	TMEM119	positive_fraction	0
gene	individual_2	microglial cell	TMEM119	total_counts	0
gene	individual_2	microglial cell	CX3CR1	positive_fraction	0.001598721
gene	individual_2	microglial cell	CX3CR1	total_counts	15
gene	individual_2	microglial cell	SALL1	positive_fraction	0.011790568
gene	individual_2	microglial cell	SALL1	total_counts	78
gene	individual_2	microglial cell	C1QA	positive_fraction	0.0023980815
gene	individual_2	microglial cell	C1QA	total_counts	12
gene	individual_2	microglial cell	C1QB	positive_fraction	0.0065947242
gene	individual_2	microglial cell	C1QB	total_counts	33
gene	individual_2	microglial cell	C1QC	positive_fraction	0.00099920064
gene	individual_2	microglial cell	C1QC	total_counts	5
panel	individual_2	microglial cell	ALL	positive_1_fraction	0.057354117
panel	individual_2	microglial cell	ALL	positive_1_cells	287
panel	individual_2	microglial cell	ALL	positive_2_fraction	0.00059952038
panel	individual_2	microglial cell	ALL	positive_2_cells	3
panel	individual_2	microglial cell	ALL	positive_3_fraction	0
panel	individual_2	microglial cell	ALL	positive_3_cells	0
panel	individual_2	microglial cell	ALL	normscore_ge_1_fraction	0.051558753
panel	individual_2	microglial cell	ALL	normscore_ge_5_fraction	0.0029976019
panel	individual_2	microglial cell	ALL	normscore_ge_10_fraction	0.00019984013
panel	individual_2	microglial cell	ALL	mean_normscore	0.13581813
gene	individual_2	RPE cell	RPE65	positive_fraction	0.0313749
gene	individual_2	RPE cell	RPE65	total_counts	246
gene	individual_2	RPE cell	BEST1	positive_fraction	0.018784972
gene	individual_2	RPE cell	BEST1	total_counts	150
gene	individual_2	RPE cell	RGR	positive_fraction	0.11131095
gene	individual_2	RPE cell	RGR	total_counts	2229
gene	individual_2	RPE cell	RDH5	positive_fraction	0.12589928
gene	individual_2	RPE cell	RDH5	total_counts	747
gene	individual_2	RPE cell	TTR	positive_fraction	0.055555556
gene	individual_2	RPE cell	TTR	total_counts	830
gene	individual_2	RPE cell	RLBP1	positive_fraction	0.13009592
gene	individual_2	RPE cell	RLBP1	total_counts	3648
panel	individual_2	RPE cell	ALL	positive_1_fraction	0.33832934
panel	individual_2	RPE cell	ALL	positive_1_cells	1693
panel	individual_2	RPE cell	ALL	positive_2_fraction	0.11430855
panel	individual_2	RPE cell	ALL	positive_2_cells	572
panel	individual_2	RPE cell	ALL	positive_3_fraction	0.016586731
panel	individual_2	RPE cell	ALL	positive_3_cells	83
panel	individual_2	RPE cell	ALL	normscore_ge_1_fraction	0.32613909
panel	individual_2	RPE cell	ALL	normscore_ge_5_fraction	0.12789768
panel	individual_2	RPE cell	ALL	normscore_ge_10_fraction	0.084332534
