cell_type	metric	individual_1	individual_2	fold_2_over_1	log2_fold
endothelial cell	positive_1_fraction	0.057982526	0.10551559	1.8186611	0.86287674
endothelial cell	positive_2_fraction	0.0028594122	0.0045963229	1.5910191	0.66995114
endothelial cell	positive_3_fraction	0.00015885624	0.00039968026	2.0106581	1.0076678
endothelial cell	normscore_ge_10_fraction	0.0052422558	0.0089928058	1.7047675	0.76957502
endothelial cell	mean_normscore	0.24956196	0.49775185	1.994502	0.9960286
endothelial cell	median_marker_gene_positive_log2_fold	NA	NA	1.6149025	0.69144705
muller glia cell	positive_1_fraction	0.64289118	0.85731415	1.333488	0.41520482
muller glia cell	positive_2_fraction	0.24733916	0.39508393	1.597145	0.67549529
muller glia cell	positive_3_fraction	0.1223193	0.16706635	1.3655843	0.44951835
muller glia cell	normscore_ge_10_fraction	0.27911041	0.37609912	1.3473934	0.43017115
muller glia cell	mean_normscore	9.117145	17.10118	1.8757166	0.90744185
muller glia cell	median_marker_gene_positive_log2_fold	NA	NA	1.5008764	0.5858052
