         FID          IID MISS_PHENO   N_MISS   N_GENO   F_MISS
  SAMPLE_112   SAMPLE_112          Y        0   500000        0
  SAMPLE_052   SAMPLE_052          Y        0   500000        0
  SAMPLE_107   SAMPLE_107          Y        0   500000        0
  SAMPLE_139   SAMPLE_139          Y        0   500000        0
  SAMPLE_115   SAMPLE_115          Y        0   500000        0
  SAMPLE_018   SAMPLE_018          Y        0   500000        0
  SAMPLE_072   SAMPLE_072          Y        0   500000        0
  SAMPLE_166   SAMPLE_166          Y        0   500000        0
  SAMPLE_020   SAMPLE_020          Y        0   500000        0
  SAMPLE_172   SAMPLE_172          Y        0   500000        0
  SAMPLE_101   SAMPLE_101          Y        0   500000        0
  SAMPLE_186   SAMPLE_186          Y        0   500000        0
  SAMPLE_094   SAMPLE_094          Y        0   500000        0
  SAMPLE_178   SAMPLE_178          Y        0   500000        0
  SAMPLE_082   SAMPLE_082          Y        0   500000        0
  SAMPLE_117   SAMPLE_117          Y        0   500000        0
  SAMPLE_118   SAMPLE_118          Y        0   500000        0
  SAMPLE_131   SAMPLE_131          Y        0   500000        0
  SAMPLE_031   SAMPLE_031          Y        0   500000        0
  SAMPLE_182   SAMPLE_182          Y        0   500000        0
  SAMPLE_046   SAMPLE_046          Y        0   500000        0
  SAMPLE_067   SAMPLE_067          Y        0   500000        0
  SAMPLE_084   SAMPLE_084          Y        0   500000        0
  SAMPLE_142   SAMPLE_142          Y        0   500000        0
  SAMPLE_161   SAMPLE_161          Y        0   500000        0
  SAMPLE_136   SAMPLE_136          Y        0   500000        0
  SAMPLE_050   SAMPLE_050          Y        0   500000        0
  SAMPLE_132   SAMPLE_132          Y        0   500000        0
  SAMPLE_197   SAMPLE_197          Y        0   500000        0
  SAMPLE_124   SAMPLE_124          Y        0   500000        0
  SAMPLE_065   SAMPLE_065          Y        0   500000        0
  SAMPLE_064   SAMPLE_064          Y        0   500000        0
  SAMPLE_188   SAMPLE_188          Y        0   500000        0
  SAMPLE_177   SAMPLE_177          Y        0   500000        0
  SAMPLE_171   SAMPLE_171          Y        0   500000        0
  SAMPLE_170   SAMPLE_170          Y        0   500000        0
  SAMPLE_048   SAMPLE_048          Y        0   500000        0
  SAMPLE_039   SAMPLE_039          Y        0   500000        0
  SAMPLE_150   SAMPLE_150          Y        0   500000        0
  SAMPLE_075   SAMPLE_075          Y        0   500000        0
  SAMPLE_154   SAMPLE_154          Y        0   500000        0
  SAMPLE_102   SAMPLE_102          Y        0   500000        0
  SAMPLE_109   SAMPLE_109          Y        0   500000        0
  SAMPLE_155   SAMPLE_155          Y        0   500000        0
  SAMPLE_012   SAMPLE_012          Y        0   500000        0
  SAMPLE_143   SAMPLE_143          Y        0   500000        0
  SAMPLE_047   SAMPLE_047          Y        0   500000        0
  SAMPLE_027   SAMPLE_027          Y        0   500000        0
  SAMPLE_116   SAMPLE_116          Y        0   500000        0
  SAMPLE_037   SAMPLE_037          Y        0   500000        0
  SAMPLE_074   SAMPLE_074          Y        0   500000        0
  SAMPLE_192   SAMPLE_192          Y        0   500000        0
  SAMPLE_111   SAMPLE_111          Y        0   500000        0
  SAMPLE_010   SAMPLE_010          Y        0   500000        0
  SAMPLE_147   SAMPLE_147          Y        0   500000        0
  SAMPLE_059   SAMPLE_059          Y        0   500000        0
  SAMPLE_022   SAMPLE_022          Y        0   500000        0
  SAMPLE_153   SAMPLE_153          Y        0   500000        0
  SAMPLE_163   SAMPLE_163          Y        0   500000        0
  SAMPLE_057   SAMPLE_057          Y        0   500000        0
  SAMPLE_036   SAMPLE_036          Y        0   500000        0
  SAMPLE_137   SAMPLE_137          Y        0   500000        0
  SAMPLE_081   SAMPLE_081          Y        0   500000        0
  SAMPLE_024   SAMPLE_024          Y        0   500000        0
  SAMPLE_200   SAMPLE_200          Y        0   500000        0
  SAMPLE_040   SAMPLE_040          Y        0   500000        0
  SAMPLE_090   SAMPLE_090          Y        0   500000        0
  SAMPLE_080   SAMPLE_080          Y        0   500000        0
  SAMPLE_152   SAMPLE_152          Y        0   500000        0
  SAMPLE_168   SAMPLE_168          Y        0   500000        0
  SAMPLE_130   SAMPLE_130          Y        0   500000        0
  SAMPLE_091   SAMPLE_091          Y        0   500000        0
  SAMPLE_004   SAMPLE_004          Y        0   500000        0
  SAMPLE_092   SAMPLE_092          Y        0   500000        0
  SAMPLE_193   SAMPLE_193          Y        0   500000        0
  SAMPLE_096   SAMPLE_096          Y        0   500000        0
  SAMPLE_078   SAMPLE_078          Y        0   500000        0
  SAMPLE_032   SAMPLE_032          Y        0   500000        0
  SAMPLE_035   SAMPLE_035          Y        0   500000        0
  SAMPLE_149   SAMPLE_149          Y        0   500000        0
  SAMPLE_013   SAMPLE_013          Y        0   500000        0
  SAMPLE_030   SAMPLE_030          Y        0   500000        0
  SAMPLE_049   SAMPLE_049          Y        0   500000        0
  SAMPLE_076   SAMPLE_076          Y        0   500000        0
  SAMPLE_123   SAMPLE_123          Y        0   500000        0
  SAMPLE_055   SAMPLE_055          Y        0   500000        0
  SAMPLE_164   SAMPLE_164          Y        0   500000        0
  SAMPLE_017   SAMPLE_017          Y        0   500000        0
  SAMPLE_053   SAMPLE_053          Y        0   500000        0
  SAMPLE_099   SAMPLE_099          Y        0   500000        0
  SAMPLE_051   SAMPLE_051          Y        0   500000        0
  SAMPLE_054   SAMPLE_054          Y        0   500000        0
  SAMPLE_120   SAMPLE_120          Y        0   500000        0
  SAMPLE_028   SAMPLE_028          Y        0   500000        0
  SAMPLE_140   SAMPLE_140          Y        0   500000        0
  SAMPLE_135   SAMPLE_135          Y        0   500000        0
  SAMPLE_058   SAMPLE_058          Y        0   500000        0
  SAMPLE_187   SAMPLE_187          Y        0   500000        0
  SAMPLE_199   SAMPLE_199          Y        0   500000        0
  SAMPLE_019   SAMPLE_019          Y        0   500000        0
  SAMPLE_005   SAMPLE_005          Y        0   500000        0
  SAMPLE_089   SAMPLE_089          Y        0   500000        0
  SAMPLE_181   SAMPLE_181          Y        0   500000        0
  SAMPLE_190   SAMPLE_190          Y        0   500000        0
  SAMPLE_079   SAMPLE_079          Y        0   500000        0
  SAMPLE_083   SAMPLE_083          Y        0   500000        0
  SAMPLE_077   SAMPLE_077          Y        0   500000        0
  SAMPLE_189   SAMPLE_189          Y        0   500000        0
  SAMPLE_128   SAMPLE_128          Y        0   500000        0
  SAMPLE_033   SAMPLE_033          Y        0   500000        0
  SAMPLE_138   SAMPLE_138          Y        0   500000        0
  SAMPLE_106   SAMPLE_106          Y        0   500000        0
  SAMPLE_162   SAMPLE_162          Y        0   500000        0
  SAMPLE_029   SAMPLE_029          Y        0   500000        0
  SAMPLE_203   SAMPLE_203          Y        0   500000        0
  SAMPLE_016   SAMPLE_016          Y        0   500000        0
  SAMPLE_060   SAMPLE_060          Y        0   500000        0
  SAMPLE_201   SAMPLE_201          Y        0   500000        0
  SAMPLE_056   SAMPLE_056          Y        0   500000        0
  SAMPLE_184   SAMPLE_184          Y        0   500000        0
  SAMPLE_100   SAMPLE_100          Y        0   500000        0
  SAMPLE_144   SAMPLE_144          Y        0   500000        0
  SAMPLE_158   SAMPLE_158          Y        0   500000        0
  SAMPLE_021   SAMPLE_021          Y        0   500000        0
  SAMPLE_114   SAMPLE_114          Y        0   500000        0
  SAMPLE_003   SAMPLE_003          Y        0   500000        0
  SAMPLE_104   SAMPLE_104          Y        0   500000        0
  SAMPLE_122   SAMPLE_122          Y        0   500000        0
  SAMPLE_191   SAMPLE_191          Y        0   500000        0
  SAMPLE_002   SAMPLE_002          Y        0   500000        0
  SAMPLE_110   SAMPLE_110          Y        0   500000        0
  SAMPLE_062   SAMPLE_062          Y        0   500000        0
  SAMPLE_179   SAMPLE_179          Y        0   500000        0
  SAMPLE_041   SAMPLE_041          Y        0   500000        0
  SAMPLE_095   SAMPLE_095          Y        0   500000        0
  SAMPLE_141   SAMPLE_141          Y        0   500000        0
  SAMPLE_194   SAMPLE_194          Y        0   500000        0
  SAMPLE_038   SAMPLE_038          Y        0   500000        0
  SAMPLE_098   SAMPLE_098          Y        0   500000        0
  SAMPLE_063   SAMPLE_063          Y        0   500000        0
  SAMPLE_103   SAMPLE_103          Y        0   500000        0
  SAMPLE_159   SAMPLE_159          Y        0   500000        0
  SAMPLE_045   SAMPLE_045          Y        0   500000        0
  SAMPLE_169   SAMPLE_169          Y        0   500000        0
  SAMPLE_042   SAMPLE_042          Y        0   500000        0
  SAMPLE_165   SAMPLE_165          Y        0   500000        0
  SAMPLE_011   SAMPLE_011          Y        0   500000        0
  SAMPLE_015   SAMPLE_015          Y        0   500000        0
  SAMPLE_023   SAMPLE_023          Y        0   500000        0
  SAMPLE_129   SAMPLE_129          Y        0   500000        0
  SAMPLE_068   SAMPLE_068          Y        0   500000        0
  SAMPLE_001   SAMPLE_001          Y        0   500000        0
  SAMPLE_195   SAMPLE_195          Y        0   500000        0
  SAMPLE_185   SAMPLE_185          Y        0   500000        0
  SAMPLE_198   SAMPLE_198          Y        0   500000        0
  SAMPLE_196   SAMPLE_196          Y        0   500000        0
  SAMPLE_125   SAMPLE_125          Y        0   500000        0
  SAMPLE_180   SAMPLE_180          Y        0   500000        0
  SAMPLE_025   SAMPLE_025          Y        0   500000        0
  SAMPLE_134   SAMPLE_134          Y        0   500000        0
