sample	gene	mean	frac_pos	max
Patient_007	SFTPC	0.8015	0.0076	419.0
Patient_007	SFTPB	0.0076	0.0019	4.0
Patient_007	KRT7	0.0189	0.0113	3.0
Patient_007	CEACAM5	0.0000	0.0000	0.0
Patient_007	MUC1	0.0189	0.0151	2.0
Patient_007	AGR2	0.0321	0.0095	7.0
Patient_007	TP63	0.0000	0.0000	0.0
Patient_007	KRT5	0.0038	0.0019	2.0
Patient_007	KRT6A	0.0019	0.0019	1.0
Patient_007	KRT6B	0.0000	0.0000	0.0
Patient_007	KRT14	0.0000	0.0000	0.0
Patient_007	KRT17	0.0000	0.0000	0.0
Patient_007	DSG3	0.0000	0.0000	0.0
Patient_007	SERPINB3	0.0000	0.0000	0.0
Patient_007	SERPINB4	0.0000	0.0000	0.0
Patient_007	SOX2	0.0000	0.0000	0.0
Patient_007	KRT15	0.0038	0.0038	1.0
Patient_007	KRT13	0.0000	0.0000	0.0
Patient_007	S100A2	0.0095	0.0095	1.0
Patient_007	DSC3	0.0000	0.0000	0.0
Patient_007	PKP1	0.0000	0.0000	0.0
Patient_007	SCGB1A1	0.0510	0.0057	21.0
Patient_007	SCGB3A1	2.0699	0.0170	405.0
Patient_007	PIGR	0.0510	0.0095	12.0
Patient_007	MUC5AC	0.0000	0.0000	0.0
Patient_007	FOXJ1	0.0000	0.0000	0.0
Patient_007	TPPP3	0.0586	0.0340	5.0
Patient_007	CAPS	0.0227	0.0227	1.0
Patient_007	SNTN	0.0000	0.0000	0.0
Patient_007	AGER	0.0038	0.0038	1.0
Patient_007	CLDN18	0.0000	0.0000	0.0
Patient_007	CAV1	0.0057	0.0057	1.0
Patient_007	RTKN2	0.0510	0.0340	3.0
Patient_007	SFTPC	0.8015	0.0076	419.0
Patient_007	SFTPB	0.0076	0.0019	4.0
Patient_007	NAPSA	0.0265	0.0151	3.0
Patient_007	LAMP3	0.1342	0.0473	13.0
Patient_007	ABCA3	0.0019	0.0019	1.0
Patient_018	PTPRC	1.4713	0.5760	19.0
Patient_018	CD3D	1.0885	0.3045	63.0
Patient_018	CD3E	0.6637	0.2937	12.0
Patient_018	CD2	0.6590	0.2613	14.0
Patient_018	TRAC	1.4119	0.3558	66.0
Patient_018	IL7R	0.5928	0.1877	18.0
Patient_018	NKG7	1.8204	0.2681	29.0
Patient_018	GNLY	1.5118	0.1222	71.0
Patient_018	KLRD1	0.3011	0.1263	16.0
Patient_018	NCAM1	0.0054	0.0054	1.0
Patient_018	FCGR3A	0.3099	0.1074	18.0
Patient_018	CD79A	2.2255	0.2458	166.0
Patient_018	CD79B	0.4153	0.1999	17.0
Patient_018	MS4A1	0.8069	0.1735	39.0
Patient_018	CD19	0.1911	0.1060	7.0
Patient_018	MZB1	2.5618	0.1303	180.0
Patient_018	JCHAIN	22.7893	0.2660	2270.0
Patient_018	XBP1	2.2741	0.4126	62.0
Patient_018	LYZ	9.7684	0.2593	682.0
Patient_018	CD68	0.2552	0.1209	12.0
Patient_018	CD163	0.0898	0.0513	7.0
Patient_018	MRC1	0.2134	0.0641	17.0
Patient_018	ITGAX	0.2127	0.1202	9.0
Patient_018	FCGR3A	0.3099	0.1074	18.0
Patient_018	CD1C	0.2600	0.0729	22.0
Patient_018	CLEC10A	0.5807	0.0959	50.0
Patient_018	FCER1A	0.2910	0.0500	27.0
Patient_018	CLEC9A	0.0182	0.0047	9.0
Patient_018	XCR1	0.0034	0.0020	3.0
Patient_018	BATF3	0.0614	0.0425	4.0
Patient_018	IRF8	0.5679	0.2161	18.0
Patient_018	LAMP3	0.1141	0.0419	18.0
Patient_018	CCR7	0.3876	0.1357	30.0
Patient_018	FLT3	0.0203	0.0176	5.0
Patient_018	CD83	1.8562	0.3774	45.0
Patient_018	CD1A	0.1391	0.0297	23.0
Patient_018	TPSAB1	1.0230	0.0203	167.0
Patient_018	CPA3	0.2127	0.0182	49.0
Patient_018	MS4A2	0.0412	0.0135	14.0
Patient_018	PECAM1	0.1587	0.1121	5.0
Patient_018	VWF	0.0135	0.0034	11.0
Patient_018	CLDN5	0.0061	0.0020	5.0
Patient_018	ENG	0.1182	0.0749	5.0
Patient_018	COL1A1	0.9129	0.0324	245.0
Patient_018	COL1A2	0.6543	0.0115	197.0
Patient_018	DCN	0.3606	0.0263	125.0
Patient_018	PDGFRB	0.0203	0.0081	6.0
Patient_018	LUM	1.2816	0.0500	332.0
Patient_018	EPCAM	0.9791	0.1236	38.0
Patient_018	KRT8	1.7130	0.1526	76.0
Patient_018	KRT18	1.0601	0.1377	51.0
Patient_018	CDH1	0.1175	0.0777	8.0
Patient_018	NKX2-1	0.0209	0.0142	4.0
Patient_018	NAPSA	0.1850	0.0203	51.0
Patient_018	SFTPC	2.1121	0.0317	1107.0
Patient_018	SFTPB	0.9797	0.0257	250.0
Patient_018	KRT7	0.1391	0.0371	31.0
Patient_018	CEACAM5	0.0081	0.0027	8.0
Patient_018	MUC1	0.1384	0.0392	18.0
Patient_018	AGR2	0.4119	0.0722	51.0
Patient_018	TP63	1.1330	0.1418	45.0
Patient_018	KRT5	11.1830	0.2269	465.0
Patient_018	KRT6A	8.4375	0.1992	719.0
Patient_018	KRT6B	0.1074	0.0297	48.0
Patient_018	KRT14	0.7596	0.0365	260.0
Patient_018	KRT17	19.4402	0.2897	1763.0
Patient_018	DSG3	0.3444	0.1026	15.0
Patient_018	SERPINB3	0.5010	0.0756	91.0
Patient_018	SERPINB4	0.1269	0.0317	23.0
Patient_018	SOX2	0.1337	0.0540	15.0
Patient_018	KRT15	0.7704	0.0878	208.0
Patient_018	KRT13	1.8015	0.1101	226.0
Patient_018	S100A2	18.2073	0.2647	1430.0
Patient_018	DSC3	0.3471	0.1020	19.0
Patient_018	PKP1	0.3369	0.1013	11.0
Patient_018	SCGB1A1	14.2903	0.1702	10206.0
Patient_018	SCGB3A1	13.8217	0.1587	9883.0
Patient_018	PIGR	0.2113	0.0189	56.0
Patient_018	MUC5AC	0.0095	0.0027	9.0
Patient_018	FOXJ1	0.0250	0.0088	14.0
Patient_018	TPPP3	0.1134	0.0398	37.0
Patient_018	CAPS	0.1134	0.0338	66.0
Patient_018	SNTN	0.0209	0.0047	20.0
Patient_018	AGER	0.0317	0.0149	20.0
Patient_018	CLDN18	0.0162	0.0034	12.0
Patient_018	CAV1	0.3315	0.0837	35.0
Patient_018	RTKN2	0.0716	0.0452	7.0
Patient_018	SFTPC	2.1121	0.0317	1107.0
Patient_018	SFTPB	0.9797	0.0257	250.0
Patient_018	NAPSA	0.1850	0.0203	51.0
Patient_018	LAMP3	0.1141	0.0419	18.0
Patient_018	ABCA3	0.0243	0.0122	9.0
Patient_040	PTPRC	0.0037	0.0037	1.0
Patient_040	CD3D	0.0057	0.0053	2.0
Patient_040	CD3E	0.0024	0.0024	1.0
Patient_040	CD2	0.0053	0.0053	1.0
Patient_040	TRAC	0.0434	0.0385	3.0
Patient_040	IL7R	0.0188	0.0149	5.0
Patient_040	NKG7	0.0096	0.0066	7.0
Patient_040	GNLY	0.0053	0.0037	4.0
Patient_040	KLRD1	0.0018	0.0015	2.0
Patient_040	NCAM1	0.0002	0.0002	1.0
Patient_040	FCGR3A	0.0074	0.0050	3.0
Patient_040	CD79A	0.0007	0.0007	1.0
Patient_040	CD79B	0.0009	0.0009	1.0
Patient_040	MS4A1	0.0002	0.0002	1.0
Patient_040	CD19	0.0002	0.0002	1.0
Patient_040	MZB1	0.0004	0.0004	1.0
Patient_040	JCHAIN	0.0039	0.0004	16.0
Patient_040	XBP1	0.3558	0.2698	5.0
Patient_040	LYZ	0.0762	0.0171	36.0
Patient_040	CD68	0.0123	0.0116	2.0
Patient_040	CD163	0.0015	0.0015	1.0
Patient_040	MRC1	0.0022	0.0020	2.0
Patient_040	ITGAX	0.0013	0.0009	2.0
Patient_040	FCGR3A	0.0074	0.0050	3.0
Patient_040	CD1C	0.0004	0.0004	1.0
Patient_040	CLEC10A	0.0018	0.0015	2.0
Patient_040	FCER1A	0.0000	0.0000	0.0
Patient_040	CLEC9A	0.0004	0.0004	1.0
Patient_040	XCR1	0.0007	0.0007	1.0
Patient_040	BATF3	0.0028	0.0022	3.0
Patient_040	IRF8	0.0011	0.0009	2.0
Patient_040	LAMP3	0.0221	0.0212	4.0
Patient_040	CCR7	0.0018	0.0018	1.0
Patient_040	FLT3	0.0000	0.0000	0.0
Patient_040	CD83	0.0342	0.0298	4.0
Patient_040	CD1A	0.0004	0.0004	1.0
Patient_040	TPSAB1	0.0028	0.0007	7.0
Patient_040	CPA3	0.0013	0.0004	5.0
Patient_040	MS4A2	0.0002	0.0002	1.0
Patient_040	PECAM1	0.0011	0.0009	2.0
Patient_040	VWF	0.0046	0.0033	7.0
Patient_040	CLDN5	0.0790	0.0558	7.0
Patient_040	ENG	0.0061	0.0048	5.0
Patient_040	COL1A1	0.7832	0.0983	83.0
Patient_040	COL1A2	0.4143	0.0865	53.0
Patient_040	DCN	0.1093	0.0403	17.0
Patient_040	PDGFRB	0.0142	0.0112	4.0
Patient_040	LUM	0.2984	0.1106	29.0
Patient_040	EPCAM	1.7289	0.6902	18.0
Patient_040	KRT8	4.0333	0.7585	44.0
Patient_040	KRT18	2.9490	0.7112	34.0
Patient_040	CDH1	0.2608	0.2168	6.0
Patient_040	NKX2-1	0.0004	0.0004	1.0
Patient_040	NAPSA	0.0011	0.0011	1.0
Patient_040	SFTPC	0.0009	0.0009	1.0
Patient_040	SFTPB	0.0000	0.0000	0.0
Patient_040	KRT7	0.0018	0.0018	1.0
Patient_040	CEACAM5	0.0000	0.0000	0.0
Patient_040	MUC1	0.0026	0.0026	1.0
Patient_040	AGR2	0.0753	0.0646	5.0
Patient_040	TP63	0.2339	0.1953	5.0
Patient_040	KRT5	6.4846	0.9319	40.0
Patient_040	KRT6A	17.1174	0.9667	133.0
Patient_040	KRT6B	1.5973	0.5106	30.0
Patient_040	KRT14	0.8178	0.2135	44.0
Patient_040	KRT17	60.6464	0.9899	371.0
Patient_040	DSG3	0.2159	0.1813	4.0
Patient_040	SERPINB3	0.1739	0.0771	31.0
Patient_040	SERPINB4	0.0274	0.0195	8.0
Patient_040	SOX2	1.0278	0.5297	23.0
Patient_040	KRT15	0.4817	0.2590	23.0
Patient_040	KRT13	1.8642	0.5599	35.0
Patient_040	S100A2	22.5794	0.9619	430.0
Patient_040	DSC3	0.2695	0.2214	4.0
Patient_040	PKP1	0.8093	0.4935	8.0
Patient_040	SCGB1A1	0.0000	0.0000	0.0
Patient_040	SCGB3A1	0.0004	0.0004	1.0
Patient_040	PIGR	0.0000	0.0000	0.0
Patient_040	MUC5AC	0.0000	0.0000	0.0
Patient_040	FOXJ1	0.0000	0.0000	0.0
Patient_040	TPPP3	0.1841	0.1399	7.0
Patient_040	CAPS	0.0107	0.0107	1.0
Patient_040	SNTN	0.0013	0.0013	1.0
Patient_040	AGER	0.0009	0.0009	1.0
Patient_040	CLDN18	0.0000	0.0000	0.0
Patient_040	CAV1	0.6232	0.3302	21.0
Patient_040	RTKN2	0.0066	0.0059	3.0
Patient_040	SFTPC	0.0009	0.0009	1.0
Patient_040	SFTPB	0.0000	0.0000	0.0
Patient_040	NAPSA	0.0011	0.0011	1.0
Patient_040	LAMP3	0.0221	0.0212	4.0
Patient_040	ABCA3	0.0070	0.0068	2.0
GLOBAL
ALL	PTPRC	1.3104	0.5039	55.0
ALL	CD3D	1.3553	0.3802	63.0
ALL	CD3E	0.6764	0.3082	26.0
ALL	CD2	0.9537	0.3399	62.0
ALL	TRAC	1.5704	0.3845	86.0
ALL	IL7R	0.6265	0.2328	75.0
ALL	NKG7	1.6905	0.2800	456.0
ALL	GNLY	1.8980	0.1655	427.0
ALL	KLRD1	0.2840	0.1158	27.0
ALL	NCAM1	0.0062	0.0056	6.0
ALL	FCGR3A	0.7052	0.1721	72.0
ALL	CD79A	0.3826	0.0784	166.0
ALL	CD79B	0.1588	0.0861	46.0
ALL	MS4A1	0.1815	0.0482	57.0
ALL	CD19	0.0378	0.0253	20.0
ALL	MZB1	0.7555	0.0683	384.0
ALL	JCHAIN	4.5968	0.1021	4836.0
ALL	XBP1	1.3349	0.3950	269.0
ALL	LYZ	7.8977	0.2845	1848.0
ALL	CD68	0.4265	0.1352	86.0
ALL	CD163	0.2305	0.0950	48.0
ALL	MRC1	0.4012	0.1184	57.0
ALL	ITGAX	0.1224	0.0820	19.0
ALL	FCGR3A	0.7052	0.1721	72.0
ALL	CD1C	0.1440	0.0357	115.0
ALL	CLEC10A	0.2204	0.0640	52.0
ALL	FCER1A	0.1732	0.0296	167.0
ALL	CLEC9A	0.0199	0.0058	24.0
ALL	XCR1	0.0021	0.0014	6.0
ALL	BATF3	0.0474	0.0345	27.0
ALL	IRF8	0.2744	0.1279	74.0
ALL	LAMP3	0.1053	0.0488	44.0
ALL	CCR7	0.1650	0.0757	61.0
ALL	FLT3	0.0086	0.0069	8.0
ALL	CD83	0.9721	0.2516	85.0
ALL	CD1A	0.0994	0.0155	89.0
ALL	TPSAB1	1.2391	0.0396	952.0
ALL	CPA3	0.2180	0.0215	218.0
ALL	MS4A2	0.0577	0.0142	37.0
ALL	PECAM1	0.1771	0.1114	52.0
ALL	VWF	0.0299	0.0088	34.0
ALL	CLDN5	0.1552	0.0261	333.0
ALL	ENG	0.1571	0.0989	32.0
ALL	COL1A1	1.3449	0.0743	639.0
ALL	COL1A2	0.9310	0.0467	655.0
ALL	DCN	0.5642	0.0389	363.0
ALL	PDGFRB	0.0341	0.0153	40.0
ALL	LUM	0.9838	0.0562	411.0
ALL	EPCAM	1.0817	0.2004	387.0
ALL	KRT8	2.2304	0.2464	371.0
ALL	KRT18	2.1666	0.2420	643.0
ALL	CDH1	0.2245	0.1049	60.0
ALL	NKX2-1	0.2518	0.0762	38.0
ALL	NAPSA	1.9849	0.1173	473.0
ALL	SFTPC	3.7358	0.0721	8231.0
ALL	SFTPB	4.4816	0.1411	2233.0
ALL	KRT7	1.0348	0.1206	847.0
ALL	CEACAM5	0.1114	0.0288	96.0
ALL	MUC1	1.2299	0.1249	206.0
ALL	AGR2	1.0914	0.1076	909.0
ALL	TP63	0.0937	0.0402	162.0
ALL	KRT5	1.3067	0.1339	465.0
ALL	KRT6A	2.7738	0.1419	786.0
ALL	KRT6B	0.2462	0.0700	151.0
ALL	KRT14	0.6118	0.0451	1117.0
ALL	KRT17	9.6624	0.1704	1763.0
ALL	DSG3	0.0601	0.0357	28.0
ALL	SERPINB3	0.1267	0.0217	342.0
ALL	SERPINB4	0.0773	0.0130	350.0
ALL	SPRR1A	MISSING	0	0
ALL	SOX2	0.2331	0.0937	162.0
ALL	KRT15	0.4289	0.0674	473.0
ALL	KRT13	0.5822	0.0819	1526.0
ALL	S100A2	5.2481	0.1922	2681.0
ALL	DSC3	0.0581	0.0392	20.0
ALL	PKP1	0.1824	0.0781	44.0
ALL	SCGB1A1	2.9590	0.0686	11987.0
ALL	SCGB3A1	6.0704	0.1193	14205.0
ALL	PIGR	1.5110	0.0770	700.0
ALL	MUC5AC	0.0028	0.0014	124.0
ALL	FOXJ1	0.0555	0.0238	76.0
ALL	TPPP3	0.2822	0.0551	379.0
ALL	CAPS	0.1771	0.0440	319.0
ALL	SNTN	0.0215	0.0058	59.0
ALL	AGER	0.0627	0.0157	160.0
ALL	CLDN18	0.0172	0.0059	42.0
ALL	CAV1	0.2454	0.0859	193.0
ALL	RTKN2	0.0516	0.0343	17.0
ALL	SFTPC	3.7358	0.0721	8231.0
ALL	SFTPB	4.4816	0.1411	2233.0
ALL	NAPSA	1.9849	0.1173	473.0
ALL	LAMP3	0.1053	0.0488	44.0
ALL	ABCA3	0.0701	0.0364	48.0
