rank	experiment	abs_diff	mapped_minus_denom	best_denom	sum_mapped	sum_mq0	sum_total	file_count	files	biosample	run_type	paired_end
20	ENCSR398JUP	1693559	1693559	228827559	230521118	0	230521118	1	ENCFF964BCG	ureter		
21	ENCSR723VNG	1980761	1980761	228827559	230808320	0	230808320	1	ENCFF277SFH	left lung		
22	ENCSR597URK	2282640	2282640	76275878	78558518	0	78558518	1	ENCFF051GHB	T-cell		
23	ENCSR566VAK	2283648	2283648	305103746	307387394	0	307387394	1	ENCFF549ODR	placenta		
24	ENCSR531UVE	2294690	2294690	76275878	78570568	0	78570568	1	ENCFF300YHK	stimulated activated CD4-positive, alpha-beta T cell		
25	ENCSR940NLN	2354440	-2354440	381378932	379024492	0	379024492	2	ENCFF978LNU,ENCFF189UVI	PC-9		
26	ENCSR296TFH	2394602	2394602	76275878	78670480	0	78670480	1	ENCFF199RZW	naive thymus-derived CD8-positive, alpha-beta T cell		
27	ENCSR904LMG	2442866	2442866	152551756	154994622	0	154994622	1	ENCFF855CLY	dorsolateral prefrontal cortex		
28	ENCSR000EQE	2448727	-2448727	76275878	73827151	0	73827151	2	ENCFF210NAE,ENCFF843XXF	T-helper 1 cell		
29	ENCSR796YOJ	2491446	-2491446	152551756	150060310	0	150060310	1	ENCFF958AIS	dorsolateral prefrontal cortex		
30	ENCSR567IWT	2567889	2567889	228827559	231395448	0	231395448	1	ENCFF874YSD	CD4-positive, alpha-beta T cell		
31	ENCSR720FVJ	2592694	2592694	152551756	155144450	0	155144450	1	ENCFF340VDR	dorsolateral prefrontal cortex		
32	ENCSR686WJL	2608267	-2608267	228827559	226219292	0	226219292	1	ENCFF150XTJ	gastrocnemius medialis		
33	ENCSR829MXU	2730064	-2730064	305103746	302373682	0	302373682	1	ENCFF070ECN	pons		
34	ENCSR058ELM	2765644	2765644	76275878	79041522	0	79041522	1	ENCFF663ZYE	T-helper 1 cell		
35	ENCSR597NVK	2864990	2864990	305103746	307968736	0	307968736	1	ENCFF011IXU	adrenal gland		
36	ENCSR173BJC	2902064	-2902064	76275878	73373814	0	73373814	1	ENCFF642YUG	activated effector memory CD4-positive, alpha-beta T cell		
37	ENCSR401UZL	2907404	-2907404	152551756	149644352	0	149644352	1	ENCFF301WKE	dorsolateral prefrontal cortex		
38	ENCSR785BDQ	2962449	-2962449	457655119	454692670	0	454692670	2	ENCFF766MCS,ENCFF125KLI	glomerular visceral epithelial cell		
39	ENCSR518JGY	3092571	-3092571	76275878	73183307	0	73183307	1	ENCFF746AVY	foreskin melanocyte		
40	ENCSR796SJV	3114693	3114693	76275878	79390571	0	79390571	1	ENCFF479ENE	large intestine		
41	ENCSR240TPI	3162410	3162410	381378932	384541342	0	384541342	2	ENCFF505CBU,ENCFF518EFO	ELR		
42	ENCSR950YTI	3450550	-3450550	152551756	149101206	0	149101206	1	ENCFF296YWF	activated CD8-positive, alpha-beta memory T cell		
43	ENCSR141NSQ	3525970	-3525970	76275878	72749908	0	72749908	1	ENCFF949ZUY	muscle of back		
44	ENCSR541PUY	3624088	3624088	76275878	79899966	0	79899966	1	ENCFF365VAK	T-cell		
45	ENCSR000EOJ	3696966	-3696966	305103746	301406780	0	301406780	2	ENCFF522CKT,ENCFF390ZSX	fibroblast of lung		
46	ENCSR462XTM	3802503	-3802503	228827559	225025056	0	225025056	1	ENCFF596CQL	sigmoid colon		
47	ENCSR129TSG	3851702	-3851702	76275878	72424176	0	72424176	1	ENCFF153XKN	placenta		
48	ENCSR355WAJ	3928983	3928983	228827559	232756542	0	232756542	1	ENCFF153TBA	left ventricle myocardium superior		
49	ENCSR662IRS	4038076	4038076	152551756	156589832	0	156589832	1	ENCFF191BAK	CD8-positive, alpha-beta T cell		
50	ENCSR278FVO	4065853	-4065853	76275878	72210025	0	72210025	1	ENCFF224MAE	neuronal stem cell		
51	ENCSR210ESN	4218288	4218288	152551756	156770044	0	156770044	1	ENCFF292PMY	dorsolateral prefrontal cortex		
52	ENCSR686LOE	4415440	-4415440	152551756	148136316	0	148136316	1	ENCFF344RYW	dorsolateral prefrontal cortex		
53	ENCSR424JPH	4429866	-4429866	152551756	148121890	0	148121890	1	ENCFF934OOR	CD8-positive, alpha-beta T cell		
54	ENCSR625WLB	4548858	-4548858	76275878	71727020	0	71727020	1	ENCFF461QHE	CD8-positive, alpha-beta memory T cell		
55	ENCSR022UVL	4571906	4571906	152551756	157123662	0	157123662	1	ENCFF143UWH	dorsolateral prefrontal cortex		
56	ENCSR325LYJ	4636806	4636806	228827559	233464365	0	233464365	1	ENCFF548PCJ	fibroblast of upper back skin		
57	ENCSR388DHS	4685198	-4685198	152551756	147866558	0	147866558	1	ENCFF917YWG	psoas muscle		
58	ENCSR258POP	4949440	4949440	152551756	157501196	0	157501196	1	ENCFF100WCS	posterior cingulate gyrus		
59	ENCSR246VSO	4993934	-4993934	152551756	147557822	0	147557822	1	ENCFF556BGQ	heart right ventricle		
60	ENCSR000ENK	5007149	-5007149	76275878	71268729	0	71268729	2	ENCFF909YNR,ENCFF043EML	fibroblast of the conjunctiva		
61	ENCSR516JCM	5015280	-5015280	152551756	147536476	0	147536476	1	ENCFF159SUT	activated CD4-positive, alpha-beta T cell		
62	ENCSR721XAP	5096689	5096689	457655119	462751808	0	462751808	2	ENCFF818LQS,ENCFF612HFB	inflammatory macrophage		
63	ENCSR593OUE	5217506	5217506	152551756	157769262	0	157769262	1	ENCFF685BVU	activated naive CD4-positive, alpha-beta T cell		
64	ENCSR001QTZ	5344924	-5344924	152551756	147206832	0	147206832	1	ENCFF884NRT	dorsolateral prefrontal cortex		
65	ENCSR365NDK	5351483	5351483	228827559	234179042	0	234179042	1	ENCFF332IHS	ovary		
66	ENCSR237BOF	5357834	-5357834	76275878	70918044	0	70918044	1	ENCFF024BHN	naive thymus-derived CD8-positive, alpha-beta T cell		
67	ENCSR429RHR	5397665	-5397665	457655119	452257454	0	452257454	2	ENCFF290RFC,ENCFF881HKH	RKO		
68	ENCSR497NLU	5397708	5397708	76275878	81673586	0	81673586	1	ENCFF407PIT	T-cell		
69	ENCSR732IFV	5404898	5404898	305103746	310508644	0	310508644	1	ENCFF854NWN	activated effector memory CD4-positive, alpha-beta T cell		
70	ENCSR457JOG	5425284	5425284	76275878	81701162	0	81701162	1	ENCFF875DPQ	activated CD4-positive, alpha-beta T cell		
71	ENCSR941MHZ	5489845	5489845	228827559	234317404	0	234317404	1	ENCFF221DUU	CD4-positive, alpha-beta T cell		
72	ENCSR000EQI	5533460	5533460	305103746	310637206	0	310637206	1	ENCFF251BVA	T-helper 2 cell		
73	ENCSR434OBM	5734836	5734836	76275878	82010714	0	82010714	1	ENCFF900ZMW	foreskin melanocyte		
74	ENCSR422IIZ	5756132	5756132	76275878	82032010	0	82032010	1	ENCFF396JLE	ascending aorta		
75	ENCSR436JRE	5757891	-5757891	228827559	223069668	0	223069668	1	ENCFF516AFP	activated CD4-positive, alpha-beta T cell		
76	ENCSR445XYW	5895204	-5895204	76275878	70380674	0	70380674	1	ENCFF129IPF	right lung		
77	ENCSR705GCU	5900731	5900731	228827559	234728290	0	234728290	1	ENCFF356WGA	CD8-positive, alpha-beta memory T cell		
78	ENCSR060MJY	5906356	5906356	152551756	158458112	0	158458112	1	ENCFF978AHA	dorsolateral prefrontal cortex		
79	ENCSR880CUB	5907853	5907853	228827559	234735412	0	234735412	1	ENCFF966VCS	dorsolateral prefrontal cortex		
80	ENCSR579KDC	5991026	5991026	305103746	311094772	0	311094772	1	ENCFF449PFL	lower leg skin		
