tf	match_radius	q_threshold	dnase_mode	dnase_expansion	reproducible_pairs	closed_pairs	closed_fraction	closed_qsum	total_qsum	closed_q_fraction	closed_fesum	total_fesum	closed_fe_fraction	median_closed_q	median_all_q	median_closed_fe	median_all_fe	median_summit_distance
TF4	250	1.30103	union	500	146273	121605	0.83135644	810507.940250	997447.740540	0.81258186	488555.197790	592644.827860	0.82436423	5.760700	5.793060	3.794780	3.835270	64.000
TF5	250	1.30103	union	500	5903	1622	0.27477554	11287.699020	41362.587580	0.27289635	10308.794700	37592.897300	0.27422187	5.764575	5.752880	6.072860	6.072860	42.000
TF6	250	1.30103	union	500	10156	3378	0.33261126	37435.518960	143378.507770	0.26109575	26483.961490	88796.120910	0.29825584	8.180460	9.894545	6.906240	7.465420	33.000
TF1	250	1.30103	rep1	0	66613	58009	0.87083602	613697.526440	716526.886750	0.85648918	280313.401700	323427.250400	0.86669692	8.142870	8.261780	4.405140	4.429640	48.000
TF2	250	1.30103	rep1	0	5866	3764	0.64166383	26551.117280	42700.755550	0.62179502	20514.992130	32483.844380	0.63154447	5.296620	5.437930	4.966920	5.014150	50.000
TF3	250	1.30103	rep1	0	11517	5105	0.44325779	69313.811670	179981.230340	0.38511689	34258.267260	82860.328510	0.41344595	8.637760	10.223400	5.720210	6.068160	30.000
TF4	250	1.30103	rep1	0	146273	139372	0.95282109	943076.799740	997447.740540	0.94548994	562951.750350	592644.827860	0.94989735	5.779580	5.793060	3.812870	3.835270	64.000
TF5	250	1.30103	rep1	0	5903	4040	0.68439776	28109.950710	41362.587580	0.67959846	25647.922990	37592.897300	0.68225449	5.691970	5.752880	6.048195	6.072860	42.000
TF6	250	1.30103	rep1	0	10156	7319	0.72065774	94584.563420	143378.507770	0.65968439	61265.784130	88796.120910	0.68996014	9.200630	9.894545	7.235150	7.465420	33.000
TF1	250	1.30103	rep1	250	66613	51069	0.76665215	527690.188770	716526.886750	0.73645553	245155.152620	323427.250400	0.75799164	7.907000	8.261780	4.376380	4.429640	48.000
TF2	250	1.30103	rep1	250	5866	2208	0.37640641	16011.202990	42700.755550	0.37496299	12218.576020	32483.844380	0.37614316	5.555425	5.437930	5.054180	5.014150	50.000
TF3	250	1.30103	rep1	250	11517	2697	0.23417557	32702.933800	179981.230340	0.18170191	17539.070690	82860.328510	0.21167030	8.242470	10.223400	5.691200	6.068160	30.000
TF4	250	1.30103	rep1	250	146273	129169	0.88306796	864731.222990	997447.740540	0.86694389	519642.525550	592644.827860	0.87681947	5.777210	5.793060	3.808300	3.835270	64.000
TF5	250	1.30103	rep1	250	5903	2463	0.41724547	16996.899500	41362.587580	0.41092447	15578.768160	37592.897300	0.41440722	5.691970	5.752880	6.069950	6.072860	42.000
TF6	250	1.30103	rep1	250	10156	4740	0.46671918	56101.329660	143378.507770	0.39128131	38284.551670	88796.120910	0.43115117	8.577100	9.894545	7.066810	7.465420	33.000
TF1	250	1.30103	rep1	500	66613	49915	0.74932821	514754.469240	716526.886750	0.71840217	239551.444930	323427.250400	0.74066562	7.889450	8.261780	4.376380	4.429640	48.000
TF2	250	1.30103	rep1	500	5866	2044	0.34844869	14981.532660	42700.755550	0.35084936	11365.361830	32483.844380	0.34987736	5.581220	5.437930	5.088760	5.014150	50.000
TF3	250	1.30103	rep1	500	11517	2458	0.21342363	30018.642790	179981.230340	0.16678763	16095.086280	82860.328510	0.19424357	8.396455	10.223400	5.751030	6.068160	30.000
TF4	250	1.30103	rep1	500	146273	125565	0.85842910	838252.168070	997447.740540	0.84039708	504723.114870	592644.827860	0.85164519	5.766910	5.793060	3.801280	3.835270	64.000
TF5	250	1.30103	rep1	500	5903	2153	0.36472980	14816.617220	41362.587580	0.35821302	13614.048330	37592.897300	0.36214416	5.691970	5.752880	6.072860	6.072860	42.000
TF6	250	1.30103	rep1	500	10156	4288	0.42221347	50369.654640	143378.507770	0.35130547	34607.918310	88796.120910	0.38974584	8.561975	9.894545	7.079920	7.465420	33.000
TF1	250	1.30103	rep2	0	66613	58400	0.87670575	618132.084200	716526.886750	0.86267814	282266.324370	323427.250400	0.87273513	8.142870	8.261780	4.405410	4.429640	48.000
TF2	250	1.30103	rep2	0	5866	3829	0.65274463	27274.802130	42700.755550	0.63874285	20947.183590	32483.844380	0.64484928	5.352770	5.437930	4.968900	5.014150	50.000
TF3	250	1.30103	rep2	0	11517	4539	0.39411305	59269.571810	179981.230340	0.32930974	29848.726850	82860.328510	0.36022941	8.371600	10.223400	5.598930	6.068160	30.000
TF4	250	1.30103	rep2	0	146273	139661	0.95479685	946490.642570	997447.740540	0.94891251	564436.734330	592644.827860	0.95240304	5.779580	5.793060	3.817370	3.835270	64.000
TF5	250	1.30103	rep2	0	5903	3701	0.62696934	25634.769710	41362.587580	0.61975740	23448.301910	37592.897300	0.62374288	5.691970	5.752880	5.969400	6.072860	42.000
TF6	250	1.30103	rep2	0	10156	6857	0.67516739	86488.704320	143378.507770	0.60321945	56566.377880	88796.120910	0.63703659	8.983190	9.894545	7.142260	7.465420	33.000
TF1	250	1.30103	rep2	250	66613	51562	0.77405311	535382.482890	716526.886750	0.74719106	248089.836460	323427.250400	0.76706535	7.984710	8.261780	4.383280	4.429640	48.000
TF2	250	1.30103	rep2	250	5866	2264	0.38595295	16624.061570	42700.755550	0.38931540	12576.725380	32483.844380	0.38716863	5.681810	5.437930	5.082300	5.014150	50.000
TF3	250	1.30103	rep2	250	11517	2111	0.18329426	24316.311880	179981.230340	0.13510471	13447.974020	82860.328510	0.16229689	7.928240	10.223400	5.657460	6.068160	30.000
TF4	250	1.30103	rep2	250	146273	129231	0.88349183	867533.783880	997447.740540	0.86975362	520481.105760	592644.827860	0.87823445	5.777210	5.793060	3.808300	3.835270	64.000
TF5	250	1.30103	rep2	250	5903	2012	0.34084364	14073.431820	41362.587580	0.34024544	12797.644790	37592.897300	0.34042720	5.691970	5.752880	6.072860	6.072860	42.000
TF6	250	1.30103	rep2	250	10156	4162	0.40980701	46991.692510	143378.507770	0.32774572	32789.293550	88796.120910	0.36926493	8.319890	9.894545	6.933805	7.465420	33.000
TF1	250	1.30103	rep2	500	66613	50295	0.75503280	521158.339110	716526.886750	0.72733954	241903.088930	323427.250400	0.74793663	7.962420	8.261780	4.381340	4.429640	48.000
TF2	250	1.30103	rep2	500	5866	2090	0.35629049	15512.275740	42700.755550	0.36327872	11674.069670	32483.844380	0.35938079	5.715585	5.437930	5.107290	5.014150	50.000
TF3	250	1.30103	rep2	500	11517	1907	0.16558131	22352.855350	179981.230340	0.12419548	12299.019750	82860.328510	0.14843074	8.162720	10.223400	5.746010	6.068160	30.000
TF4	250	1.30103	rep2	500	146273	125223	0.85609101	838448.891500	997447.740540	0.84059431	503908.546530	592644.827860	0.85027072	5.777210	5.793060	3.808300	3.835270	64.000
TF5	250	1.30103	rep2	500	5903	1733	0.29357954	12051.172020	41362.587580	0.29135440	11007.767960	37592.897300	0.29281510	5.691970	5.752880	6.072860	6.072860	42.000
TF6	250	1.30103	rep2	500	10156	3721	0.36638440	41776.827280	143378.507770	0.29137440	29331.536670	88796.120910	0.33032453	8.361850	9.894545	6.971360	7.465420	33.000
TF1	250	2.00000	union	0	65676	55537	0.84562093	592477.671490	714928.789810	0.82872264	270049.685180	321191.594040	0.84077445	8.197590	8.301770	4.423520	4.440630	48.000
TF2	250	2.00000	union	0	5630	3301	0.58632327	24010.154330	42296.996940	0.56765624	18274.290630	31712.307470	0.57625232	5.540830	5.633415	5.014150	5.089950	49.000
TF3	250	2.00000	union	0	11375	3853	0.33872527	51047.002760	179743.896500	0.28399853	25512.621220	82435.097120	0.30948737	8.411530	10.287100	5.622800	6.110460	30.000
TF4	250	2.00000	union	0	141787	133284	0.94002976	922786.263830	989886.856890	0.93221388	545567.273730	582283.138280	0.93694500	5.825970	5.853510	3.862530	3.871990	63.000
TF5	250	2.00000	union	0	5756	3405	0.59155664	24133.882000	41113.286550	0.58700931	21863.673260	37070.248400	0.58979031	5.691970	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	union	0	10052	6363	0.63300836	80147.233260	143202.195260	0.55967880	52553.289280	88434.461030	0.59426256	8.973170	10.006400	7.147900	7.536730	32.000
TF1	250	2.00000	union	250	65676	48441	0.73757537	504853.939050	714928.789810	0.70615975	234083.468230	321191.594040	0.72879699	8.038560	8.301770	4.405140	4.440630	48.000
TF2	250	2.00000	union	250	5630	1880	0.33392540	14091.817680	42296.996940	0.33316355	10579.959180	31712.307470	0.33362313	5.735540	5.633415	5.139855	5.089950	49.000
TF3	250	2.00000	union	250	11375	1751	0.15393407	19956.407470	179743.896500	0.11102690	11111.531310	82435.097120	0.13479127	7.897480	10.287100	5.633580	6.110460	30.000
TF4	250	2.00000	union	250	141787	121942	0.86003653	835181.534800	989886.856890	0.84371414	497213.036680	582283.138280	0.85390252	5.798720	5.853510	3.841600	3.871990	63.000
TF5	250	2.00000	union	250	5756	1830	0.31792912	13074.556670	41113.286550	0.31801293	11793.403600	37070.248400	0.31813662	5.840850	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	union	250	10052	3759	0.37395543	42457.263820	143202.195260	0.29648473	29694.307210	88434.461030	0.33577756	8.307900	10.006400	6.940820	7.536730	32.000
TF1	250	2.00000	union	500	65676	47091	0.71701992	489832.369030	714928.789810	0.68514847	227504.334260	321191.594040	0.70831348	8.018210	8.301770	4.405140	4.440630	48.000
TF2	250	2.00000	union	500	5630	1721	0.30568384	13040.858740	42296.996940	0.30831642	9738.811710	31712.307470	0.30709880	5.736760	5.633415	5.162110	5.089950	49.000
TF3	250	2.00000	union	500	11375	1564	0.13749451	18084.315810	179743.896500	0.10061157	10027.041150	82435.097120	0.12163558	8.019445	10.287100	5.720210	6.110460	30.000
TF4	250	2.00000	union	500	141787	117675	0.82994210	803876.472410	989886.856890	0.81208925	479457.951880	582283.138280	0.82341033	5.798720	5.853510	3.841600	3.871990	63.000
TF5	250	2.00000	union	500	5756	1573	0.27328006	11204.892620	41113.286550	0.27253702	10139.675510	37070.248400	0.27352597	5.951480	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	union	500	10052	3338	0.33207322	37368.480410	143202.195260	0.26094908	26342.341400	88434.461030	0.29787417	8.296640	10.006400	6.953650	7.536730	32.000
TF1	250	2.00000	rep1	0	65676	57167	0.87043973	612260.772600	714928.789810	0.85639407	278300.887890	321191.594040	0.86646380	8.205340	8.301770	4.429640	4.440630	48.000
TF2	250	2.00000	rep1	0	5630	3601	0.63960924	26271.526670	42296.996940	0.62112038	19984.327070	31712.307470	0.63017575	5.554430	5.633415	5.048280	5.089950	49.000
TF3	250	2.00000	rep1	0	11375	5013	0.44070330	69159.751780	179743.896500	0.38476829	33979.741830	82435.097120	0.41219994	8.785010	10.287100	5.763600	6.110460	30.000
TF4	250	2.00000	rep1	0	141787	135012	0.95221706	935730.671450	989886.856890	0.94529053	552880.265130	582283.138280	0.94950417	5.830100	5.853510	3.863310	3.871990	63.000
TF5	250	2.00000	rep1	0	5756	3939	0.68432940	27938.865740	41113.286550	0.67955807	25291.984880	37070.248400	0.68227179	5.780270	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep1	0	10052	7235	0.71975726	94441.892380	143202.195260	0.65950031	60972.151130	88434.461030	0.68946144	9.270400	10.006400	7.264000	7.536730	32.000
TF1	250	2.00000	rep1	250	65676	50328	0.76630733	526429.136630	714928.789810	0.73633786	243382.150440	321191.594040	0.75774757	8.097150	8.301770	4.409580	4.440630	48.000
TF2	250	2.00000	rep1	250	5630	2128	0.37797513	15870.018210	42296.996940	0.37520437	11957.222120	31712.307470	0.37705305	5.729875	5.633415	5.127695	5.089950	49.000
TF3	250	2.00000	rep1	250	11375	2645	0.23252747	32615.014680	179743.896500	0.18145270	17380.329950	82435.097120	0.21083653	8.411530	10.287100	5.751030	6.110460	30.000
TF4	250	2.00000	rep1	250	141787	125038	0.88187210	857762.879840	989886.856890	0.86652618	510087.989770	582283.138280	0.87601367	5.798720	5.853510	3.841720	3.871990	63.000
TF5	250	2.00000	rep1	250	5756	2394	0.41591383	16879.928990	41113.286550	0.41057114	15336.375510	37070.248400	0.41371116	5.822970	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep1	250	10052	4680	0.46557899	56000.147810	143202.195260	0.39105649	38074.206330	88434.461030	0.43053586	8.664940	10.006400	7.109860	7.536730	32.000
TF1	250	2.00000	rep1	500	65676	49191	0.74899507	513521.997350	714928.789810	0.71828412	237818.553360	321191.594040	0.74042583	8.088730	8.301770	4.410840	4.440630	48.000
TF2	250	2.00000	rep1	500	5630	1970	0.34991119	14851.011210	42296.996940	0.35111266	11124.009820	31712.307470	0.35077895	5.730500	5.633415	5.155130	5.089950	49.000
TF3	250	2.00000	rep1	500	11375	2411	0.21195604	29939.602560	179743.896500	0.16656812	15951.752000	82435.097120	0.19350680	8.531430	10.287100	5.786360	6.110460	30.000
TF4	250	2.00000	rep1	500	141787	121526	0.85710256	831435.887250	989886.856890	0.83993022	495376.850610	582283.138280	0.85074909	5.798720	5.853510	3.841600	3.871990	63.000
TF5	250	2.00000	rep1	500	5756	2094	0.36379430	14716.521810	41113.286550	0.35795051	13407.996700	37070.248400	0.36169158	5.840850	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep1	500	10052	4238	0.42160764	50285.656370	143202.195260	0.35115144	34432.092260	88434.461030	0.38935152	8.634860	10.006400	7.133525	7.536730	32.000
TF1	250	2.00000	rep2	0	65676	57551	0.87628662	616682.365660	714928.789810	0.86257873	280236.944780	321191.594040	0.87249153	8.230000	8.301770	4.431360	4.440630	48.000
TF2	250	2.00000	rep2	0	5630	3671	0.65204263	27004.172470	42296.996940	0.63844184	20433.027220	31712.307470	0.64432483	5.583150	5.633415	5.048390	5.089950	49.000
TF3	250	2.00000	rep2	0	11375	4454	0.39156044	59126.998630	179743.896500	0.32895136	29590.940980	82435.097120	0.35896047	8.564280	10.287100	5.641205	6.110460	30.000
TF4	250	2.00000	rep2	0	141787	135307	0.95429764	939152.308940	989886.856890	0.94874712	554375.216340	582283.138280	0.95207156	5.832690	5.853510	3.865890	3.871990	63.000
TF5	250	2.00000	rep2	0	5756	3598	0.62508687	25459.536220	41113.286550	0.61925325	23084.396070	37070.248400	0.62272030	5.691970	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep2	0	10052	6771	0.67359729	86342.202100	143202.195260	0.60293910	56265.110730	88434.461030	0.63623513	9.144760	10.006400	7.198190	7.536730	32.000
TF1	250	2.00000	rep2	250	65676	50819	0.77378342	534117.189940	714928.789810	0.74709146	246312.117650	321191.594040	0.76686975	8.142870	8.301770	4.415870	4.440630	48.000
TF2	250	2.00000	rep2	250	5630	2186	0.38827709	16488.003640	42296.996940	0.38981499	12325.135910	31712.307470	0.38865465	5.755800	5.633415	5.149990	5.089950	49.000
TF3	250	2.00000	rep2	250	11375	2076	0.18250549	24257.302520	179743.896500	0.13495481	13339.994810	82435.097120	0.16182421	8.019445	10.287100	5.695100	6.110460	30.000
TF4	250	2.00000	rep2	250	141787	125117	0.88242928	860592.603520	989886.856890	0.86938482	510963.128850	582283.138280	0.87751662	5.798720	5.853510	3.854060	3.871990	63.000
TF5	250	2.00000	rep2	250	5756	1951	0.33895066	13969.829160	41113.286550	0.33978867	12584.294820	37070.248400	0.33947155	5.840850	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep2	250	10052	4106	0.40847593	46896.918520	143202.195260	0.32748743	32591.715730	88434.461030	0.36854090	8.361850	10.006400	6.990590	7.536730	32.000
TF1	250	2.00000	rep2	500	65676	49577	0.75487240	519935.845370	714928.789810	0.72725543	240184.033110	321191.594040	0.74779053	8.128170	8.301770	4.412940	4.440630	48.000
TF2	250	2.00000	rep2	500	5630	2019	0.35861456	15388.226010	42296.996940	0.36381368	11445.230990	31712.307470	0.36090817	5.830210	5.633415	5.173530	5.089950	49.000
TF3	250	2.00000	rep2	500	11375	1877	0.16501099	22302.822090	179743.896500	0.12408111	12205.990720	82435.097120	0.14806789	8.287530	10.287100	5.763600	6.110460	30.000
TF4	250	2.00000	rep2	500	141787	121208	0.85485975	831674.172780	989886.856890	0.84017094	494617.668540	582283.138280	0.84944529	5.798720	5.853510	3.846430	3.871990	63.000
TF5	250	2.00000	rep2	500	5756	1680	0.29186935	11961.500410	41113.286550	0.29094002	10823.844410	37070.248400	0.29198198	5.840850	5.840850	6.072860	6.072860	41.000
TF6	250	2.00000	rep2	500	10052	3677	0.36579785	41703.017810	143202.195260	0.29121773	29175.789080	88434.461030	0.32991425	8.361850	10.006400	7.032350	7.536730	32.000
TF1	250	3.00000	union	0	62253	52461	0.84270638	584611.351330	706169.379300	0.82786279	261549.766170	311755.825790	0.83895711	8.496710	8.830180	4.522500	4.544710	47.000
TF2	250	3.00000	union	0	4924	2858	0.58042242	22880.709550	40488.799540	0.56511208	16621.672760	29066.457650	0.57185065	6.124160	6.260440	5.297485	5.345350	46.000
TF3	250	3.00000	union	0	10991	3647	0.33181694	50522.520020	178765.442820	0.28261905	24800.605730	81111.890860	0.30575795	8.750100	10.727700	5.778080	6.270430	29.000
TF4	250	3.00000	union	0	127815	119905	0.93811368	888708.918840	954291.502860	0.93127615	509371.983530	544495.343470	0.93549374	6.393890	6.396530	4.003750	4.009910	62.000
TF5	250	3.00000	union	0	5316	3127	0.58822423	23450.679680	40027.267340	0.58586762	20716.865000	35259.016590	0.58756219	6.300850	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	union	0	9668	6066	0.62743070	79392.256280	142225.645590	0.55821337	51363.504470	86903.185060	0.59104283	9.347530	10.493900	7.276430	7.693080	32.000
TF1	250	3.00000	union	250	62253	45712	0.73429393	497875.775360	706169.379300	0.70503733	226518.329130	311755.825790	0.72658892	8.324000	8.830180	4.499510	4.544710	47.000
TF2	250	3.00000	union	250	4924	1649	0.33489033	13501.875420	40488.799540	0.33347186	9719.409870	29066.457650	0.33438577	6.432900	6.260440	5.401580	5.345350	46.000
TF3	250	3.00000	union	250	10991	1661	0.15112365	19729.336820	178765.442820	0.11036438	10796.783880	81111.890860	0.13310975	8.375590	10.727700	5.756580	6.270430	29.000
TF4	250	3.00000	union	250	127815	109486	0.85659743	803455.193880	954291.502860	0.84193896	463493.611350	544495.343470	0.85123522	6.352720	6.396530	3.992310	4.009910	62.000
TF5	250	3.00000	union	250	5316	1696	0.31903687	12746.743220	40027.267340	0.31845150	11244.729890	35259.016590	0.31891785	6.472800	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	union	250	9668	3572	0.36946628	41979.755180	142225.645590	0.29516305	28941.077770	86903.185060	0.33302666	8.607970	10.493900	7.087270	7.693080	32.000
TF1	250	3.00000	union	500	62253	44432	0.71373267	483032.158860	706169.379300	0.68401742	220130.588850	311755.825790	0.70609936	8.323570	8.830180	4.499670	4.544710	47.000
TF2	250	3.00000	union	500	4924	1521	0.30889521	12525.161720	40488.799540	0.30934880	8996.634620	29066.457650	0.30951947	6.432900	6.260440	5.403120	5.345350	46.000
TF3	250	3.00000	union	500	10991	1490	0.13556546	17896.699400	178765.442820	0.10011275	9765.512970	81111.890860	0.12039558	8.474685	10.727700	5.808180	6.270430	29.000
TF4	250	3.00000	union	500	127815	105618	0.82633494	773168.251540	954291.502860	0.81020134	446811.860640	544495.343470	0.82059813	6.319490	6.396530	3.987920	4.009910	62.000
TF5	250	3.00000	union	500	5316	1457	0.27407825	10920.643730	40027.267340	0.27283011	9664.716450	35259.016590	0.27410624	6.547880	6.563690	6.085060	6.112050	40.000
TF6	250	3.00000	union	500	9668	3175	0.32840298	36952.954280	142225.645590	0.25981921	25686.538590	86903.185060	0.29557649	8.577100	10.493900	7.099960	7.693080	32.000
TF1	250	3.00000	rep1	0	62253	54018	0.86771722	604206.718740	706169.379300	0.85561161	269601.199930	311755.825790	0.86478320	8.559010	8.830180	4.522960	4.544710	47.000
TF2	250	3.00000	rep1	0	4924	3114	0.63241267	25027.153950	40488.799540	0.61812536	18164.490980	29066.457650	0.62492964	6.242380	6.260440	5.315300	5.345350	46.000
TF3	250	3.00000	rep1	0	10991	4777	0.43462833	68558.758940	178765.442820	0.38351237	33163.009250	81111.890860	0.40885509	9.367960	10.727700	5.878930	6.270430	29.000
TF4	250	3.00000	rep1	0	127815	121508	0.95065524	901339.819910	954291.502860	0.94451205	516348.344930	544495.343470	0.94830626	6.393890	6.396530	4.004250	4.009910	62.000
TF5	250	3.00000	rep1	0	5316	3618	0.68058691	27149.519800	40027.267340	0.67827563	23968.328050	35259.016590	0.67977869	6.386460	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	rep1	0	9668	6925	0.71628051	93652.536530	142225.645590	0.65847855	59729.420840	86903.185060	0.68730992	9.627210	10.493900	7.407070	7.693080	32.000
TF1	250	3.00000	rep1	250	62253	47516	0.76327245	519236.884320	706169.379300	0.73528660	235590.290710	311755.825790	0.75568849	8.351560	8.830180	4.506835	4.544710	47.000
TF2	250	3.00000	rep1	250	4924	1853	0.37632006	15165.055140	40488.799540	0.37454939	10929.508150	29066.457650	0.37601789	6.434960	6.260440	5.399850	5.345350	46.000
TF3	250	3.00000	rep1	250	10991	2514	0.22873260	32280.843100	178765.442820	0.18057653	16919.435650	81111.890860	0.20859378	8.637760	10.727700	5.821390	6.270430	29.000
TF4	250	3.00000	rep1	250	127815	112313	0.87871533	825350.024110	954291.502860	0.86488250	475646.119990	544495.343470	0.87355406	6.352720	6.396530	3.992310	4.009910	62.000
TF5	250	3.00000	rep1	250	5316	2208	0.41534989	16424.949670	40027.267340	0.41034402	14572.984740	35259.016590	0.41331229	6.386460	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	rep1	250	9668	4467	0.46203972	55455.252920	142225.645590	0.38991036	37215.428770	86903.185060	0.42824010	9.013060	10.493900	7.240040	7.693080	32.000
TF1	250	3.00000	rep1	500	62253	46436	0.74592389	506475.556950	706169.379300	0.71721540	230183.089410	311755.825790	0.73834415	8.331750	8.830180	4.509330	4.544710	47.000
TF2	250	3.00000	rep1	500	4924	1721	0.34951259	14207.850350	40488.799540	0.35090817	10194.391130	29066.457650	0.35072699	6.436410	6.260440	5.404490	5.345350	46.000
TF3	250	3.00000	rep1	500	10991	2302	0.20944409	29660.681730	178765.442820	0.16591955	15564.796040	81111.890860	0.19189290	8.692625	10.727700	5.853075	6.270430	29.000
TF4	250	3.00000	rep1	500	127815	109126	0.85378086	799857.857330	954291.502860	0.83816932	461810.239600	544495.343470	0.84814360	6.342640	6.396530	3.988340	4.009910	62.000
TF5	250	3.00000	rep1	500	5316	1928	0.36267871	14309.792480	40027.267340	0.35750111	12727.769390	35259.016590	0.36097914	6.430480	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	rep1	500	9668	4046	0.41849400	49793.590720	142225.645590	0.35010276	33657.452600	86903.185060	0.38729826	8.989250	10.493900	7.255320	7.693080	32.000
TF1	250	3.00000	rep2	0	62253	54413	0.87406229	608654.018480	706169.379300	0.86190939	271566.305430	311755.825790	0.87108655	8.571760	8.830180	4.526280	4.544710	47.000
TF2	250	3.00000	rep2	0	4924	3190	0.64784728	25777.763740	40488.799540	0.63666407	18638.277110	29066.457650	0.64122974	6.243390	6.260440	5.315300	5.345350	46.000
TF3	250	3.00000	rep2	0	10991	4226	0.38449641	58546.828350	178765.442820	0.32750641	28802.654780	81111.890860	0.35509781	8.883640	10.727700	5.791770	6.270430	29.000
TF4	250	3.00000	rep2	0	127815	121772	0.95272073	904674.678090	954291.502860	0.94800664	517764.023770	544495.343470	0.95090625	6.396490	6.396530	4.004250	4.009910	62.000
TF5	250	3.00000	rep2	0	5316	3301	0.62095561	24728.975120	40027.267340	0.61780323	21859.840380	35259.016590	0.61997873	6.277550	6.563690	6.072860	6.112050	40.000
TF6	250	3.00000	rep2	0	9668	6460	0.66818370	85549.988940	142225.645590	0.60150888	55018.794390	86903.185060	0.63310446	9.496750	10.493900	7.343240	7.693080	32.000
TF1	250	3.00000	rep2	250	62253	48008	0.77117569	526927.132740	706169.379300	0.74617669	238523.237740	311755.825790	0.76509633	8.387885	8.830180	4.516220	4.544710	47.000
TF2	250	3.00000	rep2	250	4924	1926	0.39114541	15825.372060	40488.799540	0.39085802	11356.372870	29066.457650	0.39070371	6.436410	6.260440	5.399515	5.345350	46.000
TF3	250	3.00000	rep2	250	10991	1973	0.17951051	23998.811810	178765.442820	0.13424749	12980.400100	81111.890860	0.16003079	8.564280	10.727700	5.804270	6.270430	29.000
TF4	250	3.00000	rep2	250	127815	112429	0.87962289	828267.839340	954291.502860	0.86794008	476621.504950	544495.343470	0.87534542	6.368930	6.396530	3.992310	4.009910	62.000
TF5	250	3.00000	rep2	250	5316	1805	0.33954101	13611.758420	40027.267340	0.34006215	11984.848120	35259.016590	0.33990875	6.471440	6.563690	6.072860	6.112050	40.000
