group	member	mean_patristic_distance	n_taxa	n_pairs	status
animals	1338131at2759.faa.mafft.clipkit.treefile	0.38388545313333333	3	3	ok
animals	1342242at2759.faa.mafft.clipkit.treefile	1.6978771859000001	4	6	ok
animals	1346165at2759.faa.mafft.clipkit.treefile	1.4446200683333335	3	3	ok
animals	1346432at2759.faa.mafft.clipkit.treefile	1.0664543440833334	4	6	ok
animals	1355894at2759.faa.mafft.clipkit.treefile	0.3869438237333333	3	3	ok
animals	1358374at2759.faa.mafft.clipkit.treefile	0.88338879600000009	3	3	ok
animals	1364586at2759.faa.mafft.clipkit.treefile	1.1996138339333331	3	3	ok
animals	1370285at2759.faa.mafft.clipkit.treefile	1.2883555197999998	3	3	ok
animals	1379600at2759.faa.mafft.clipkit.treefile	0.95813016006666663	3	3	ok
animals	1382842at2759.faa.mafft.clipkit.treefile	0.90143612653333338	3	3	ok
animals	1405073at2759.faa.mafft.clipkit.treefile	0.34475838495	4	6	ok
animals	1421503at2759.faa.mafft.clipkit.treefile	0.43520266699999999	3	3	ok
animals	1423847at2759.faa.mafft.clipkit.treefile	0.69811296580000004	3	3	ok
animals	1428854at2759.faa.mafft.clipkit.treefile	1.3544034616499998	4	6	ok
animals	1432328at2759.faa.mafft.clipkit.treefile	0.57929108740000002	3	3	ok
animals	1434266at2759.faa.mafft.clipkit.treefile	1.4288699071333333	3	3	ok
animals	1441854at2759.faa.mafft.clipkit.treefile	0.74753002973333338	3	3	ok
animals	1445102at2759.faa.mafft.clipkit.treefile	0.54019620806666668	3	3	ok
animals	1455730at2759.faa.mafft.clipkit.treefile	0.45252144813333334	3	3	ok
animals	1488235at2759.faa.mafft.clipkit.treefile	0.69140583719999993	3	3	ok
animals	1488436at2759.faa.mafft.clipkit.treefile	0.60187680913333341	3	3	ok
animals	1504863at2759.faa.mafft.clipkit.treefile	0.71177891500000001	4	6	ok
animals	1513531at2759.faa.mafft.clipkit.treefile	0.96276975099999984	3	3	ok
animals	1525971at2759.faa.mafft.clipkit.treefile	0.86140779851666649	4	6	ok
animals	1526152at2759.faa.mafft.clipkit.treefile	1.2518107352000001	3	3	ok
animals	1538526at2759.faa.mafft.clipkit.treefile	0.84110198366666655	3	3	ok
animals	1545004at2759.faa.mafft.clipkit.treefile	0.4178090492	3	3	ok
animals	1552706at2759.faa.mafft.clipkit.treefile	0.6493725668	3	3	ok
animals	156083at2759.faa.mafft.clipkit.treefile	0.09463541946666669	4	6	ok
animals	1620056at2759.faa.mafft.clipkit.treefile	0.93800567573333327	4	6	ok
animals	1626636at2759.faa.mafft.clipkit.treefile	0.52887601113333338	3	3	ok
animals	1633672at2759.faa.mafft.clipkit.treefile	0.25712394873333333	3	3	ok
animals	176625at2759.faa.mafft.clipkit.treefile	1.6977264919333332	3	3	ok
animals	271586at2759.faa.mafft.clipkit.treefile	1.9764695957333336	3	3	ok
animals	290630at2759.faa.mafft.clipkit.treefile	0.99915055846666678	3	3	ok
animals	296129at2759.faa.mafft.clipkit.treefile	0.62962603373333337	3	3	ok
animals	306227at2759.faa.mafft.clipkit.treefile	1.1728052663999999	3	3	ok
animals	320059at2759.faa.mafft.clipkit.treefile	0.23898105826666671	3	3	ok
animals	324863at2759.faa.mafft.clipkit.treefile	1.5027658922	3	3	ok
animals	331411at2759.faa.mafft.clipkit.treefile	0.55172092959999997	3	3	ok
animals	341721at2759.faa.mafft.clipkit.treefile	1.4680013384833333	4	6	ok
animals	355408at2759.faa.mafft.clipkit.treefile	0.12012009459999999	3	3	ok
animals	390348at2759.faa.mafft.clipkit.treefile	0.23011384866666665	3	3	ok
animals	39650at2759.faa.mafft.clipkit.treefile	1.0403453749333333	3	3	ok
animals	396755at2759.faa.mafft.clipkit.treefile	0.90985293773333342	3	3	ok
animals	418107at2759.faa.mafft.clipkit.treefile	0.70905554566666662	3	3	ok
animals	453044at2759.faa.mafft.clipkit.treefile	1.0663724661	4	6	ok
animals	491869at2759.faa.mafft.clipkit.treefile	1.3153018301999999	3	3	ok
animals	570797at2759.faa.mafft.clipkit.treefile	2.0334451293666667	4	6	ok
animals	621827at2759.faa.mafft.clipkit.treefile	1.4191667410666666	3	3	ok
animals	664730at2759.faa.mafft.clipkit.treefile	0.54334122753333325	4	6	ok
animals	673132at2759.faa.mafft.clipkit.treefile	0.82855994461666682	4	6	ok
animals	674160at2759.faa.mafft.clipkit.treefile	1.8706589398000002	3	3	ok
animals	679771at2759.faa.mafft.clipkit.treefile	1.4105997872666665	3	3	ok
animals	720340at2759.faa.mafft.clipkit.treefile	0.95514596806666674	3	3	ok
animals	721605at2759.faa.mafft.clipkit.treefile	1.1962454998499998	4	6	ok
animals	734666at2759.faa.mafft.clipkit.treefile	0.71060501239999996	3	3	ok
animals	777920at2759.faa.mafft.clipkit.treefile	1.0173571554666667	3	3	ok
animals	814241at2759.faa.mafft.clipkit.treefile	0.61956406753333326	3	3	ok
animals	836599at2759.faa.mafft.clipkit.treefile	0.67802865153333336	3	3	ok
animals	866359at2759.faa.mafft.clipkit.treefile	0.61053875999999996	3	3	ok
animals	891751at2759.faa.mafft.clipkit.treefile	1.9117014892000002	3	3	ok
animals	919955at2759.faa.mafft.clipkit.treefile	1.0464429820666667	3	3	ok
animals	974865at2759.faa.mafft.clipkit.treefile	0.98800033104999996	4	6	ok
animals	975158at2759.faa.mafft.clipkit.treefile	0.66256833726666664	3	3	ok
animals	981902at2759.faa.mafft.clipkit.treefile	0.89172561279999984	3	3	ok
animals	996662at2759.faa.mafft.clipkit.treefile	1.4757947088333332	4	6	ok
