miRNA	p_value	adjusted_p_value	significant_p_le_0_05
hsa-miR-144	0.341906388796688	1	FALSE
hsa-miR-144*	0.626910540881644	1	FALSE
hsa-miR-145	0.074141637652668	0.955618991949854	FALSE
hsa-miR-146a	0.0651665675163594	0.897357172022713	FALSE
hsa-miR-148a	0.0578516446045922	0.819170985161145	FALSE
hsa-miR-148b	0.074045662211035	0.955618991949854	FALSE
hsa-miR-150	0.722222098714736	1	FALSE
hsa-miR-151-3p	0.627065000980714	1	FALSE
hsa-miR-151-5p	0.0378859448179618	0.70286147417076	FALSE
hsa-miR-152	0.234165043245797	1	FALSE
hsa-miR-154	0.416320228677193	1	FALSE
hsa-miR-155	0.18845804394124	1	FALSE
hsa-miR-15a	0.0104277115068005	0.338177348013236	FALSE
hsa-miR-15b	0.118520164275333	1	FALSE
hsa-miR-15b*	0.012288637637511	0.355155969755687	FALSE
hsa-miR-16	0.0070114458868259	0.251748421228245	FALSE
hsa-miR-16-2*	0.0669631826851018	0.897618973733414	FALSE
hsa-miR-17	0.00634607045127492	0.251748421228245	FALSE
hsa-miR-181a	0.0786210378870105	0.988020569366386	FALSE
hsa-miR-182	0.868578723082985	1	FALSE
hsa-miR-185	0.248378725380588	1	FALSE
hsa-miR-186	0.261192363842462	1	FALSE
hsa-miR-18a	0.0550215865361834	0.813469729461235	FALSE
hsa-miR-18a*	0.0153977559086391	0.379650107616689	FALSE
hsa-miR-18b	0.140924340907884	1	FALSE
hsa-miR-191	0.525771584720312	1	FALSE
hsa-miR-192	0.238094684766787	1	FALSE
hsa-miR-193b	0.255318431015299	1	FALSE
hsa-miR-194	0.134005237742045	1	FALSE
hsa-miR-195	0.490971498615539	1	FALSE
hsa-miR-197	0.0574302463911885	0.819170985161145	FALSE
hsa-miR-1974	0.00098803067024472	0.202375263235428	FALSE
hsa-miR-199a-3p	0.0118365689235552	0.355155969755687	FALSE
hsa-miR-199a-5p	0.0292929317099957	0.588992866934457	FALSE
hsa-miR-19a	0.247361115447323	1	FALSE
hsa-miR-19b	0.597626131829893	1	FALSE
hsa-miR-200c	0.7127756134687	1	FALSE
hsa-miR-205	0.863199164526634	1	FALSE
hsa-miR-20a	0.0065275473119098	0.251748421228245	FALSE
hsa-miR-20a*	0.0874525339060506	1	FALSE
hsa-miR-20b	0.000470954811750958	0.202375263235428	FALSE
hsa-miR-21	0.194029676340892	1	FALSE
hsa-miR-210	0.431574316578661	1	FALSE
hsa-miR-2110	0.127834822450355	1	FALSE
hsa-miR-215	0.279994190546699	1	FALSE
hsa-miR-22	0.375053595641513	1	FALSE
hsa-miR-22*	0.0142777092706393	0.379650107616689	FALSE
hsa-miR-221	0.00540653978779189	0.247066534167612	FALSE
hsa-miR-222	0.00140278786719431	0.202375263235428	FALSE
hsa-miR-223	0.214978380588497	1	FALSE
hsa-miR-223*	0.740861948200933	1	FALSE
hsa-miR-23a	0.0763196744978112	0.971240130403101	FALSE
hsa-miR-23b	0.0325379286864587	0.641411773380887	FALSE
hsa-miR-24	0.0395126548610159	0.709357858590024	FALSE
hsa-miR-25	0.0384516719171716	0.70286147417076	FALSE
hsa-miR-26a	0.0455045270323612	0.762466127227924	FALSE
hsa-miR-26b	0.281404098129086	1	FALSE
hsa-miR-27a	0.0514342113579487	0.793190232930726	FALSE
hsa-miR-27b	0.0858944073508371	1	FALSE
hsa-miR-28-3p	0.0806517326830394	0.988819563145073	FALSE
hsa-miR-28-5p	0.164479605446299	1	FALSE
hsa-miR-297	0.401772143647965	1	FALSE
hsa-miR-29a	0.606967900477651	1	FALSE
hsa-miR-29a*	0.588686274339189	1	FALSE
hsa-miR-29b	0.472564401948436	1	FALSE
hsa-miR-29b-2*	0.0254467937834951	0.522100598178634	FALSE
hsa-miR-29c	0.444393183798301	1	FALSE
hsa-miR-301a	0.022864291890451	0.495334905032253	FALSE
hsa-miR-30a	0.191174598857965	1	FALSE
hsa-miR-30b	0.00310173930634169	0.240847545799728	FALSE
hsa-miR-30c	0.00479131827069584	0.240847545799728	FALSE
hsa-miR-30d	0.00433741016662127	0.240847545799728	FALSE
hsa-miR-30e	0.00172480065931515	0.202375263235428	FALSE
hsa-miR-30e*	0.0403132887783255	0.711034337511805	FALSE
hsa-miR-32	0.00429362654753285	0.240847545799728	FALSE
hsa-miR-320a	0.0344446464144301	0.664244285271901	FALSE
hsa-miR-320b	0.0565158380076114	0.819170985161145	FALSE
hsa-miR-324-3p	0.56639749077802	1	FALSE
hsa-miR-324-5p	0.218017719683788	1	FALSE
hsa-miR-326	0.168263284129415	1	FALSE
hsa-miR-328	0.0231568557440671	0.495334905032253	FALSE
hsa-miR-331-3p	0.00683124958321152	0.251748421228245	FALSE
hsa-miR-335	0.292827437523695	1	FALSE
hsa-miR-338-3p	0.624596080952358	1	FALSE
hsa-miR-339-3p	0.199662894565373	1	FALSE
hsa-miR-339-5p	0.386844018225984	1	FALSE
hsa-miR-33a	0.232801225130213	1	FALSE
hsa-miR-342-3p	0.250550591407632	1	FALSE
hsa-miR-346	0.758865506325286	1	FALSE
hsa-miR-34a	0.00293450541947936	0.240847545799728	FALSE
hsa-miR-361-3p	0.17966755179157	1	FALSE
hsa-miR-363	0.0192570573995658	0.450234395569115	FALSE
hsa-miR-365	0.014416421081373	0.379650107616689	FALSE
hsa-miR-374a	0.680068248277314	1	FALSE
hsa-miR-374b	0.896694264112386	1	FALSE
hsa-miR-375	0.359641260262321	1	FALSE
hsa-miR-376a	0.974850252855063	1	FALSE
hsa-miR-378	0.482300097495656	1	FALSE
hsa-miR-382	0.650252675800044	1	FALSE
hsa-miR-409-3p	0.323274011969146	1	FALSE
hsa-miR-421	0.00503104158847052	0.240855081338907	FALSE
hsa-miR-423-3p	0.0153868452844615	0.379650107616689	FALSE
hsa-miR-423-5p	0.0842884472308446	1	FALSE
hsa-miR-424	0.789592299761847	1	FALSE
hsa-miR-425	0.241191724719706	1	FALSE
hsa-miR-425*	0.0222032405537995	0.495334905032253	FALSE
hsa-miR-451	0.0480723389451692	0.779508336353024	FALSE
hsa-miR-484	0.00351826928833625	0.240847545799728	FALSE
hsa-miR-485-3p	0.187133770301584	1	FALSE
hsa-miR-486-5p	0.00181168519644117	0.202375263235428	FALSE
hsa-miR-495	0.0434077816153338	0.73966110213185	FALSE
hsa-miR-497	0.412121830308269	1	FALSE
hsa-miR-500a	0.391978362449629	1	FALSE
hsa-miR-501-3p	0.0253866266664417	0.522100598178634	FALSE
hsa-miR-502-3p	0.227300987240676	1	FALSE
hsa-miR-505	0.0616679202646997	0.861080999424286	FALSE
hsa-miR-532-3p	0.126472027166691	1	FALSE
hsa-miR-532-5p	0.00105973348166106	0.202375263235428	FALSE
hsa-miR-543	0.116377415873455	1	FALSE
hsa-miR-551b	0.218731638466982	1	FALSE
hsa-miR-574-3p	0.0154828242349894	0.379650107616689	FALSE
hsa-miR-584	0.330979515145626	1	FALSE
hsa-miR-590-5p	0.608659416959374	1	FALSE
hsa-miR-605	0.203158717349673	1	FALSE
hsa-miR-629	0.309961673286528	1	FALSE
hsa-miR-652	0.00361386503793809	0.240847545799728	FALSE
hsa-miR-660	0.154643827327152	1	FALSE
hsa-miR-720	0.326718117334053	1	FALSE
hsa-miR-766	0.00588958370307921	0.247550331517746	FALSE
hsa-miR-885-5p	0.0500362993890401	0.785999751783901	FALSE
hsa-miR-92a	0.000717637644884998	0.202375263235428	FALSE
hsa-miR-92b	0.182864790521505	1	FALSE
hsa-miR-93	0.00470329030410147	0.240847545799728	FALSE
hsa-miR-93*	0.591231562567118	1	FALSE
hsa-miR-95	0.616518887190267	1	FALSE
hsa-miR-99a	0.0494960985025502	0.785999751783901	FALSE
hsa-miR-99b	0.0520719801418178	0.793190232930726	FALSE
