Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Mouse	Oxidative Stress WP412	10/28	7.352059352896326e-05	0.0010760741416511	0	0	5.85806037251124	55.75669647279204	NQO1;GCLC;NFIX;MAOA;TXNRD1;CAT;MGST1;MT1;MAPK14;SOD1
WikiPathways_2019_Mouse	Cholesterol Biosynthesis WP103	7/15	0.00012812207780055432	0.0017189712104907	0	0	9.215522215810733	82.5943668233743	SQLE;HMGCS1;SC5D;MSMO1;HMGCR;CYP51;FDFT1
WikiPathways_2019_Mouse	Oxidative Damage WP1496	12/42	0.0001690011556822903	0.0020234814856319	0	0	4.219907407407407	36.65244889718144	C1QB;CDKN1C;C4B;C1QA;CDKN1B;GADD45A;C5AR1;BCL2;MAP3K9;TRAF1;MAPK13;C1QC
WikiPathways_2019_Mouse	Lung fibrosis WP3632	15/61	0.00017595491179408533	0.0020234814856319	0	0	3.443100189035917	29.766574769730543	CSF3;CSF2;FAM13A;PDGFB;PDGFA;ATP11A;CXCL2;IL6;CYSLTR2;PLAU;IL1B;CCL4;SPP1;CCL3;CCL2
WikiPathways_2019_Mouse	IL-5 Signaling Pathway WP151	16/69	0.00022598250022582672	0.0024255455024238	0	0	3.18819769732522	26.76508862541145	GSK3B;SHC2;JUN;CDKN1B;ITGAM;PRKCB;STAT3;PIK3R1;MAPK14;PIK3CG;NFKBIA;SOCS1;ALOX5;ALOX5AP;RAF1;MAPK3
WikiPathways_2019_Mouse	Folic Acid Network WP1273	8/23	0.0004810888897522753	0.0045561947794186	0	0	5.6181678214010775	42.91975993421666	FADS2;PTGIS;GPX4;TXNRD1;ALOX5;CAT;XDH;PTGES
WikiPathways_2019_Mouse	Selenium Micronutrient Network WP1272	8/23	0.0004810888897522753	0.0045561947794186	0	0	5.6181678214010775	42.91975993421666	FADS2;PTGIS;GPX4;ALOX5;CAT;XDH;FADS1;PTGES
WikiPathways_2019_Mouse	Focal Adhesion WP85	30/185	0.0006499934591456688	0.0058138303845807	0	0	2.0492359932088284	15.038417228148544	GSK3B;ITGAM;ITGB3;ITGA2B;PDGFB;PDGFA;LAMC2;PIK3R1;LAMC1;ITGAL;ACTB;PIK3CG;THBS4;PIK3R5;CCND2;CCND1;SPP1;RAC3;ITGB8;JUN;ITGA4;STYK1;PGF;RHOB;ITGAD;BCL2;ZYX;ITGA5;RAF1;MET
WikiPathways_2019_Mouse	Macrophage markers WP2271	5/10	0.0008599450195503582	0.0072869025340846	0	0	10.521613832853026	74.26830637646714	CD86;CD74;CD83;CD14;F3
WikiPathways_2019_Mouse	Prostaglandin Synthesis and Regulation WP374	9/31	0.0009643740046093856	0.0077632107371055	0	0	4.310225303292894	29.930339704940632	PTGER4;PTGIR;EDNRB;PTGIS;ANXA3;PTGER2;PTGS2;PTGS1;S100A10
