metric	query_guide	assigned_target	score
pearson_var	guide23	THOC5	0.21312701354795954
pearson_var	guide24	PABPN1	0.40711572573470173
pearson_var	guide25	SYMPK	0.41727226581172777
pearson_var	guide26	SCAF1	0.38981151815413423
pearson_var	guide27	RPAP2	0.23823520677576626
pearson_var	guide28	CTR9	0.27915726513327127
pearson_var	guide29	CPSF4	0.5381735654082503
pearson_var	guide3	CPSF3	0.5098924552676601
pearson_var	guide30	SRSF3	0.3160620092731999
pearson_var	guide31	SF3A1	0.08678318084177883
pearson_var	guide32	CPSF3L	0.02851685432646657
pearson_var	guide4	CPSF1	0.6519761164668959
pearson_var	guide5	RPRD1B	0.3424950537524735
pearson_var	guide6	SCAF4	0.2789439358463541
pearson_var	guide7	PAPOLA	0.36051375000757047
pearson_var	guide8	RPRD1A	0.12312816954063839
pearson_var	guide9	RBBP6	0.4637713936977312
spearman_var	guide1	CPSF3L	0.10023693780147754
spearman_var	guide10	LEO1	0.055190158367606344
spearman_var	guide11	SCAF11	0.10729961353998456
spearman_var	guide12	CDC73	0.18262258004090323
spearman_var	guide13	NUDT21	0.577529674141187
spearman_var	guide14	CTR9	0.3081604535424182
spearman_var	guide15	CSTF2	0.1534030868081235
spearman_var	guide16	CSTF1	0.36783548440941943
spearman_var	guide17	FIP1L1	0.42133216229328657
spearman_var	guide18	PABPC1	0.4253394081815764
spearman_var	guide19	CPSF6	0.4745116348524655
spearman_var	guide2	CPSF7	0.17673576015743045
spearman_var	guide20	PCF11	0.4693848684073948
spearman_var	guide21	CPSF2	0.3978326626333066
spearman_var	guide22	CSTF3	0.4008202459208099
spearman_var	guide23	THOC5	0.20872881474915264
spearman_var	guide24	PABPN1	0.285441223865649
spearman_var	guide25	SYMPK	0.3374187943287518
spearman_var	guide26	SCAF1	0.34066045391441824
spearman_var	guide27	RPAP2	0.20225396729015874
spearman_var	guide28	PAF1	0.258261872890475
spearman_var	guide29	CPSF4	0.4442907385076296
spearman_var	guide3	CPSF3	0.4372804753152191
spearman_var	guide30	SRSF3	0.27263375909735044
spearman_var	guide31	SF3A1	0.08558007001520282
spearman_var	guide32	PHF3	0.009437288057491524
spearman_var	guide4	CPSF1	0.5920003520320142
spearman_var	guide5	RPRD1B	0.3241748164869927
spearman_var	guide6	SCAF4	0.2520430314257213
spearman_var	guide7	PAPOLA	0.22834526334181057
spearman_var	guide8	RPRD1A	0.09556941761477672
spearman_var	guide9	RBBP6	0.38927860609914433
jaccard_top200	guide1	RPRD1A	0.06666666666666667
jaccard_top200	guide10	SF3A1	0.055408970976253295
jaccard_top200	guide11	CPSF3L	0.06666666666666667
jaccard_top200	guide12	SYMPK	0.1695906432748538
jaccard_top200	guide13	NUDT21	0.2618296529968454
jaccard_top200	guide14	CDC73	0.13314447592067988
jaccard_top200	guide15	CTR9	0.08991825613079019
jaccard_top200	guide16	PAF1	0.13314447592067988
jaccard_top200	guide17	FIP1L1	0.14613180515759314
jaccard_top200	guide18	PABPC1	0.2618296529968454
jaccard_top200	guide19	CPSF6	0.1834319526627219
jaccard_top200	guide2	CPSF7	0.0958904109589041
jaccard_top200	guide20	PCF11	0.25
jaccard_top200	guide21	CPSF3	0.15273775216138327
jaccard_top200	guide22	CSTF3	0.21580547112462006
jaccard_top200	guide23	SCAF1	0.14942528735632185
jaccard_top200	guide24	PABPN1	0.15606936416184972
jaccard_top200	guide25	CSTF1	0.17994100294985252
jaccard_top200	guide26	SCAF4	0.0989010989010989
jaccard_top200	guide27	RPRD1B	0.11731843575418995
jaccard_top200	guide28	RPAP2	0.1111111111111111
jaccard_top200	guide29	CPSF4	0.23839009287925697
jaccard_top200	guide3	CPSF2	0.20481927710843373
jaccard_top200	guide30	SRSF3	0.11420612813370473
jaccard_top200	guide31	LEO1	0.049868766404199474
jaccard_top200	guide32	SCAF11	0.028277634961439587
jaccard_top200	guide4	CPSF1	0.3114754098360656
jaccard_top200	guide5	THOC5	0.1396011396011396
jaccard_top200	guide6	SCAF8	0.07526881720430108
jaccard_top200	guide7	PAPOLA	0.17647058823529413
jaccard_top200	guide8	CSTF2	0.09289617486338798
jaccard_top200	guide9	RBBP6	0.1834319526627219
