rank	experiment	filtered_bams	qc_mapped_sum	best_total	median_error	p90_error
22	ENCSR434OBM	ENCFF900ZMW:82010714	82010714	76271489.419	0.000232430331	0.000550607748
23	ENCSR497NLU	ENCFF407PIT:81673586	81673586	76270924.023	0.000232462198	0.000567960812
24	ENCSR457JOG	ENCFF875DPQ:81701162	81701162	76271493.954	0.000232583123	0.00055053369
25	ENCSR033STL	ENCFF049OVS:88142740	88142740	76270917.749	0.000232707024	0.000568257408
26	ENCSR634YVQ	ENCFF632FSE:83681250	83681250	76271509.620	0.000233110941	0.00055027786
27	ENCSR517NHP	ENCFF603PQU:82513740	82513740	76270905.557	0.000233182771	0.000568833753
28	ENCSR694DOX	ENCFF515ADG:84549926	84549926	76270897.015	0.000233516113	0.000569237581
29	ENCSR541PUY	ENCFF365VAK:79899966	79899966	76270893.564	0.000233650766	0.000569400707
30	ENCSR646JBR	ENCFF989COB:89660794	89660794	76271578.173	0.000235420654	0.000549158356
31	ENCSR811OUF	ENCFF507QWT:115828428	115828428	114414454.782	0.000378776097	0.00422818302
32	ENCSR077EYC	ENCFF380BVB:32714489,ENCFF252HDV:26736005,ENCFF706GNR:28994466,ENCFF031PBP:30195731	118640691	114414230.278	0.000379556309	0.00422909197
33	ENCSR171ADO	ENCFF513STI:119193852	119193852	114413511.049	0.000379615968	0.00422963976
34	ENCSR769OIG	ENCFF673DMO:115762686	115762686	114413564.505	0.000379983488	0.00422967027
35	ENCSR000EPI	ENCFF124NTF:44746057,ENCFF317KXS:72949280	117695337	114413595.548	0.000380196918	0.00422978425
36	ENCSR643ZGR	ENCFF410EXE:112640888	112640888	114414531.422	0.000380339276	0.00422787273
37	ENCSR121BSW	ENCFF072YRU:110929702	110929702	114414125.962	0.000380464746	0.00422951431
38	ENCSR599WJC	ENCFF335KYN:26273307,ENCFF351HAX:28889032,ENCFF327OVH:31617022,ENCFF188HYT:26503757	113283118	114413660.861	0.000380645959	0.00422752822
39	ENCSR801VSK	ENCFF220ACX:115767502	115767502	114413749.247	0.000381253628	0.00422854775
40	ENCSR493VDS	ENCFF892EKU:119586946	119586946	114413807.251	0.000381652421	0.00423080469
41	ENCSR565WPR	ENCFF527UBV:30344298,ENCFF437OHA:20853561,ENCFF296NWZ:30027306,ENCFF967TUM:31503505	112728670	114413879.070	0.000382146191	0.00423051391
42	ENCSR354SDH	ENCFF485IKK:108821214	108821214	107627409.371	0.00189299464	0.00375316982
43	ENCSR000EPH	ENCFF324QIC:31866915,ENCFF261MKA:77054501	108921416	111110954.304	0.00200161307	0.00400039374
44	ENCSR525VCH	ENCFF039PMX:107828308	107828308	108468769.331	0.00203118719	0.00389568644
45	ENCSR323TXQ	ENCFF597GTV:110696850	110696850	108474234.367	0.0020356376	0.00387790569
46	ENCSR693UHT	ENCFF225NCO:108453374	108453374	108473980.141	0.00203890005	0.00388006626
47	ENCSR541UPY	ENCFF877BGY:103754378	103754378	106788878.143	0.0020969193	0.0039371661
48	ENCSR038POV	ENCFF283GXP:103870102	103870102	106779532.641	0.0020981092	0.00396942493
49	ENCSR650TZF	ENCFF072OFG:110040836	110040836	112306537.199	0.00209898984	0.003855504
50	ENCSR921PPJ	ENCFF054OWB:105962862	105962862	109091038.273	0.00216782814	0.0040015631
51	ENCSR553WJB	ENCFF537QZG:105985272	105985272	108899618.974	0.00216979253	0.00413338598
52	ENCSR799MVH	ENCFF430XJH:100915598	100915598	102635268.413	0.00218929435	0.00433649701
53	ENCSR837VHE	ENCFF320PBW:20770630,ENCFF488XWS:21556116,ENCFF401BZC:28325420,ENCFF737NTI:22275235	92927401	92372607.689	0.00220308569	0.00436892891
54	ENCSR920JUM	ENCFF371KCI:104036180	104036180	106583334.208	0.00220484407	0.00432055301
55	ENCSR839RAJ	ENCFF615RWO:102864166	102864166	92372021.068	0.00220576695	0.00437312267
56	ENCSR294XUZ	ENCFF264KTQ:29159875,ENCFF074CFB:21607554,ENCFF776SQO:20620267,ENCFF687ZFN:31831290	103218986	101565450.874	0.00220662109	0.00444917832
57	ENCSR042WQA	ENCFF575MJC:102352346	102352346	101565002.625	0.00221040353	0.00445888368
58	ENCSR987CQN	ENCFF911SRZ:101981580	101981580	101573653.680	0.00221162431	0.004478521
59	ENCSR025BWH	ENCFF639MWE:100215898	100215898	101565403.278	0.00221263542	0.00444614419
60	ENCSR943KMD	ENCFF915JML:102489768	102489768	101552124.984	0.00221414112	0.00442378588
61	ENCSR791BHE	ENCFF461BEX:99336272	99336272	101552126.485	0.00221415465	0.00442380248
62	ENCSR508FVM	ENCFF647TLU:102816532	102816532	104358779.980	0.00221774489	0.00438532706
63	ENCSR747RGR	ENCFF143SWX:94552760	94552760	90390630.711	0.00224963713	0.00529035869
64	ENCSR299BQG	ENCFF126MXQ:95899028	95899028	93220380.186	0.00227341003	0.00454577696
65	ENCSR215DXT	ENCFF291ZCY:97206886	97206886	93220471.460	0.00227492251	0.00454649118
66	ENCSR221ROM	ENCFF639BBF:97917822	97917822	93220563.077	0.00227644066	0.00454720809
67	ENCSR111LTT	ENCFF108ELD:91741902	91741902	93220025.507	0.00227784967	0.00454776323
68	ENCSR000EOS	ENCFF455EQZ:29972878,ENCFF361WBN:61600672	91573550	93220009.463	0.00227811184	0.00454788139
69	ENCSR136DNA	ENCFF564QFI:16825365,ENCFF872IRX:22626375,ENCFF836WYC:26064570,ENCFF290VIV:29508937	95025247	93220699.505	0.00227870135	0.00454827564
70	ENCSR982XOK	ENCFF158LPS:97016560	97016560	99551930.629	0.00230929423	0.00443450941
71	ENCSR126EVX	ENCFF585SDX:96384898	96384898	98892883.166	0.00231607157	0.00470194675
72	ENCSR722HJG	ENCFF300DZY:95695078	95695078	94160190.194	0.00239974544	0.0047269256
73	ENCSR000EMD	ENCFF334VBI:51381048,ENCFF202QAJ:41979323	93360371	96352542.882	0.002474234	0.00464733221
74	ENCSR278FVO	ENCFF224MAE:72210025	72210025	74358475.432	0.003100651	0.00604965531
75	ENCSR518JGY	ENCFF746AVY:73183307	73183307	73989063.260	0.0031359519	0.0062244489
76	ENCSR000EQE	ENCFF843XXF:20042533,ENCFF210NAE:53784618	73827151	74217061.715	0.00313858533	0.00598252959
77	ENCSR141NSQ	ENCFF949ZUY:72749908	72749908	73476672.306	0.00314711349	0.00624427167
78	ENCSR625WLB	ENCFF461QHE:71727020	71727020	73471971.990	0.0031508681	0.00630173619
79	ENCSR129TSG	ENCFF153XKN:72424176	72424176	74388097.311	0.00316339539	0.00597847961
80	ENCSR173BJC	ENCFF642YUG:73373814	73373814	75060661.108	0.0031944883	0.00603161985
81	ENCSR000ENC	ENCFF561FMQ:28365054,ENCFF510MDM:39982004	68347058	70374942.550	0.00320499367	0.00622714466
82	ENCSR000EMV	ENCFF855LIH:69009584	69009584	70374913.086	0.00320536847	0.00622703758
83	ENCSR946BPA	ENCFF155GFU:69312902	69312902	70374725.753	0.00320775144	0.00622635673
84	ENCSR237BOF	ENCFF024BHN:70918044	70918044	72968829.303	0.00322968803	0.00606159894
85	ENCSR140KPO	ENCFF569KWY:68478190	68478190	70375164.602	0.00324368379	0.0062279517
86	ENCSR000ENK	ENCFF909YNR:32097004,ENCFF043EML:39171725	71268729	71055633.362	0.00326859843	0.00648812273
87	ENCSR445XYW	ENCFF129IPF:70380674	70380674	72284566.246	0.00327359695	0.006444656
88	ENCSR298SDT	ENCFF818DQZ:70180000	70180000	72284677.146	0.00327504023	0.00644599316
89	ENCSR542GKI	ENCFF238UQP:64685974	64685974	65980353.277	0.00327678862	0.00651763245
90	ENCSR000ENE	ENCFF774WOB:35455938,ENCFF788MPI:32284233	67740171	65980246.133	0.00327707884	0.00651900258
91	ENCSR813CKU	ENCFF351RLC:64564868	64564868	65980016.272	0.00327954323	0.00651768814
92	ENCSR332HAD	ENCFF686WEN:64998230	64998230	65980460.502	0.00327974424	0.00651613001
93	ENCSR507XBY	ENCFF809SGB:65007342	65007342	65980472.656	0.00328007926	0.00651595971
94	ENCSR540VTN	ENCFF096GHS:64951096	64951096	65979961.630	0.00328237992	0.00651885545
95	ENCSR283MZJ	ENCFF870ABZ:67327780	67327780	65980564.588	0.0032826133	0.00651467157
96	ENCSR000EMW	ENCFF790PQK:42184194,ENCFF874TXO:27915079	70099273	71919696.442	0.00330777885	0.00630011251
97	ENCSR546FUC	ENCFF881RHO:69290532	69290532	68648225.398	0.00330867376	0.00619661043
98	ENCSR698VDM	ENCFF182ETW:68583116	68583116	68648266.531	0.00330928475	0.00619586852
99	ENCSR937NLH	ENCFF429TAJ:69780220	69780220	68648287.139	0.00330959086	0.00619549682
100	ENCSR000EOA	ENCFF937FTE:32601643,ENCFF750AZP:34306457	66908100	68648397.077	0.00331122385	0.00619351389
candidate_experiments_with_qc	1125
target_positive_bins_sampled	5000
