qc	high_flags	0	336	336
centroid_distance	top500	3	6	23.38377157
centroid_distance	top500	4	5	29.87354799
centroid_distance	top500	4	6	30.41755288
centroid_distance	top500	5	6	30.28833724
sizes	all1000	2	2799,2551
sizes	all1000	3	2500,1850,1000
sizes	all1000	4	2500,1850,800,200
sizes	all1000	5	2500,1750,800,200,100
sizes	all1000	6	2500,1750,750,200,100,50
sizes	all1000	7	1750,1317,1183,750,200,100,50
sizes	all1000	8	1750,839,831,830,750,200,100,50
agreement	all1000_k6_vs_ward_ARI	1
silhouette	all1000_k6	0.8227291393
cluster_qc	all1000	1	2500	46.72897196	9642.818	9643	9479.9	9810	897.2772	897	884	911	0	0	0.8204502213	0.7989261953
markers	all1000	1	27,13,6,70,75,39,78,26,45,14	2.2723,2.155,2.0945,2.0484,2.043,1.9638,1.945,1.8947,1.7903,1.7811
cluster_qc	all1000	2	1750	32.71028037	10164.92057	10165	10002.9	10329	901.1662857	901	888	914.55	0	0	0.827898958	0.8079447239
markers	all1000	2	161,164,178,157,171,138,108,187,111,143	2.7363,2.6635,2.639,2.514,2.49,2.4692,2.4628,2.4533,2.399,2.3966
cluster_qc	all1000	3	750	14.01869159	9779.776	9782.5	9625.45	9936.55	889.8746667	890	876	903	0	0	0.8255816159	0.8028788482
markers	all1000	3	215,214,273,283,237,286,266,231,296,290	3.4528,3.4464,3.3798,3.2591,3.2472,3.2352,3.1926,3.1715,3.106,3.0672
cluster_qc	all1000	4	200	3.738317757	9838.82	9843.5	9712.55	9956.05	949.895	950	938	960	0	197	0.8113690688	0.7876017408
markers	all1000	4	215,214,273,286,283,237,266,231,296,259	2.7768,2.7725,2.6944,2.5836,2.5765,2.5654,2.5175,2.5061,2.4212,2.4186
cluster_qc	all1000	5	100	1.869158879	9834.95	9827	9733.75	9960.35	950.43	950	940.95	960	0	98	0.7983162476	0.7761361273
markers	all1000	5	161,164,178,157,108,171,138,187,143,111	2.0674,2.0101,1.9839,1.8833,1.8326,1.8238,1.8153,1.8014,1.7541,1.7483
cluster_qc	all1000	6	50	0.9345794393	9837.34	9837.5	9738.2	9929.1	943	944	931	954	0	41	0.8072103043	0.7895942725
markers	all1000	6	215,214,273,237,283,266,286,231,296,290	2.7609,2.7364,2.6755,2.5961,2.5436,2.5243,2.5134,2.4427,2.4049,2.3938
centroid_distance	all1000	1	2	44.67158527
centroid_distance	all1000	1	3	45.50583416
centroid_distance	all1000	1	4	25.62014989
centroid_distance	all1000	1	5	25.30845675
centroid_distance	all1000	1	6	44.94541317
centroid_distance	all1000	2	3	43.88152122
centroid_distance	all1000	2	4	43.88042962
centroid_distance	all1000	2	5	24.94708092
centroid_distance	all1000	2	6	24.84284914
centroid_distance	all1000	3	4	25.67891304
centroid_distance	all1000	3	5	44.22750601
centroid_distance	all1000	3	6	24.62730817
centroid_distance	all1000	4	5	30.7532568
centroid_distance	all1000	4	6	31.07280741
centroid_distance	all1000	5	6	31.14562626
agreement	top500_vs_all1000_k6_ARI	1
qc_cluster_mapping	1	2500	0	0
qc_cluster_mapping	2	1750	0	0
qc_cluster_mapping	3	750	0	0
qc_cluster_mapping	4	200	0	197
qc_cluster_mapping	5	100	0	98
qc_cluster_mapping	6	50	0	41
